target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		4:18	Not enough data in minority class of the training set for all 5 folds										
P46616_WT		1:21	Not enough data in minority class of the training set for all 5 folds										
P46616_WT	Fold 1	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.0625	0.9375
P46616_WT	Fold 2	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.125	0.875
P46616_WT	Fold 3	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
P46616_WT	Fold 4	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.125	0.875
P46616_WT	Fold 5	1:8		0.6614378277661476	0.8888888888888888	0.9375	0.875	1.0	1.0	0.5	0.9333333333333333	0.125	0.875
P46616_WT	Mean	-		0.3406208988865628	0.8377777777777776	0.675	0.95	0.4	0.8727777777777778	0.4	0.9054575163398694	0.0875	0.9125
P46616_WT	SD	-		0.27155615154543206	0.04235845468295049	0.1505199322349037	0.05590169943749475	0.34156502553198664	0.06713569576678664	0.3415650255319866	0.02425422299470797	0.04564354645876384	0.04564354645876384
P46616_WT	Test set	1:21		0.4629100498862757	0.8636363636363636	0.9285714285714286	0.8571428571428571	1.0	1.0	0.25	0.923076923076923	0.023809523809523808	0.9761904761904762
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		5:24	Not enough data in minority class of the training set for all 5 folds										
