target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		7:25	No test data for temporal split at 2013										
P46616_WT		10:61	No test data for temporal split at 2013										
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		1:1	Not enough data in minority class of the training set for all 5 folds										
P29276_WT	Fold 1	2:6		0.14907119849998599	0.625	0.5833333333333333	0.6666666666666666	0.5	0.8	0.3333333333333333	0.7272727272727272	0.25	0.75
P29276_WT	Fold 2	2:6		0.6546536707079772	0.875	0.75	1.0	0.5	0.8571428571428571	1.0	0.923076923076923	0.0	1.0
P29276_WT	Fold 3	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.07142857142857142	0.9285714285714286
P29276_WT	Fold 4	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.5	0.5
P29276_WT	Fold 5	1:7		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P29276_WT	Mean	-		0.36074497384159265	0.85	0.6666666666666666	0.9333333333333332	0.4	0.8814285714285713	0.4666666666666666	0.9034032634032634	0.16428571428571428	0.8357142857142857
P29276_WT	SD	-		0.36517323971730503	0.11180339887498948	0.17347216662217774	0.12171612389003694	0.34156502553198664	0.05966887085960202	0.4127594582445936	0.08419379068134238	0.17447686629105963	0.17447686629105963
P29276_WT	Test set	1:1		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.0	1.0
P47745_WT		89:199	No test data for temporal split at 2013										
A0A2J8P2M1_WT		39:0	Only one activity class										
Q60613_WT		2:13	Number of points 15 < 30										
