target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		4:18	Not enough data in minority class of the training set for all 5 folds										
P46616_WT		1:21	Not enough data in minority class of the training set for all 5 folds										
P46616_WT	Fold 1	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
P46616_WT	Fold 2	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.0	1.0
P46616_WT	Fold 3	2:8		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P46616_WT	Fold 4	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.0	1.0
P46616_WT	Fold 5	1:8		-0.25	0.5555555555555556	0.3125	0.625	0.0	0.8333333333333334	0.0	0.7142857142857143	0.375	0.625
P46616_WT	Mean	-		0.41666666666666663	0.8311111111111111	0.6625	0.925	0.4	0.8822222222222222	0.6	0.8971055088702148	0.075	0.925
P46616_WT	SD	-		0.42491829279939874	0.13839170269378723	0.21530017804606355	0.13693063937629152	0.3415650255319866	0.062063289083417496	0.447213595499958	0.08940764860476272	0.13693063937629152	0.13693063937629152
P46616_WT	Test set	1:21		-0.047619047619047616	0.9090909090909091	0.47619047619047616	0.9523809523809523	0.0	0.9523809523809523	0.0	0.9523809523809523	0.047619047619047616	0.9523809523809523
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		5:24	Not enough data in minority class of the training set for all 5 folds										
