target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		7:25	No test data for temporal split at 2013										
P46616_WT		10:61	No test data for temporal split at 2013										
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		1:1	Not enough data in minority class of the training set for all 5 folds										
P29276_WT	Fold 1	2:6		0.3333333333333333	0.75	0.6666666666666667	0.8333333333333334	0.5	0.8333333333333334	0.5	0.8333333333333334	0.08333333333333333	0.9166666666666667
P29276_WT	Fold 2	2:6		0.6546536707079772	0.875	0.75	1.0	0.5	0.8571428571428571	1.0	0.923076923076923	0.4166666666666667	0.5833333333333334
P29276_WT	Fold 3	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.5714285714285714	0.42857142857142855
P29276_WT	Fold 4	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.7142857142857143	0.2857142857142857
P29276_WT	Fold 5	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.2857142857142857	0.7142857142857143
P29276_WT	Mean	-		0.1975974008082621	0.85	0.5833333333333334	0.9666666666666668	0.2	0.8630952380952381	0.3	0.9112820512820514	0.41428571428571426	0.5857142857142857
P29276_WT	SD	-		0.2396034486575805	0.04564354645876384	0.09622504486493763	0.06085806194501845	0.22360679774997896	0.014979830228711796	0.3651483716701107	0.03576287355816043	0.20031626543552267	0.2003162654355227
P29276_WT	Test set	1:1		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	1.0	0.0
P47745_WT		89:199	No test data for temporal split at 2013										
A0A2J8P2M1_WT		39:0	Only one activity class										
