target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		4:18	Not enough data in minority class of the training set for all 5 folds										
P46616_WT		1:21	Not enough data in minority class of the training set for all 5 folds										
P46616_WT	Fold 1	2:8		-0.16666666666666666	0.7	0.4375	0.875	0.0	0.7777777777777778	0.0	0.823529411764706	0.21875	0.78125
P46616_WT	Fold 2	2:8		0.7637626158259734	0.9	0.9375	0.875	1.0	1.0	0.6666666666666666	0.9333333333333333	0.0625	0.9375
P46616_WT	Fold 3	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.125	0.875
P46616_WT	Fold 4	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.0	1.0
P46616_WT	Fold 5	1:8		0.5	0.7777777777777778	0.875	0.75	1.0	1.0	0.3333333333333333	0.8571428571428571	0.0	1.0
P46616_WT	Mean	-		0.42775252316519463	0.8155555555555557	0.7375	0.875	0.6	0.9083333333333332	0.5	0.8860364145658263	0.08125	0.91875
P46616_WT	SD	-		0.2975789671623886	0.0698617093708277	0.15893525935633876	0.07216878364870322	0.34156502553198664	0.07674579920408185	0.3042903097250923	0.041112021375053286	0.0756912588524373	0.07569125885243728
P46616_WT	Test set	1:21		0.6900655593423543	0.9545454545454546	0.9761904761904762	0.9523809523809523	1.0	1.0	0.5	0.975609756097561	0.0	1.0
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		5:24	Not enough data in minority class of the training set for all 5 folds										
