target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		7:25	No test data for temporal split at 2013										
P46616_WT		10:61	No test data for temporal split at 2013										
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		1:1	Not enough data in minority class of the training set for all 5 folds										
P29276_WT	Fold 1	2:6		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.16666666666666666	0.8333333333333334
P29276_WT	Fold 2	2:6		0.6546536707079772	0.875	0.75	1.0	0.5	0.8571428571428571	1.0	0.923076923076923	0.375	0.625
P29276_WT	Fold 3	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.0	1.0
P29276_WT	Fold 4	1:7		-0.2182178902359924	0.625	0.35714285714285715	0.7142857142857143	0.0	0.8333333333333334	0.0	0.7692307692307692	0.2857142857142857	0.7142857142857143
P29276_WT	Fold 5	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.2857142857142857	0.7142857142857143
P29276_WT	Mean	-		0.08728715609439697	0.8	0.5214285714285715	0.9428571428571428	0.1	0.8380952380952381	0.2	0.8832234432234433	0.22261904761904763	0.7773809523809525
P29276_WT	SD	-		0.2702144944592592	0.09128709291752768	0.11591106137750556	0.10432810619146021	0.1825741858350554	0.04256403295016363	0.3651483716701108	0.058144688385081196	0.11823132839633199	0.11823132839633199
P29276_WT	Test set	1:1		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	1.0	0.0
P47745_WT		89:199	No test data for temporal split at 2013										
A0A2J8P2M1_WT		39:0	Only one activity class										
Q60613_WT		2:13	Number of points 15 < 30										
