target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		4:18	Not enough data in minority class of the training set for all 5 folds										
P46616_WT		1:21	Not enough data in minority class of the training set for all 5 folds										
P46616_WT	Fold 1	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.0625	0.9375
P46616_WT	Fold 2	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.0625	0.9375
P46616_WT	Fold 3	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.125	0.875
P46616_WT	Fold 4	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
P46616_WT	Fold 5	1:8		0.5	0.7777777777777778	0.875	0.75	1.0	1.0	0.3333333333333333	0.8571428571428571	0.0	1.0
P46616_WT	Mean	-		0.3833333333333333	0.8155555555555555	0.7	0.9	0.5	0.8877777777777778	0.4666666666666667	0.8874416433239963	0.05	0.95
P46616_WT	SD	-		0.2004046831714195	0.03933605347363482	0.11063265039459795	0.08539125638299665	0.28867513459481287	0.058632390379772935	0.2950204010522612	0.026195201857389133	0.042695628191498324	0.04269562819149833
P46616_WT	Test set	1:21		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		5:24	Not enough data in minority class of the training set for all 5 folds										
P47745_WT	Fold 1	12:29		0.6993615538990546	0.8780487804878049	0.8405172413793103	0.9310344827586207	0.75	0.9	0.8181818181818182	0.9152542372881356	0.08908045977011494	0.9109195402298851
