target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
E1BKU0_WT		1:2	Number of points 3 < 30										
Q0VC81_WT		1:0	Number of points 1 < 30										
P35342_WT		1:0	Number of points 1 < 30										
O02667_WT		0:11	Number of points 11 < 30										
P34970_WT		11:1	Number of points 12 < 30										
Q28309_WT		4:1	Number of points 5 < 30										
Q4VQ11_WT		7:25	No test data for temporal split at 2013										
P46616_WT		10:61	No test data for temporal split at 2013										
P49892_WT		13:0	Number of points 13 < 30										
Q60614_WT		3:5	Number of points 8 < 30										
P29276_WT		1:1	Not enough data in minority class of the training set for all 5 folds										
P29276_WT	Fold 1	2:6		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.08333333333333333	0.9166666666666667
P29276_WT	Fold 2	2:6		0.3333333333333333	0.75	0.6666666666666667	0.8333333333333334	0.5	0.8333333333333334	0.5	0.8333333333333334	0.3333333333333333	0.6666666666666666
P29276_WT	Fold 3	1:7		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.2857142857142857	0.7142857142857143
P29276_WT	Fold 4	1:7		-0.14285714285714285	0.75	0.42857142857142855	0.8571428571428571	0.0	0.8571428571428571	0.0	0.8571428571428571	0.7142857142857143	0.2857142857142857
P29276_WT	Fold 5	1:7		-0.14285714285714285	0.75	0.42857142857142855	0.8571428571428571	0.0	0.8571428571428571	0.0	0.8571428571428571	0.5714285714285714	0.42857142857142855
P29276_WT	Mean	-		0.009523809523809523	0.775	0.5047619047619047	0.9095238095238095	0.1	0.8345238095238094	0.1	0.8676190476190475	0.3976190476190476	0.6023809523809524
P29276_WT	SD	-		0.1588888096030755	0.04564354645876384	0.0794444048015378	0.06790237979748394	0.1825741858350554	0.04042947818079373	0.1825741858350554	0.031153194731040248	0.2024509682807744	0.20245096828077444
P29276_WT	Test set	1:1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P47745_WT		89:199	No test data for temporal split at 2013										
