target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT	Fold 1	5.0		-0.37106155406781305	0.17718228463218327	0.4209302610079053	0.0036430805882155873	0.060357937242881216	0.3568417549133301	0.6142827007462803	0.6731205558776852	0.02919097104133108	0.004818682572673083	0.7912609667222665	0.8999999999999998	0.7999999999999999
Q4VQ11_WT	Fold 2	5.0		0.8094521210507704	0.20844718450620436	0.4565601652643432	0.004395065658622007	0.06629529137594922	0.3997372131347655	0.8156637849787031	0.6559903526306154	0.03536417099491871	0.0061340918831441545	0.9225994413687707	0.7	0.6
Q4VQ11_WT	Fold 3	4.0		0.9105087989457263	0.049712736930053465	0.22296353273585676	0.0010182237718110592	0.03190961879764563	0.2081615142822264	0.946166575929809	0.34064767837524457	0.008339545801177461	0.0014156848854977033	0.9997498343509449	1.0	1.0
Q4VQ11_WT	Fold 4	4.0		0.9067988379362134	0.030548282761379025	0.17478067044550158	0.0006617347520527334	0.025724205566989497	0.15735295772552504	0.9123747148368249	0.23683832168579144	0.005261346202145578	0.0009157951711087353	0.9769322598655437	0.7999999999999999	0.6666666666666669
Q4VQ11_WT	Fold 5	4.0		0.4517072604264116	0.16932650529881346	0.41149301974494473	0.0032412573409757494	0.05693204142638616	0.38643619537353535	0.6705914682171601	0.5878223991394043	0.02744995827858787	0.004469925336922254	0.8995295209118157	1.0	1.0
Q4VQ11_WT	Mean	4.4		0.5414810928582618	0.1270433988257267	0.3373455298397103	0.0025918724223354278	0.04824381888197035	0.3017059270858765	0.7918158489417555	0.4988838615417482	0.02112119846363214	0.003550835969869186	0.9180144046438684	0.8799999999999999	0.8133333333333332
Q4VQ11_WT	SD	0.447213595499958		0.4438919534691437	0.06610557714688337	0.10504519790266412	0.001352777804463946	0.014843807968843133	0.09075392355948642	0.11912226234078897	0.16158459770188693	0.010976810824931342	0.0018541701445914788	0.06655967453674473	0.10645812948447543	0.15104573749303488
Q4VQ11_WT	Test set	10.0		0.6093381523969351	0.20793164356359978	0.45599522318068175	0.003765219952001611	0.061361388119904936	0.3959510459899902	0.6361612420968323	0.8842571716308596	0.032045771340851556	0.005017376942150031	0.8697760726992778	0.8181818181818182	0.6444444444444444
P46616_WT	Fold 1	10.0		0.35619079066478043	0.7473858787422791	0.8645148227429528	0.013674916980529181	0.11693980066910145	0.7066069602966308	0.36893922744528274	1.810731506347656	0.1170871248477388	0.018576300866961538	0.616501768841752	0.709090909090909	0.5111111111111111
P46616_WT	Fold 2	10.0		0.4669800541148299	0.5635727824382946	0.7507148476207824	0.011837287654268867	0.1087992998794977	0.6004145736694337	0.6485333286136684	1.6020130157470707	0.09183391511741235	0.01567600806007787	0.8479416132514678	0.8666666666666665	0.6888888888888888
P46616_WT	Fold 3	10.0		0.6986542582678511	0.30694542364145133	0.5540265549966458	0.006125941476422395	0.07826839385360092	0.41604776000976573	0.6999286106510965	1.1826541900634773	0.04978809883715733	0.00831018453480894	0.8579497183096861	0.3963488316574177	0.29553088043720516
P46616_WT	Fold 4	10.0		0.323897359774462	0.2172319473301254	0.46608148142800676	0.005386140612508833	0.07339033051096604	0.35733094787597663	0.46456681923035137	0.9592139053344724	0.03957590427417727	0.007279675777560746	0.7456470656356534	0.8267515394048879	0.7191465199607915
P46616_WT	Fold 5	9.0		0.8731858568171714	0.0700890810124552	0.2647434248710536	0.0014751619885197311	0.038407837592342155	0.17578020307752812	0.9132515794494331	0.5230420112609862	0.012007850351352545	0.0020863465149290545	0.957738323551659	0.8833333333333333	0.7777777777777778
P46616_WT	Mean	9.8		0.5437816639278189	0.3810450226329211	0.5800162263318882	0.007699889742449802	0.08316113250110166	0.451236088985867	0.6190439130779664	1.2155309257507325	0.06205857868556767	0.01038570315086763	0.8051556979180436	0.7364382560306428	0.5984910356351548
P46616_WT	SD	0.3651483716701107		0.1923237604428012	0.2223139963334263	0.19284320017533435	0.00407015552052367	0.025562273366297964	0.17000041240687744	0.17339052126193186	0.4183205167545094	0.03434099174343487	0.005445299519143893	0.10569680147898147	0.1648750970591267	0.16036071865549778
P46616_WT	Test set	22.0		0.3325591459613477	0.3527117394357808	0.5938953943547474	0.009148229819006058	0.0956463790166991	0.4570719857649369	0.33983479100979597	1.168141174316406	0.06745505274218337	0.013049823969764264	0.5892439574795449	0.4676462464171786	0.3572993229093912
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	6.0		0.028355093846889834	2.259357803236943	1.5031160311955105	0.030484968914194017	0.17459945278893063	0.9458271312713622	0.08842596557160631	3.5220115089416506	0.31578437888630617	0.04482263020031755	0.3056912665134143	0.5428571428571429	0.4666666666666666
P29276_WT	Fold 2	6.0		0.6181057982541582	0.22344311498981084	0.47269769937012684	0.00451873150487704	0.0672215107303982	0.2825580755869548	0.6574363974071142	1.103424053192139	0.03796465386151867	0.006478841855294126	0.8165818907124698	0.7247137945655605	0.5520524474738833
P29276_WT	Fold 3	6.0		-0.6479728388907453	2.801502601625191	1.6737689809603926	0.04653750958032755	0.2157255422529459	1.1088133195241292	-0.3348614836635302	3.543100986480713	0.44698607523485406	0.07231295848870323	-0.234364413874393	-0.028571428571428574	0.06666666666666665
P29276_WT	Fold 4	6.0		-4.074879639943641	1.1995297058193122	1.0952304350315107	0.019865833390614117	0.14094620743607866	0.755984462738037	-2.8824186390316466	2.4890987396240236	0.1679036162356938	0.02383164565571912	0.03938776974137603	0.5428571428571429	0.3333333333333333
