target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT		32.0	No test data for temporal split at 2013													
P46616_WT		71.0	No test data for temporal split at 2013													
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	8.0		0.24779296284997288	0.22018994598856106	0.4692440153998355	0.00519541415970117	0.0720792214143658	0.40487004661560055	0.2621606685890021	0.8512517738342282	0.039411310771050756	0.0070798833622811586	0.532679319118897	0.6666666666666669	0.4999999999999999
P29276_WT	Fold 2	8.0		-1.641384297475235	4.626846178933858	2.151010501818589	0.07504680217150017	0.2739467141096972	1.6166536722183227	-0.5809620881313515	4.126833515167236	0.73134890317134	0.1173747635005779	-0.9372441302487783	-0.880952380952381	-0.7142857142857142
P29276_WT	Fold 3	8.0		0.11028520269007525	0.4105896856917281	0.6407727254586669	0.009733486011613907	0.09865843102144847	0.5489672746658325	0.3623703257665535	1.1335177230834965	0.0727514626956951	0.01297354822524871	0.6176432945701664	0.4523809523809524	0.2857142857142857
P29276_WT	Fold 4	8.0		-0.1130375435424611	0.29537317289573845	0.5434824494827211	0.006750812131029646	0.08216332594917057	0.44219594097137427	0.5732826950800256	1.1083393096923828	0.05124993952911083	0.00897327719623342	0.8015924176635512	0.7425282823862205	0.5455447255899809
P29276_WT	Fold 5	8.0		0.49000185473533164	0.12610729716064162	0.3551158925768342	0.0028019967442481928	0.0529338903184736	0.29847911405563343	0.7548127554949456	0.5335927391052246	0.021760286459410416	0.0037763363865775945	0.8829506808879806	0.8095238095238096	0.6428571428571428
P29276_WT	Mean	8.0		-0.18126836414846326	1.1358212561341055	0.8319251169473294	0.019905702243618616	0.11595631656263113	0.6622332097053527	0.2743328713598351	1.5507070121765136	0.18330438052532144	0.030035561734183758	0.37952431639836337	0.3580294660010536	0.251966087975139
P29276_WT	SD	0.0		0.689963138515084	1.595695866910896	0.6080856956645982	0.025252047228962807	0.07337026471287883	0.44172329776932845	0.4202499533592205	1.1923312544112923	0.2506042137450511	0.03995701520696578	0.6117755349906083	0.5760384280774424	0.4537412149724217
P29276_WT	Test set	2.0		-1.0196444787207573	7.214372042438418	2.6859583098846525	0.09552660889334	0.3090737919871887	2.0566383361816407	0.16446605733702024	3.784240951538086	1.0161255568723853	0.14515292632464005	1.0	0.9999999999999999	1.0
P47745_WT		288.0	No test data for temporal split at 2013													
A0A2J8P2M1_WT		39.0	Delta activity 1.08 < 2													
Q60613_WT		15.0	Number of points 15 < 30													
Q60612_WT	Fold 1	6.0		0.8166066401139533	0.118480342810541	0.3442097366585393	0.001893060763640207	0.04350931812428468	0.3258567657470703	0.8709157490272577	0.46741825866699216	0.01699561938778397	0.0024617551608120034	0.9349714995250566	0.942857142857143	0.8666666666666666
Q60612_WT	Fold 2	6.0		0.669404605568434	0.3916189422210677	0.6257946486037315	0.006110081643621566	0.07816701122354344	0.5854324919382733	0.6835498527006488	0.955171813964844	0.0548881936750106	0.007886174977843533	0.8320364981659539	0.48571428571428577	0.3333333333333333
Q60612_WT	Fold 3	5.0		0.012721074262923238	1.6115016650325267	1.2694493550482928	0.020425262132842757	0.14291697636335146	1.0709421310424803	0.14252425818332493	2.190520133972168	0.20740809092309825	0.026977887424615064	0.4153562307991652	0.35909242322980395	0.31622776601683794
Q60612_WT	Fold 4	5.0		0.1916796685595079	0.4482255869246584	0.6694965174850862	0.00956876189017492	0.09782004850834475	0.5277923843383789	0.2816882900221438	1.13176473236084	0.07833594143839377	0.013864819574379083	0.9113769469550812	0.9999999999999999	0.9999999999999999
Q60612_WT	Fold 5	5.0		0.6523147569922683	0.27828248435444464	0.5275248661005892	0.003733789343122887	0.06110474075816775	0.42661959609985356	0.7526975991922915	0.8169353942871096	0.035840837196749575	0.004627026829535729	0.8756220114057769	0.8999999999999998	0.7999999999999999
Q60612_WT	Mean	5.4		0.4685453490994174	0.5696218042686476	0.6872950247792478	0.008346191154680467	0.08470361899553841	0.5873286738332112	0.5462751498251334	1.1123620666503906	0.07869373652420723	0.011163532793437082	0.7938726373702067	0.7375327703602466	0.6632455532033675
Q60612_WT	SD	0.447213595499958		0.2827521509144017	0.4865427220574684	0.28467430685835343	0.005990491951963615	0.031244840690626188	0.23509753566360725	0.2581559861739199	0.5308388787737788	0.06161337186431301	0.00802681631687139	0.17565603801269783	0.2394689927138882	0.2590845753166382
Q60612_WT	Test set	13.0		-0.10596274258236726	3.376209556570098	1.8374464771987504	0.04967803758420578	0.22288570520382364	1.6377738794180061	-0.09459440550467901	3.7548822402954105	0.45046680003139367	0.0609760632330453	0.008493408857223883	0.14030274620958602	0.19355241528469092
P28647_WT	Fold 1	28.0		0.7154907853000569	0.6490663434980014	0.8056465375696723	0.015328100054234631	0.12380670439937666	0.6374629575184413	0.7852746993707664	1.9725642585754395	0.11270392851745965	0.019997932275045347	0.8925140679081052	0.8608184013827402	0.675497281257469
P28647_WT	Fold 2	27.0		0.6415227759411577	0.5772248245619244	0.7597531339599228	0.011588260548493186	0.10764878331171786	0.6073493843078613	0.641544332755203	1.5960973167419432	0.09353487257774847	0.015850783414829258	0.8283438005540198	0.8632061471105957	0.6600026938940443
P28647_WT	Fold 3	27.0		0.7055068182807976	0.280482823318923	0.5296062908604117	0.00527210523816748	0.07260926413459566	0.4286435306690357	0.7282584422995824	1.221152591705322	0.04364604268055007	0.006916798146040671	0.8537052903725943	0.8439695049924607	0.6771456210081752
P28647_WT	Fold 4	27.0		0.37487394754938186	0.6821187174764852	0.8259047871737306	0.01209310821403967	0.10996866923828655	0.5964754241660789	0.4459076876625637	2.461202476501465	0.10041756079308276	0.015129775011590803	0.6874817108168627	0.6979087243577077	0.576320129914696
