target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT		32.0	No test data for temporal split at 2013													
P46616_WT		71.0	No test data for temporal split at 2013													
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	8.0		0.6301181696174427	0.10827372815157721	0.32904973507294794	0.0026308221326774807	0.05129154055667933	0.2679767789840697	0.649944765294044	0.5965120124816892	0.019942551763638017	0.003687607302962026	0.8087042683959548	0.8333333333333335	0.7142857142857142
P29276_WT	Fold 2	8.0		-0.8022120104629524	3.1568892728746896	1.7767637076647782	0.04712355415080498	0.21707960325835537	1.2941998987197878	0.0659539175964976	3.5843129920959473	0.46814839975866085	0.07016665229426444	0.268670964590076	0.2142857142857143	0.14285714285714285
P29276_WT	Fold 3	8.0		0.47588265094738313	0.24187209009420751	0.4918049309372645	0.00524924101922514	0.07245164607671202	0.4381766180992128	0.583142967814124	0.659039653778076	0.04117787165248443	0.007086821524801501	0.7636406482742382	0.5952380952380953	0.42857142857142855
P29276_WT	Fold 4	8.0		-0.36062347843075915	0.3610764760561717	0.6008963937786378	0.007604209132518582	0.08720211655985526	0.4432498703002927	0.12498004564698717	1.2861838340759277	0.059567496209250725	0.009916038057464216	0.7520219325226717	0.7380952380952381	0.4999999999999999
P29276_WT	Fold 5	8.0		-0.4383673875798282	0.35566526124829695	0.5963767779250773	0.0075698017426021145	0.08700460759409305	0.4395611672401426	0.004731395042740227	1.2753036499023436	0.059022551599736905	0.009826421572553035	0.34203349161488905	-0.07142857142857144	-0.14285714285714285
P29276_WT	Mean	8.0		-0.09904041118174278	0.8447553656849885	0.7589783090757412	0.01403552563556566	0.10300590280913899	0.5766328666687012	0.2857506182788786	1.4802704284667967	0.1295717741967542	0.020136708150409043	0.587014261079566	0.46190476190476193	0.32857142857142857
P29276_WT	SD	0.0		0.5066602344996722	1.05869345970381	0.4732047583917535	0.01519457747463344	0.053426816160362975	0.3331468227933374	0.24973624645669895	0.9968387548579764	0.15510425071586434	0.022929718260859343	0.21171084976911286	0.31031644541708764	0.2723043515332533
P29276_WT	Test set	2.0		-0.011720010482845655	3.613965049445774	1.9010431477075354	0.045587724073299876	0.21351281945892586	1.8428033733367921	0.0493199314740741	2.3097517395019533	0.4646316547612317	0.06032749316668218	1.0	0.9999999999999999	1.0
P47745_WT		288.0	No test data for temporal split at 2013													
A0A2J8P2M1_WT		39.0	Delta activity 1.08 < 2													
Q60613_WT		15.0	Number of points 15 < 30													
Q60612_WT	Fold 1	6.0		0.2507629299657008	0.48404077966174547	0.6957303929409333	0.008114833758503212	0.09008237207413675	0.5414846744537353	0.5967967211712366	1.4712344551086423	0.06972490110174245	0.010093841503403608	0.7743798524515383	0.6571428571428573	0.6
Q60612_WT	Fold 2	6.0		0.13355530082603762	1.0263789583850285	1.013103626676476	0.015504534587673799	0.12451720599047265	0.8918267510732018	0.15289249634698876	1.7078602218627932	0.14041254207458329	0.019713916720699887	0.5165281969884368	0.48571428571428577	0.3333333333333333
Q60612_WT	Fold 3	5.0		-0.21599289317337922	1.9848236612096755	1.4088376986756408	0.025152742081633622	0.15859616036220303	1.0762968849182128	-0.04976744993666493	2.71109375	0.25865740431467615	0.03401938818172647	0.06665101885641368	0.15389675281277312	0.10540925533894596
Q60612_WT	Fold 4	5.0		0.3232542067020091	0.37526555822147695	0.6125892247023914	0.006683334916179071	0.08175166613702177	0.5817317100524904	0.43977647693389343	0.8268863983154295	0.05831304496111826	0.009199160392046579	0.7478008608640861	0.7	0.6
Q60612_WT	Fold 5	5.0		0.11585709562531521	0.7076558148551334	0.8412228092813065	0.009115501750954682	0.09547513682082201	0.7044056266784666	0.3654379004022372	1.4788920974731443	0.09209444365393296	0.012169968522080143	0.6441948163419388	0.7	0.6
Q60612_WT	Mean	5.4		0.12148732798913671	0.915632954466612	0.9142967504553496	0.012914189418988878	0.11008450827693124	0.7591491294352213	0.3010272289835382	1.639193384552002	0.1238404672212106	0.017039255063991336	0.5499109491004828	0.5393507791339832	0.4477485177344559
Q60612_WT	SD	0.447213595499958		0.16906226159450916	0.5286707645356328	0.25770526862645526	0.006228689669044287	0.02574863194448613	0.18259137294712863	0.2065108902214748	0.5578881119157405	0.06668381583891046	0.00845472787945461	0.23561646861284039	0.19015037812433194	0.18249591162325185
Q60612_WT	Test set	13.0		0.12933859498346412	2.6578972717380243	1.6303058828753654	0.03990972192956658	0.1997741773342255	1.36758103620089	0.13022892985516643	3.622803115844727	0.3562081377859966	0.048530943112381486	0.3670029509816345	0.25274725274725274	0.2051282051282051
P28647_WT	Fold 1	28.0		0.6653260254339681	0.763509938209256	0.8737905574044937	0.017405504586147265	0.1319299230127391	0.7113738636289325	0.7085849946819509	2.174860954284668	0.13050797153235033	0.022768420287091886	0.8496936785388627	0.8348159377479674	0.6701992633652535
P28647_WT	Fold 2	27.0		0.6948446759821363	0.4913651873778054	0.7009744555815178	0.00879308811483441	0.09377146748790066	0.5547896088494194	0.6958330497514847	1.3814413070678713	0.07568453992441855	0.011985808422627066	0.8396046616509222	0.8213740840917942	0.6542883848560006
P28647_WT	Fold 3	27.0		0.18649199777938863	0.7748057864135456	0.8802305302666714	0.013780108744762385	0.11738870790992796	0.6935978291829428	0.19673165067374576	1.756801147460937	0.11942602678599733	0.018699299271335512	0.5684164517979602	0.5114504055218422	0.36857293295381693
P28647_WT	Fold 4	27.0		0.4923527666093279	0.5539293689864018	0.7442643139277886	0.010151995441045805	0.10075711111899648	0.5859147632740161	0.49815139460148805	1.767444267272949	0.08678553648112394	0.013958740063674431	0.7237180551616124	0.7808302808302808	0.6011396011396013
