target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT	Fold 1	5.0		-3.7241887243405483	0.6105069088465285	0.7813494153363963	0.010757712577163302	0.10371939344772174	0.7042815093994139	-1.098299452951811	1.3292439270019534	0.09097271230783761	0.013719634832629701	0.7838099115008157	0.7	0.6
Q4VQ11_WT	Fold 2	5.0		0.30885690179553704	0.7560663162773972	0.8695207394176387	0.013066147963326549	0.11430725245288047	0.6136207733154299	0.5107800094234456	1.7112197494506836	0.11795770131019338	0.018660865534966133	0.8503927722879476	0.39999999999999997	0.39999999999999997
Q4VQ11_WT	Fold 3	4.0		-0.04710022702059069	0.5816685608421389	0.7626719877130266	0.009243820916007003	0.09614479141382025	0.5788297100067139	0.5560344400541852	1.435658023834229	0.08639102449828373	0.012897341603842594	0.7683835259150864	0.7999999999999999	0.6666666666666669
Q4VQ11_WT	Fold 4	4.0		-0.7904812532983903	0.5868610046650885	0.7660685378378937	0.010094661852858554	0.1004721944264111	0.5846907663345338	0.25252520150991575	1.3817474937438963	0.08570150759376993	0.012725123507653757	0.8416708081062473	0.7999999999999999	0.6666666666666669
Q4VQ11_WT	Fold 5	4.0		0.5290275445176114	0.1454480685643487	0.3813765443290249	0.002599633843476492	0.05098660454939603	0.2833310747146607	0.7889692522775551	0.7144646263122558	0.022797393437795854	0.0035831598376998564	0.9129786371599015	1.0	1.0
Q4VQ11_WT	Mean	4.4		-0.744777151669276	0.5361101718391004	0.7121974449267962	0.00915239543056638	0.09312604725804592	0.5529507667541503	0.20200189006265812	1.3144667640686036	0.0807640678295761	0.012317225063358408	0.8314471309939997	0.74	0.6666666666666667
Q4VQ11_WT	SD	0.447213595499958		1.4200034271149335	0.18760937819915866	0.1551477018812601	0.0032075278922157704	0.019998640634190167	0.12971363907881475	0.6135348190879676	0.2991231294119971	0.02858833994945393	0.00445337585997834	0.047182571573985956	0.17888543819998318	0.17638342073763938
Q4VQ11_WT	Test set	10.0		0.5938853191827017	0.21615648821547495	0.4649263255780156	0.003908672971987583	0.06251938077098639	0.36692929077148434	0.6006810234075178	0.9002812843322756	0.033490335335129906	0.005254712584773546	0.8384004271015688	0.8545454545454544	0.7333333333333333
P46616_WT	Fold 1	10.0		0.4697726522901864	0.6155308536367161	0.7845577439785526	0.01079289621339508	0.10388886472281368	0.6048515796661377	0.46985060967495484	1.6856809616088864	0.09486218552496214	0.014786276551031374	0.6894972528376196	0.709090909090909	0.5555555555555555
P46616_WT	Fold 2	10.0		0.322840857355583	0.7159740739905807	0.8461525122521238	0.017608928137524387	0.13269863653227335	0.6892048282623291	0.32647153304964394	1.5023670959472657	0.13307111841715571	0.02507685396842163	0.6473559897544986	0.35757575757575755	0.28888888888888886
P46616_WT	Fold 3	10.0		-0.3661068530020062	1.3914921920712033	1.1796152729051974	0.02750628487910539	0.1658501880586977	0.9196696186065676	-0.27922685272808945	2.4574274063110355	0.22018430284097992	0.035373828560828977	0.297995871875137	0.15853953266296708	0.11366572324507891
P46616_WT	Fold 4	10.0		-0.952790184452444	0.6274319744621164	0.7921060373852206	0.016128679190734418	0.1269987369651148	0.6441661777496337	-0.9043915714888258	1.651556186676025	0.11630295007790128	0.02170193241835907	-0.23355202767464503	-0.2127669402880226	-0.13483997249264842
P46616_WT	Fold 5	9.0		0.6940712928809654	0.16908415259635728	0.41119843457430294	0.0031144515796880973	0.055807271745607644	0.3230321756998698	0.6962529906488355	0.7882541275024417	0.02638738008598808	0.004181772781826274	0.8523846980572023	0.75	0.5555555555555556
P46616_WT	Mean	9.8		0.03355755301445691	0.7039026493513948	0.8027260002190794	0.015030248000089475	0.11704873960490143	0.6361848759969075	0.06179134183130382	1.617057155609131	0.11816158738939742	0.020224132856093462	0.4507363569699625	0.3524878518083222	0.2757651501504861
P46616_WT	SD	0.3651483716701107		0.5542051876639289	0.3588438057190602	0.2227360506737238	0.007342218023583435	0.03328964499902652	0.17430089164556745	0.5305519742885793	0.4851442804883389	0.057154396695336784	0.009505907563486465	0.35321562924001365	0.32719425058506635	0.2420779369596305
P46616_WT	Test set	22.0		0.13993875594014926	0.45450274069690677	0.6741681842811235	0.01056867304501468	0.10280405169551772	0.5051736406846478	0.16994792813958148	2.119555320739746	0.07901975366016374	0.014057925936745607	0.6166161404939621	0.6802260972623052	0.4913089916003166
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	6.0		0.6522960449421281	0.8085131091631107	0.8991735700981822	0.013357948817096987	0.11557659285987361	0.748162784576416	0.6715381177073882	1.4259216690063479	0.11816544298351091	0.01817912381489843	0.8197328440360798	0.8857142857142858	0.7333333333333333
P29276_WT	Fold 2	6.0		0.6049480417021911	0.23114160870039557	0.48077188842568114	0.0046738553019102375	0.06836560028194177	0.3971406936645508	0.690636539453603	0.9555706787109379	0.03893500727671443	0.0065914409650168855	0.939164914611774	0.7714285714285715	0.6
P29276_WT	Fold 3	6.0		-0.31170382782889416	2.2298557351818045	1.493270148091699	0.03521709057023353	0.18766217138846478	0.9621041158040363	-0.017513913157230165	3.0825401878356935	0.34160579663290874	0.05283437298909743	0.08963029976705413	0.2571428571428572	0.2
P29276_WT	Fold 4	6.0		-0.9120630436580368	0.4519469589415868	0.6722700044934229	0.009883805407013233	0.0994173295105699	0.5947215404510496	-0.8950573467571152	1.0215035705566402	0.07788530659306907	0.01348904243343744	-0.02772960373276729	0.08571428571428573	0.06666666666666665
