target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT		32.0	No test data for temporal split at 2013													
P46616_WT		71.0	No test data for temporal split at 2013													
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	8.0		0.6123228808221424	0.11348285740079816	0.33687216774438067	0.002676063182794148	0.05173067931889304	0.2941174688339232	0.6173636107487839	0.6452433395385739	0.02036125655786769	0.0036738388834934854	0.8360725393482118	0.8571428571428572	0.7142857142857142
P29276_WT	Fold 2	8.0		-1.034973924325083	3.564612440148659	1.888018124952369	0.054471303339546015	0.2333908810119753	1.4008052496910097	-0.2435854008293632	3.581431941986084	0.5384190487928837	0.08229044950320485	-0.4773293194184538	-0.38095238095238104	-0.3571428571428571
P29276_WT	Fold 3	8.0		-0.32145727705106664	0.6098321953056629	0.7809175342542021	0.013040551941399496	0.11419523607138564	0.5527869215011596	-0.2525317553435058	1.8155833091735838	0.10115845961637726	0.016939971543181387	0.3046310308205493	0.261904761904762	0.21428571428571427
P29276_WT	Fold 4	8.0		-0.948607818062674	0.5171132611742459	0.7191058761922655	0.012707997620122192	0.1127297548126589	0.6756236944198608	-0.2004435214385758	1.0188031387329097	0.09479119407283765	0.017451992305777764	0.3945824478927253	0.4285714285714286	0.42857142857142855
P29276_WT	Fold 5	8.0		0.13210912377359074	0.2146034718900687	0.46325314018371067	0.004933721418270439	0.07024045428576355	0.3569310550689696	0.14478558884113923	0.8247730827331541	0.037754888316892554	0.0066562063844862185	0.40270936519538403	0.5714285714285715	0.42857142857142855
P29276_WT	Mean	8.0		-0.3121214029686181	1.003928845183887	0.8376333686653856	0.017565927500426456	0.11645740110013528	0.6560528779029846	0.013117704395695661	1.577166962432861	0.15849696947137176	0.025402491724028742	0.29213321276768334	0.3476190476190476	0.2857142857142857
P29276_WT	SD	0.0		0.5744063424525995	1.1807716867855265	0.5019123303942675	0.017259615495902665	0.05776101070668018	0.36197929847072335	0.30673660362232547	0.984908524634944	0.17575885100099412	0.026440568568622695	0.3896198373968065	0.3773640524982657	0.32732683535398854
P29276_WT	Test set	2.0		0.8146085970909704	0.6622366303313445	0.8137792270212754	0.009836866885847315	0.09918098046423676	0.8075724983215333	0.8174257887390379	0.9078884506225586	0.08983574748981749	0.01250719105510023	1.0	0.9999999999999999	1.0
P47745_WT		288.0	No test data for temporal split at 2013													
A0A2J8P2M1_WT		39.0	Delta activity 1.08 < 2													
Q60613_WT		15.0	Number of points 15 < 30													
Q60612_WT	Fold 1	6.0		-0.012301188733949475	0.6539920089977146	0.8086977241205237	0.009822620042528507	0.09910913198352868	0.7684438972473143	0.17670361861744777	1.2642171478271482	0.0897892866218412	0.012639160289262744	0.7334452207762735	0.6571428571428573	0.6
Q60612_WT	Fold 2	6.0		0.6257093536492623	0.4433797611099446	0.6658676753754792	0.008435093544436402	0.09184276533530772	0.5340194822947185	0.644843280368814	1.1504035186767574	0.06974298958945606	0.011129983361504614	0.8403365636393461	0.7714285714285715	0.6
Q60612_WT	Fold 3	5.0		-0.13836630196041044	1.8581164280971023	1.3631274438206804	0.024294193271593593	0.15586594647835553	1.0872646484375	0.0770540008369458	2.4690960311889647	0.24633517452479553	0.033149315756192	0.3181557321036998	0.46169025843831935	0.31622776601683794
Q60612_WT	Fold 4	5.0		-0.19812691272936656	0.6643791053867425	0.8150945376989975	0.01517146462496743	0.12317249946707841	0.6828189155578613	-0.059765817475386784	1.3372691497802736	0.1219748652575813	0.022639909187950114	0.9080740712096711	0.9999999999999999	0.9999999999999999
Q60612_WT	Fold 5	5.0		0.24045912252424262	0.607926067049122	0.7796961376389664	0.00886026720315892	0.09412899236239024	0.6694284614562986	0.8003568851441338	1.151468048095703	0.08486386112273045	0.012164685723049917	0.8949363928303444	0.9999999999999999	0.9999999999999999
Q60612_WT	Mean	5.4		0.10347481454995569	0.8455586741281251	0.8864967037309295	0.01331672773733697	0.11282386712533213	0.7483950809987385	0.32783839349839095	1.4744907791137694	0.12254123542328091	0.01834461086359188	0.738989596111867	0.7780523374019496	0.7032455532033676
Q60612_WT	SD	0.447213595499958		0.2751812811368491	0.4677987748424974	0.2230139539773276	0.005474851290933715	0.02212658175555617	0.16917810957917456	0.3054334022861028	0.45855945091829003	0.05860203292980972	0.007750520043249804	0.20012997949115321	0.18853358302252152	0.24056477280850555
Q60612_WT	Test set	13.0		-0.2691309353202429	3.874318570951167	1.9683288777415138	0.05677152021619209	0.23826774900559264	1.7430078377356897	-0.26844958567876254	3.6018095779418946	0.5163348161200769	0.06999962772239073	0.0418793789333706	0.0879120879120879	0.025641025641025637
P28647_WT	Fold 1	28.0		0.7251927705069143	0.6269326770382773	0.79179080383538	0.014734784667269293	0.12138692131885252	0.626797698157174	0.7561261109407081	1.843801498413086	0.10930235467872018	0.01940762259688487	0.8774963988621731	0.8266046334422497	0.6543052096886072
P28647_WT	Fold 2	27.0		0.6651294113021483	0.539213104317995	0.7343113129443091	0.0092768474494253	0.09631639242322824	0.5748860199539749	0.6711299692312039	1.7572137832641603	0.07950781657583735	0.012047134843141098	0.8247448400178106	0.8406107262099293	0.6771456210081752
P28647_WT	Fold 3	27.0		0.3871526639212699	0.5836914460408197	0.7639970196544091	0.009759351946584227	0.09878943236290118	0.5548707249959309	0.41117844738755893	2.210291881561279	0.08860503383226272	0.013577055924098249	0.6771098843161976	0.633587815795715	0.47143049563860306
P28647_WT	Fold 4	27.0		0.40701406731500156	0.64704838695975	0.8043931793344284	0.011764793533760344	0.10846563296159915	0.6701700453581632	0.42583265971517814	1.7778948974609374	0.10034070484142907	0.015829558042797825	0.6906635926364898	0.6166056166056165	0.4586894586894587
