target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT	Fold 1	5.0		-1.3575105601462494	0.3046610896876995	0.5519611305949899	0.005850551302382983	0.07648889659540778	0.5071837310791014	-0.032570867366690015	0.8163864898681643	0.04807428180019535	0.00764755551459082	0.7637816818289804	0.6	0.39999999999999997
Q4VQ11_WT	Fold 2	5.0		0.6467135041326396	0.38647281614315665	0.6216693784827725	0.006179221975587109	0.07860802742460282	0.463019775390625	0.7153661624490881	1.2734746551513672	0.057035696686983425	0.008528160600525502	0.9595051266121637	0.8999999999999998	0.7999999999999999
Q4VQ11_WT	Fold 3	4.0		0.9134900527151496	0.04805663797713866	0.2192182428018678	0.0010078148732728667	0.031746100126989876	0.18618420886993392	0.9643871390058735	0.3337526130676274	0.008193061001402047	0.001405552340889682	0.9989228905369987	1.0	1.0
Q4VQ11_WT	Fold 4	4.0		0.327970367891647	0.22026926243281456	0.46932852292697336	0.005166512063066573	0.071878453399239	0.39412887573242195	0.8018969127386748	0.696638813018799	0.03905604573214516	0.006941243201328606	0.9955854013799568	1.0	1.0
Q4VQ11_WT	Fold 5	4.0		0.5431979961499095	0.14107187883900424	0.3755953658380309	0.002847931039568506	0.053366010152235535	0.29449815273284896	0.7004309308004952	0.5954918479919433	0.023590114215474856	0.004005290591151067	0.8568441579975391	1.0	1.0
Q4VQ11_WT	Mean	4.4		0.21477227214861924	0.2201063370159627	0.44755452812892693	0.004210406250775607	0.062417497539695	0.36900294876098627	0.6299020555254883	0.7431488838195802	0.03518983988724017	0.005705560449697136	0.9149278516711277	0.9	0.8400000000000001
Q4VQ11_WT	SD	0.447213595499958		0.7379623222724501	0.10853177924761978	0.1284564821488076	0.0018070869608886426	0.016188016443699334	0.10609591634010108	0.3142746440519228	0.2823060585308335	0.015924705943017328	0.002402995201614622	0.0834334270032088	0.1414213562373095	0.21291625896895083
Q4VQ11_WT	Test set	10.0		0.642486152234524	0.1902884615396439	0.4362206569382563	0.0037037546564296026	0.06085848056293883	0.38488723754882814	0.756245946055919	0.7506428527832032	0.030641174677866444	0.00495940487911053	0.8765356134345493	0.8666666666666665	0.7777777777777777
P46616_WT	Fold 1	10.0		0.508665593993574	0.5703807765791458	0.7552355768759479	0.011780203471415732	0.10853664575347689	0.6495961265563965	0.5221885849349883	1.6265608215332028	0.09659729603073738	0.016611049514437592	0.7295232753821657	0.7575757575757575	0.6444444444444444
P46616_WT	Fold 2	10.0		0.7495030388021449	0.26485550963795645	0.5146411464680574	0.007184708874651688	0.08476266203141385	0.46565567588806156	0.7516920009131038	0.806301784515381	0.05148580610053628	0.010165599537882031	0.8673229296676581	0.7575757575757575	0.6444444444444444
P46616_WT	Fold 3	10.0		0.2865475525624359	0.7267099991789612	0.8524728729871475	0.01552780622084433	0.12461061841129081	0.6476694011688234	0.3890192699393702	1.902076625823975	0.11954687040345675	0.019899239561085302	0.6786909929814373	0.4695209236557102	0.34099716973523675
P46616_WT	Fold 4	10.0		-1.4719328981603699	0.7942326581621513	0.8911973171874741	0.020230381383450558	0.1422335452115659	0.7520431137084961	-1.29742810069262	1.6963440322875973	0.145994771901068	0.026961200961196495	-0.47577900198281176	-0.5471149893120582	-0.4494665749754947
P46616_WT	Fold 5	9.0		0.6563624595668307	0.18992549889027316	0.43580442734129393	0.0038889890053244672	0.06236175915835335	0.3658098475138346	0.6779762077523803	0.8369970130920414	0.031616816132523776	0.005311881070733697	0.8833090365369654	0.9166666666666666	0.7777777777777778
P46616_WT	Mean	9.8		0.14582914935292313	0.5092208884896976	0.6898702681719842	0.011722417791137352	0.10450104611322016	0.5761548329671224	0.20868959256944453	1.3736560554504396	0.08904831211366444	0.015789794129067024	0.5366134465170829	0.47084482323236665	0.39163945228528174
P46616_WT	SD	0.3651483716701107		0.7520718519060559	0.22133599580432295	0.16658306632131079	0.0053044505453294505	0.025851324150160233	0.12773652635524474	0.6969304675227014	0.41976391118298323	0.03859915173263207	0.006877263986416784	0.46760120035607505	0.4829476000160533	0.40557521382427164
P46616_WT	Test set	22.0		0.41638466644216576	0.3084138140705667	0.5553501724772999	0.007838878412946606	0.08853744074088998	0.4438055142489345	0.4932969379014279	1.3706053161621092	0.05690103576636824	0.01067267548352408	0.7328510309116963	0.6988701680344447	0.5260919290587461
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	6.0		0.2765223916796121	1.6822964536473286	1.297033713381163	0.024901017938662715	0.15780056380971114	1.0245309193929037	0.28852388778190907	2.173271408081055	0.22897341753677006	0.031713053260311964	0.5373982673827811	0.3142857142857143	0.3333333333333333
P29276_WT	Fold 2	6.0		0.6085097917259357	0.22905765844275286	0.47859968495889427	0.00484131277145484	0.06957954276549135	0.3685502910614014	0.6248291351348869	0.9742603111267094	0.03953398721404433	0.006882722788505695	0.7980476568760433	0.6	0.3333333333333333
P29276_WT	Fold 3	6.0		-0.4105624511374846	2.397912321950867	1.5485193966983	0.03909670234237924	0.19772886067132245	1.2146000404357908	-0.28788830350144745	2.8754574394226076	0.36873772492291607	0.0572248578689886	-0.39461282680015997	-0.4285714285714286	-0.2
P29276_WT	Fold 4	6.0		-0.7028329548860723	0.4024920507191782	0.6344226120806054	0.008327959198083408	0.09125765281927543	0.59721857770284	-0.5693747812659664	0.9096800804138185	0.06652577089002361	0.011030774080497574	-0.08427533792185621	-0.08571428571428573	-0.06666666666666665
P29276_WT	Fold 5	5.0		0.3631307630859939	0.41774459364226335	0.6463316436956057	0.0094234480216825	0.0970744457706687	0.5043088111877442	0.3638958463240012	1.209952030181885	0.07481584367023046	0.01349080097745956	0.641172709779112	0.6	0.39999999999999997
