target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q0VC81_WT		1.0	Number of points 1 < 30													
P35342_WT		1.0	Number of points 1 < 30													
E1BKU0_WT		3.0	Number of points 3 < 30													
P34970_WT		12.0	Number of points 12 < 30													
O02667_WT		11.0	Number of points 11 < 30													
Q28309_WT		5.0	Number of points 5 < 30													
Q4VQ11_WT		32.0	No test data for temporal split at 2013													
P46616_WT		71.0	No test data for temporal split at 2013													
P49892_WT		13.0	Number of points 13 < 30													
Q60614_WT		8.0	Number of points 8 < 30													
P29276_WT	Fold 1	8.0		0.891472653524587	0.031768687845892714	0.17823772845807004	0.000693811978795725	0.026340310909245643	0.15741077566146844	0.9550816348929762	0.2580821189880371	0.005532230094524859	0.0009705982285245218	0.977285688019083	0.9523809523809524	0.8571428571428571
P29276_WT	Fold 2	8.0		-1.1280335984916894	3.72762272162953	1.930705239447371	0.057985166339806625	0.24080109289578946	1.4924892334938051	-0.0639299377340159	3.4865933227539063	0.567227913478648	0.08738414105516285	-0.1129243241252718	0.07142857142857144	0.0
P29276_WT	Fold 3	8.0		0.45994655744152313	0.2492263519807228	0.4992257525215649	0.00586178482801254	0.07656229377449802	0.3921035676002502	0.4601791250287165	0.9321247673034669	0.04514058978839541	0.008251749206517722	0.681112429423477	0.5952380952380953	0.3571428571428571
P29276_WT	Fold 4	8.0		-4.113679429173813	1.3570465137765733	1.1649233939519685	0.029372294996433984	0.1713834735219064	0.9994153771400451	-0.6887177366254549	1.830857276916504	0.2237341305136702	0.03720796166778706	0.19271764715913292	0.19047619047619052	0.14285714285714285
P29276_WT	Fold 5	8.0		0.09745999547624451	0.2231711656339019	0.47240995505376676	0.005011170147568866	0.07078961892515644	0.3585673909187316	0.5638776065656974	0.9472210884094237	0.03845290120499012	0.006647776797432836	0.7996920620107753	0.7142857142857144	0.5714285714285714
P29276_WT	Mean	8.0		-0.7585667642446297	1.1177670881733242	0.8491004138865483	0.019784845658123548	0.1171753580053192	0.6799972689628601	0.24529813842558384	1.4909757148742675	0.1760175530160457	0.028092445391085	0.5075767004974393	0.5047619047619049	0.3857142857142857
P29276_WT	SD	0.0		1.6499228943930364	1.2650861941361944	0.575033024639322	0.019696718689980897	0.07103274558521601	0.4511961349242734	0.5195297530321972	1.0186608208227363	0.19167701834275366	0.029404419853149094	0.36973646281991507	0.2997227239671405	0.27847983842311325
P29276_WT	Test set	2.0		0.26162503914743795	2.6375491976614374	1.6240533235277212	0.04028507246247701	0.20071141587482516	1.3358150863647462	0.5004613686739862	2.259474792480469	0.35269165099194133	0.04749133312096698	1.0	0.9999999999999999	1.0
P47745_WT		288.0	No test data for temporal split at 2013													
A0A2J8P2M1_WT		39.0	Delta activity 1.08 < 2													
Q60613_WT		15.0	Number of points 15 < 30													
Q60612_WT	Fold 1	6.0		-0.5215327750807266	0.9829784726178308	0.9914527082104475	0.016562618423381147	0.1286958368533386	0.8694522463480632	-0.43672760196319493	1.6214215660095217	0.1485021515940268	0.022729981212835426	0.26279382829777487	-0.028571428571428574	-0.06666666666666665
Q60612_WT	Fold 2	6.0		0.28277477735347356	0.8496155353587209	0.921745916920016	0.012982631938458727	0.11394135306577119	0.8154726912180584	0.2891143976065367	1.3100895690917973	0.11888214738138132	0.016958588176912166	0.5586344474045477	0.6	0.4666666666666666
Q60612_WT	Fold 3	5.0		-1.0314873056287395	3.3159273333714303	1.820968789785105	0.04501341326467655	0.21216364736843243	1.430293257141113	-0.010671614172215405	3.497682418823242	0.46386940538398774	0.06582045394750305	0.1951641327034911	0.46169025843831935	0.31622776601683794
Q60612_WT	Fold 4	5.0		0.3780463665134357	0.3448824946820757	0.5872669705356123	0.0061654899320704995	0.07852063379819664	0.4782364295959475	0.5061129550435086	0.9491231231689454	0.05235290940418409	0.00798709266431965	0.7586529214537883	0.7999999999999999	0.6
Q60612_WT	Fold 5	5.0		-0.2842405187399928	1.0278884400499524	1.0138483318770872	0.01261070074029456	0.11229737637315736	0.8004031318664551	-0.021388518106844723	1.9442060089111326	0.13191072550394195	0.016989293343934442	0.15000299449642915	-0.09999999999999999	0.0
Q60612_WT	Mean	5.4		-0.23528789111650988	1.304258455216002	1.0670565434656534	0.018666970859776297	0.12912376949177926	0.8787715512339276	0.06528792368155804	1.864504537200928	0.1831034678535044	0.026097081869100945	0.38504966487120623	0.3466237659733781	0.2632455532033676
Q60612_WT	SD	0.447213595499958		0.47659099184752834	0.9445912084130214	0.37153823071918823	0.012408602316468557	0.040763781023621895	0.2813182598734465	0.29146962210076843	0.8039497018382642	0.13157225275586582	0.01863562557704652	0.2144609569025767	0.3222923221703185	0.2365484854511815
Q60612_WT	Test set	13.0		0.21085895967191903	2.4090373203859623	1.5521073804302208	0.036214955185656025	0.1903022732014939	1.4123536978501539	0.21175211060250954	2.293288135528565	0.3290225899943954	0.04570841738867258	0.5093109621715544	0.49793719733206016	0.3742013362170691
P28647_WT	Fold 1	28.0		0.516873123359729	1.102183616784534	1.0498493305158287	0.02459096613979855	0.15681506987467292	0.8306819974354335	0.5483059784737436	2.6723828315734863	0.18522816397634953	0.03173564346774176	0.7446847830710742	0.6292596199615006	0.4741726013532821
P28647_WT	Fold 2	27.0		0.6126224842667898	0.6237604610596763	0.789785072699957	0.01175274085894367	0.10841005884577165	0.6407911487155489	0.6135401526625119	1.7426168441772463	0.09633839429341434	0.015373981797325865	0.7877983987776735	0.8174046182578935	0.6428597667799133
P28647_WT	Fold 3	27.0		0.25398229781383574	0.7105263019453706	0.8429272222116039	0.012632115674755813	0.1123926851479037	0.6220814895629881	0.25507955552819417	2.065660285949707	0.10825849135305664	0.016688274386277777	0.5616445997511134	0.5361832311023015	0.39143016910599165
P28647_WT	Fold 4	27.0		0.26231569911375174	0.8049388875259117	0.8971838649496053	0.014110008911264205	0.11878555851307938	0.7035058208041719	0.2830802010517717	2.2804046249389645	0.12023463629302567	0.01833016914382474	0.6170028421852918	0.5763125763125762	0.4415954415954416
