target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		1:215	Not enough data in minority class of the training set for all 5 folds										
P51686_WT	Fold 1	7:3		-0.5345224838248488	0.3	0.21428571428571427	0.0	0.42857142857142855	0.0	0.5	0.0	0.8095238095238095	0.1904761904761905
P51686_WT	Fold 2	7:3		-0.0890870806374748	0.5	0.45238095238095233	0.3333333333333333	0.5714285714285714	0.25	0.6666666666666666	0.28571428571428575	0.5714285714285714	0.4285714285714286
P51686_WT	Fold 3	6:4		0.3563483225498992	0.7	0.6666666666666667	0.5	0.8333333333333334	0.6666666666666666	0.7142857142857143	0.5714285714285715	0.16666666666666669	0.8333333333333334
P51686_WT	Fold 4	6:4		-0.0890870806374748	0.5	0.4583333333333333	0.25	0.6666666666666666	0.3333333333333333	0.5714285714285714	0.28571428571428575	0.375	0.625
P51686_WT	Fold 5	6:4		0.0	0.6	0.5	0.0	1.0	0.0	0.6	0.0	0.625	0.375
P51686_WT	Mean	-		-0.07126966450997985	0.52	0.45833333333333337	0.21666666666666665	0.7	0.25	0.6104761904761905	0.2285714285714286	0.5095238095238095	0.4904761904761905
P51686_WT	SD	-		0.25922146360933773	0.12110601416389966	0.1321196175760833	0.17743021580745902	0.18215971495802888	0.22566773346211	0.0680358271187388	0.19518001458970666	0.20116934236704662	0.20116934236704662
P51686_WT	Test set	97:21		-0.04301608180299855	0.8135593220338984	0.4948453608247423	0.0	0.9896907216494846	0.0	0.8205128205128205	0.0	0.5537555228276878	0.4462444771723122
P51685_WT		117:53	No test data for temporal split at 2013										
P13500_WT		21:6	Number of points 27 < 30										
P46092_WT		22:13	Not enough training data for temporal split at 2013										
P51677_WT	Fold 1	106:31		0.6725090854934748	0.8905109489051095	0.8151247717589775	0.6774193548387096	0.9528301886792453	0.8076923076923077	0.9099099099099099	0.7368421052631579	0.060559951308581855	0.9394400486914182
P51677_WT	Fold 2	106:31		0.43916130762304867	0.8175182481751825	0.6994826536822885	0.4838709677419355	0.9150943396226415	0.625	0.8584070796460177	0.5454545454545454	0.19567863664029214	0.8043213633597077
P51677_WT	Fold 3	106:31		0.8104002926616151	0.9343065693430657	0.9004869141813756	0.8387096774193549	0.9622641509433962	0.8666666666666667	0.9532710280373832	0.8524590163934426	0.04503956177723676	0.9549604382227633
P51677_WT	Fold 4	106:30		0.6939653933176771	0.8970588235294118	0.8383647798742138	0.7333333333333333	0.9433962264150944	0.7857142857142857	0.9259259259259259	0.7586206896551724	0.08616352201257861	0.9138364779874214
P51677_WT	Fold 5	105:31		0.592427989095087	0.8676470588235294	0.7551459293394778	0.5483870967741935	0.9619047619047619	0.8095238095238095	0.8782608695652174	0.6538461538461537	0.08663594470046082	0.9133640552995392
P51677_WT	Mean	-		0.6416928136381805	0.8814083297552597	0.8017210097672667	0.6563440860215054	0.9470979335130278	0.7789194139194139	0.9051549626168909	0.7094445021224944	0.09481552328783004	0.9051844767121701
P51677_WT	SD	-		0.11224252947811307	0.03511252028411972	0.06311239995665396	0.11621130763948155	0.01591669838459892	0.07438799754784757	0.030762138513179608	0.09452156684170963	0.048246279343618886	0.04824627934361895
P51677_WT	Test set	65:9		0.3145386319505849	0.8918918918918919	0.5555555555555556	0.1111111111111111	1.0	1.0	0.8904109589041096	0.19999999999999998	0.3384615384615385	0.6615384615384615
P51679_WT	Fold 1	15:20		0.24834981694969574	0.6285714285714286	0.625	0.65	0.6	0.6842105263157895	0.5625	0.6666666666666667	0.3233333333333333	0.6766666666666666
P51679_WT	Fold 2	14:21		0.3202563076101743	0.6857142857142857	0.6428571428571428	0.8571428571428571	0.42857142857142855	0.6923076923076923	0.6666666666666666	0.7659574468085107	0.24489795918367346	0.7551020408163266
P51679_WT	Fold 3	14:20		0.5282214092053228	0.7647058823529411	0.7678571428571428	0.75	0.7857142857142857	0.8333333333333334	0.6875	0.7894736842105262	0.16071428571428573	0.8392857142857143
