target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		4:70	Not enough data in minority class of the training set for all 5 folds										
P51684_WT	Fold 1	3:32		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P51684_WT	Fold 2	2:32		0.6963106238227914	0.9705882352941176	0.75	1.0	0.5	0.9696969696969697	1.0	0.9846153846153847	0.09375	0.90625
P51684_WT	Fold 3	2:32		0.46875	0.9411764705882353	0.734375	0.96875	0.5	0.96875	0.5	0.96875	0.015625	0.984375
P51684_WT	Fold 4	3:31		0.8036375634160796	0.9705882352941176	0.8333333333333333	1.0	0.6666666666666666	0.96875	1.0	0.9841269841269841	0.0	1.0
P51684_WT	Fold 5	3:31		0.0	0.9117647058823529	0.5	1.0	0.0	0.9117647058823529	0.0	0.9538461538461539	0.15053763440860218	0.8494623655913979
P51684_WT	Mean	-		0.5937396374477741	0.9588235294117649	0.7635416666666666	0.99375	0.5333333333333333	0.9637923351158646	0.7	0.9782677045177046	0.051982526881720434	0.9480174731182796
P51684_WT	SD	-		0.31298950868965414	0.0273808628309195	0.1479142214195381	0.01141088661469096	0.2950204010522612	0.026146672164811504	0.3651483716701107	0.014340593337221975	0.05505128971134407	0.055051289711344056
P51684_WT	Test set	4:70		0.8599050062177275	0.9864864864864865	0.875	1.0	0.75	0.9859154929577465	1.0	0.9929078014184397	0.0	1.0
P51686_WT	Fold 1	19:5		0.24210526315789474	0.75	0.6210526315789473	0.4	0.8421052631578947	0.4	0.8421052631578947	0.4000000000000001	0.2	0.8
P51686_WT	Fold 2	18:6		0.25819888974716115	0.75	0.611111111111111	0.3333333333333333	0.8888888888888888	0.5	0.8	0.4	0.2592592592592593	0.7407407407407407
P51686_WT	Fold 3	18:5		0.5855400437691199	0.8695652173913043	0.7	0.4	1.0	1.0	0.8571428571428571	0.5714285714285715	0.24444444444444444	0.7555555555555555
P51686_WT	Fold 4	18:5		0.21144501580551553	0.782608695652174	0.5722222222222222	0.2	0.9444444444444444	0.5	0.8095238095238095	0.28571428571428575	0.06666666666666668	0.9333333333333333
P51686_WT	Fold 5	18:5		0.21144501580551553	0.782608695652174	0.5722222222222222	0.2	0.9444444444444444	0.5	0.8095238095238095	0.28571428571428575	0.14444444444444443	0.8555555555555556
P51686_WT	Mean	-		0.30174684565704135	0.7869565217391303	0.6153216374269006	0.30666666666666664	0.9239766081871345	0.58	0.8236591478696742	0.3885714285714286	0.18296296296296294	0.8170370370370371
P51686_WT	SD	-		0.1305762632019316	0.039986607713975046	0.04269292895366974	0.08255189164891871	0.04924680349574964	0.19493588689617927	0.020086433291074048	0.0956182887467515	0.06442031618698763	0.06442031618698764
P51686_WT	Test set	38:13		0.06571520774535256	0.7058823529411765	0.5242914979757085	0.15384615384615385	0.8947368421052632	0.3333333333333333	0.7555555555555555	0.21052631578947367	0.2854251012145749	0.7145748987854251
P51685_WT	Fold 1	17:7		0.4698714938993648	0.7916666666666666	0.6428571428571428	0.2857142857142857	1.0	1.0	0.7727272727272727	0.4444444444444445	0.36134453781512604	0.638655462184874
P51685_WT	Fold 2	17:7		0.8997354108424374	0.9583333333333334	0.9285714285714286	0.8571428571428571	1.0	1.0	0.9444444444444444	0.923076923076923	0.008403361344537816	0.9915966386554622
P51685_WT	Fold 3	17:7		0.5966386554621849	0.8333333333333334	0.7983193277310925	0.7142857142857143	0.8823529411764706	0.7142857142857143	0.8823529411764706	0.7142857142857143	0.15966386554621848	0.8403361344537815
P51685_WT	Fold 4	16:8		0.7130240959073808	0.875	0.84375	0.75	0.9375	0.8571428571428571	0.8823529411764706	0.7999999999999999	0.15625	0.84375
P51685_WT	Fold 5	16:7		0.693687975619296	0.8695652173913043	0.7857142857142857	0.5714285714285714	1.0	1.0	0.8421052631578947	0.7272727272727273	0.0	1.0
P51685_WT	Mean	-		0.6745915263461327	0.8655797101449275	0.7998424369747898	0.6357142857142858	0.9639705882352942	0.9142857142857143	0.8647965725365105	0.7218159618159617	0.13713235294117648	0.8628676470588236
P51685_WT	SD	-		0.1294336685127838	0.05035015318949864	0.0849954258154641	0.18023038921691012	0.04331375433830337	0.10432810619146021	0.05156207771186489	0.14355031517470576	0.1200837852195693	0.12008378521956928
P51685_WT	Test set	34:17		0.48890120703870477	0.7843137254901961	0.7058823529411764	0.47058823529411764	0.9411764705882353	0.8	0.7804878048780488	0.5925925925925927	0.0934256055363322	0.9065743944636677
