target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		4:70	Not enough data in minority class of the training set for all 5 folds										
P51684_WT	Fold 1	3:32		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P51684_WT	Fold 2	2:32		0.36293309315564887	0.9117647058823529	0.71875	0.9375	0.5	0.967741935483871	0.3333333333333333	0.9523809523809523	0.0390625	0.9609375
P51684_WT	Fold 3	2:32		0.46875	0.9411764705882353	0.734375	0.96875	0.5	0.96875	0.5	0.96875	0.046875	0.953125
P51684_WT	Fold 4	3:31		0.8036375634160796	0.9705882352941176	0.8333333333333333	1.0	0.6666666666666666	0.96875	1.0	0.9841269841269841	0.0	1.0
P51684_WT	Fold 5	3:31		0.0	0.9117647058823529	0.5	1.0	0.0	0.9117647058823529	0.0	0.9538461538461539	0.043010752688172046	0.956989247311828
P51684_WT	Mean	-		0.5270641313143457	0.9470588235294117	0.7572916666666666	0.98125	0.5333333333333333	0.9634013282732449	0.5666666666666667	0.9718208180708181	0.025789650537634413	0.9742103494623656
P51684_WT	SD	-		0.3184067978101104	0.03131121455425748	0.14882837182224112	0.02282177322938192	0.2950204010522612	0.02608275609651093	0.35486043161491804	0.016612921039828053	0.019354323392059655	0.01935432339205965
P51684_WT	Test set	4:70		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P51686_WT	Fold 1	19:5		0.1777046633277277	0.7083333333333334	0.5947368421052632	0.4	0.7894736842105263	0.3333333333333333	0.8333333333333334	0.3636363636363636	0.28421052631578947	0.7157894736842105
P51686_WT	Fold 2	18:6		-0.05923488777590923	0.625	0.4722222222222222	0.16666666666666666	0.7777777777777778	0.2	0.7368421052631579	0.1818181818181818	0.3148148148148148	0.6851851851851852
P51686_WT	Fold 3	18:5		0.21144501580551553	0.782608695652174	0.5722222222222222	0.2	0.9444444444444444	0.5	0.8095238095238095	0.28571428571428575	0.24444444444444446	0.7555555555555555
P51686_WT	Fold 4	18:5		0.3143730417143384	0.782608695652174	0.6444444444444444	0.4	0.8888888888888888	0.5	0.8421052631578947	0.4444444444444445	0.15555555555555556	0.8444444444444444
P51686_WT	Fold 5	18:5		0.03627381250550058	0.6956521739130435	0.5166666666666667	0.2	0.8333333333333334	0.25	0.7894736842105263	0.22222222222222224	0.3	0.7000000000000001
P51686_WT	Mean	-		0.13611232911543458	0.7188405797101449	0.5600584795321637	0.2733333333333333	0.8467836257309942	0.35666666666666663	0.8022556390977444	0.2995670995670996	0.25980506822612087	0.7401949317738792
P51686_WT	SD	-		0.12063034592748471	0.05414010222217022	0.054878037597218744	0.09506333171647752	0.05706375894818793	0.11369224215365763	0.03427572196552023	0.08673066911543117	0.05218754768403132	0.0521875476840313
P51686_WT	Test set	38:13		0.08330923113952962	0.6862745098039216	0.5364372469635628	0.23076923076923078	0.8421052631578947	0.3333333333333333	0.7619047619047619	0.27272727272727276	0.22672064777327938	0.7732793522267207
P51685_WT	Fold 1	17:7		0.4698714938993648	0.7916666666666666	0.6428571428571428	0.2857142857142857	1.0	1.0	0.7727272727272727	0.4444444444444445	0.18907563025210083	0.8109243697478992
P51685_WT	Fold 2	17:7		0.9074852129730302	0.9583333333333334	0.9705882352941176	1.0	0.9411764705882353	0.875	1.0	0.9333333333333333	0.008403361344537816	0.9915966386554622
P51685_WT	Fold 3	17:7		0.6390644422470537	0.8333333333333334	0.8403361344537814	0.8571428571428571	0.8235294117647058	0.6666666666666666	0.9333333333333333	0.75	0.11764705882352941	0.8823529411764706
P51685_WT	Fold 4	16:8		0.6123724356957945	0.8333333333333334	0.78125	0.625	0.9375	0.8333333333333334	0.8333333333333334	0.7142857142857143	0.08984375	0.91015625
P51685_WT	Fold 5	16:7		0.7968190728895957	0.9130434782608695	0.8571428571428572	0.7142857142857143	1.0	1.0	0.8888888888888888	0.8333333333333333	0.06249999999999999	0.9375
P51685_WT	Mean	-		0.6851225315409678	0.8659420289855072	0.8184348739495799	0.6964285714285714	0.9404411764705882	0.875	0.8856565656565657	0.7350793650793651	0.09349396008403361	0.9065060399159665
P51685_WT	SD	-		0.13884536523508056	0.0553747583212174	0.09775724444529223	0.2206399165815552	0.05883884604512201	0.11283386673105501	0.07170389216457614	0.14948920616459627	0.0546711188837872	0.05467111888378721
