target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		1:215	Not enough data in minority class of the training set for all 5 folds										
P51686_WT	Fold 1	7:3		-0.3273268353539886	0.5	0.35714285714285715	0.0	0.7142857142857143	0.0	0.625	0.0	0.5714285714285714	0.4285714285714286
P51686_WT	Fold 2	7:3		-0.0890870806374748	0.5	0.45238095238095233	0.3333333333333333	0.5714285714285714	0.25	0.6666666666666666	0.28571428571428575	0.6190476190476191	0.380952380952381
P51686_WT	Fold 3	6:4		0.3563483225498992	0.7	0.6666666666666667	0.5	0.8333333333333334	0.6666666666666666	0.7142857142857143	0.5714285714285715	0.29166666666666663	0.7083333333333334
P51686_WT	Fold 4	6:4		0.408248290463863	0.7	0.625	0.25	1.0	1.0	0.6666666666666666	0.4	0.45833333333333337	0.5416666666666667
P51686_WT	Fold 5	6:4		0.3563483225498992	0.7	0.6666666666666667	0.5	0.8333333333333334	0.6666666666666666	0.7142857142857143	0.5714285714285715	0.3333333333333333	0.6666666666666667
P51686_WT	Mean	-		0.1409062039144396	0.6199999999999999	0.5535714285714286	0.31666666666666665	0.7904761904761906	0.5166666666666666	0.6773809523809524	0.36571428571428577	0.4547619047619048	0.5452380952380953
P51686_WT	SD	-		0.26970400262954863	0.08944271909999157	0.11511356908222453	0.16942167424418786	0.12997470537101127	0.32058973436118904	0.03081471215605902	0.19406149526780997	0.11687501642070855	0.11687501642070854
P51686_WT	Test set	97:21		-0.3189266030230409	0.3050847457627119	0.2974963181148748	0.2857142857142857	0.30927835051546393	0.0821917808219178	0.6666666666666666	0.1276595744680851	0.7231222385861561	0.27687776141384385
P51685_WT		117:53	No test data for temporal split at 2013										
P13500_WT		21:6	Number of points 27 < 30										
P46092_WT		22:13	Not enough training data for temporal split at 2013										
P51677_WT	Fold 1	106:31		0.737237016988981	0.9124087591240876	0.8292757151552039	0.6774193548387096	0.9811320754716981	0.9130434782608695	0.9122807017543859	0.7777777777777777	0.06512477175897749	0.9348752282410224
P51677_WT	Fold 2	106:31		0.5768388800357664	0.8613138686131386	0.7620206938527085	0.5806451612903226	0.9433962264150944	0.75	0.8849557522123894	0.6545454545454547	0.13998782714546562	0.8600121728545344
P51677_WT	Fold 3	106:31		0.7446830923275756	0.9124087591240876	0.8635118685331711	0.7741935483870968	0.9528301886792453	0.8275862068965517	0.9351851851851852	0.7999999999999999	0.04899573950091297	0.9510042604990869
P51677_WT	Fold 4	106:30		0.6409137729867111	0.875	0.8242138364779874	0.7333333333333333	0.9150943396226415	0.7096774193548387	0.9238095238095239	0.7213114754098361	0.1110062893081761	0.8889937106918239
P51677_WT	Fold 5	105:31		0.665206834317168	0.8897058823529411	0.7807987711213518	0.5806451612903226	0.9809523809523809	0.9	0.8879310344827587	0.7058823529411764	0.13241167434715823	0.8675883256528417
P51677_WT	Mean	-		0.6729759193312403	0.8901674538428509	0.8119641770280845	0.6692473118279569	0.9546810422282119	0.820061420902452	0.9088324394888486	0.7319034121348489	0.09950526041213809	0.9004947395878619
P51677_WT	SD	-		0.057157789737383155	0.01849389721930775	0.033097185291928156	0.07174979113450587	0.022685238034110853	0.07324125922767168	0.01797051149180588	0.047460757385386576	0.03313400482827347	0.03313400482827345
P51677_WT	Test set	65:9		0.45957457632988274	0.9054054054054054	0.658974358974359	0.3333333333333333	0.9846153846153847	0.75	0.9142857142857143	0.46153846153846156	0.29743589743589743	0.7025641025641025
P51679_WT	Fold 1	15:20		0.5445811486371709	0.7714285714285715	0.775	0.75	0.8	0.8333333333333334	0.7058823529411765	0.7894736842105262	0.1433333333333333	0.8566666666666667
P51679_WT	Fold 2	14:21		0.3872983346207417	0.7142857142857143	0.6785714285714286	0.8571428571428571	0.5	0.72	0.7	0.782608695652174	0.227891156462585	0.7721088435374149
P51679_WT	Fold 3	14:20		0.6357142857142857	0.8235294117647058	0.8178571428571428	0.85	0.7857142857142857	0.85	0.7857142857142857	0.85	0.1285714285714286	0.8714285714285714
