target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		4:70	Not enough data in minority class of the training set for all 5 folds										
P51684_WT	Fold 1	3:32		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P51684_WT	Fold 2	2:32		0.36293309315564887	0.9117647058823529	0.71875	0.9375	0.5	0.967741935483871	0.3333333333333333	0.9523809523809523	0.03125	0.96875
P51684_WT	Fold 3	2:32		0.8036375634160796	0.9705882352941176	0.984375	0.96875	1.0	1.0	0.6666666666666666	0.9841269841269841	0.0	1.0
P51684_WT	Fold 4	3:31		0.8036375634160796	0.9705882352941176	0.8333333333333333	1.0	0.6666666666666666	0.96875	1.0	0.9841269841269841	0.010752688172043012	0.989247311827957
P51684_WT	Fold 5	3:31		0.36293309315564887	0.9117647058823529	0.6505376344086021	0.967741935483871	0.3333333333333333	0.9375	0.5	0.9523809523809523	0.1827956989247312	0.8172043010752688
P51684_WT	Mean	-		0.6666282626286915	0.9529411764705882	0.837399193548387	0.9747983870967742	0.7	0.9747983870967742	0.7	0.9746031746031745	0.04495967741935484	0.9550403225806452
P51684_WT	SD	-		0.23563436513837238	0.032218973970892135	0.1271824899989114	0.02140011200012185	0.24343224778007383	0.02140011200012185	0.24343224778007383	0.017388017698576713	0.0637698823636518	0.06376988236365183
P51684_WT	Test set	4:70		0.8599050062177275	0.9864864864864865	0.875	1.0	0.75	0.9859154929577465	1.0	0.9929078014184397	0.0035714285714285713	0.9964285714285714
P51686_WT	Fold 1	19:5		0.04588314677411235	0.7083333333333334	0.5210526315789473	0.2	0.8421052631578947	0.25	0.8	0.22222222222222224	0.3263157894736842	0.6736842105263158
P51686_WT	Fold 2	18:6		0.0	0.6666666666666666	0.5	0.16666666666666666	0.8333333333333334	0.25	0.75	0.2	0.4444444444444445	0.5555555555555556
P51686_WT	Fold 3	18:5		0.21144501580551553	0.782608695652174	0.5722222222222222	0.2	0.9444444444444444	0.5	0.8095238095238095	0.28571428571428575	0.2	0.7999999999999999
P51686_WT	Fold 4	18:5		-0.11236664374387369	0.7391304347826086	0.4722222222222222	0.0	0.9444444444444444	0.0	0.7727272727272727	0.0	0.2	0.8
P51686_WT	Fold 5	18:5		0.42185656681265843	0.8260869565217391	0.6722222222222223	0.4	0.9444444444444444	0.6666666666666666	0.85	0.5	0.1555555555555556	0.8444444444444446
P51686_WT	Mean	-		0.11336361712968253	0.7445652173913043	0.5475438596491229	0.19333333333333333	0.9017543859649123	0.3333333333333333	0.7964502164502165	0.24158730158730163	0.26526315789473687	0.7347368421052631
P51686_WT	SD	-		0.16987590324139992	0.050832356294045804	0.06427709350003004	0.11610978202322784	0.04779606255369017	0.20971762320196524	0.031014780843136705	0.1467385700656319	0.09694300287636523	0.09694300287636524
P51686_WT	Test set	38:13		0.3119642714053126	0.7450980392156863	0.6518218623481782	0.46153846153846156	0.8421052631578947	0.5	0.8205128205128205	0.48000000000000004	0.17813765182186236	0.8218623481781376
P51685_WT	Fold 1	17:7		0.3118315179038567	0.75	0.6134453781512605	0.2857142857142857	0.9411764705882353	0.6666666666666666	0.7619047619047619	0.4	0.26050420168067223	0.7394957983193278
P51685_WT	Fold 2	17:7		0.7983193277310925	0.9166666666666666	0.8991596638655461	0.8571428571428571	0.9411764705882353	0.8571428571428571	0.9411764705882353	0.8571428571428571	0.016806722689075633	0.9831932773109243
P51685_WT	Fold 3	17:7		0.5733162099493055	0.7916666666666666	0.8109243697478992	0.8571428571428571	0.7647058823529411	0.6	0.9285714285714286	0.7058823529411764	0.18487394957983194	0.8151260504201681
P51685_WT	Fold 4	16:8		0.408248290463863	0.75	0.6875	0.5	0.875	0.6666666666666666	0.7777777777777778	0.5714285714285715	0.2109375	0.7890625
P51685_WT	Fold 5	16:7		0.693687975619296	0.8695652173913043	0.7857142857142857	0.5714285714285714	1.0	1.0	0.8421052631578947	0.7272727272727273	0.04464285714285714	0.9553571428571428
P51685_WT	Mean	-		0.5570806643334828	0.8155797101449276	0.7593487394957983	0.6142857142857142	0.9044117647058822	0.758095238095238	0.8503071404000195	0.6523453017570665	0.14355304621848736	0.8564469537815125
P51685_WT	SD	-		0.16300279266123746	0.06097299700858732	0.09069391237857315	0.2003398473139298	0.07328390386140224	0.13542575845983573	0.06773144730986567	0.1418027046062064	0.08734367985260845	0.08734367985260842
