target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P32248_WT		2:2	Number of points 4 < 30										
P51684_WT		1:215	Not enough data in minority class of the training set for all 5 folds										
P51686_WT	Fold 1	7:3		-0.21821789023599236	0.6	0.42857142857142855	0.0	0.8571428571428571	0.0	0.6666666666666666	0.0	0.5714285714285714	0.42857142857142855
P51686_WT	Fold 2	7:3		0.2182178902359924	0.6	0.6190476190476191	0.6666666666666666	0.5714285714285714	0.4	0.8	0.5	0.28571428571428575	0.7142857142857143
P51686_WT	Fold 3	6:4		0.5833333333333334	0.8	0.7916666666666667	0.75	0.8333333333333334	0.75	0.8333333333333334	0.75	0.08333333333333331	0.9166666666666667
P51686_WT	Fold 4	6:4		0.408248290463863	0.7	0.625	0.25	1.0	1.0	0.6666666666666666	0.4	0.2708333333333333	0.7291666666666667
P51686_WT	Fold 5	6:4		0.6123724356957946	0.8	0.75	0.5	1.0	1.0	0.75	0.6666666666666666	0.2916666666666667	0.7083333333333334
P51686_WT	Mean	-		0.32079081189859815	0.7	0.6428571428571429	0.4333333333333333	0.8523809523809524	0.63	0.7433333333333334	0.46333333333333326	0.3005952380952381	0.699404761904762
P51686_WT	SD	-		0.27768351730274127	0.08164965809277262	0.11577852746742191	0.2518450434809586	0.1431214486203156	0.3507135583350037	0.06206328908341755	0.23928907049687678	0.14244318329998068	0.1424431832999807
P51686_WT	Test set	97:21		0.19487435733910036	0.8220338983050848	0.5559646539027983	0.14285714285714285	0.9690721649484536	0.5	0.8392857142857143	0.22222222222222224	0.3473244968090329	0.652675503190967
P51685_WT		117:53	No test data for temporal split at 2013										
P13500_WT		21:6	Number of points 27 < 30										
P46092_WT		22:13	Not enough training data for temporal split at 2013										
P51677_WT	Fold 1	106:31		0.7145164524484842	0.9051094890510949	0.8245587340231284	0.6774193548387096	0.9716981132075472	0.875	0.911504424778761	0.7636363636363636	0.04260499087035909	0.9573950091296408
P51677_WT	Fold 2	106:31		0.41052246093887346	0.8102189781021898	0.683353621424224	0.45161290322580644	0.9150943396226415	0.6086956521739131	0.8508771929824561	0.5185185185185185	0.14485696895922093	0.855143031040779
P51677_WT	Fold 3	106:31		0.7604089765860568	0.9197080291970803	0.8454047474132684	0.7096774193548387	0.9811320754716981	0.9166666666666666	0.9203539823008849	0.7999999999999999	0.05538648813146683	0.9446135118685332
P51677_WT	Fold 4	106:30		0.650108844297601	0.8823529411764706	0.8169811320754716	0.7	0.9339622641509434	0.75	0.9166666666666666	0.7241379310344827	0.09748427672955975	0.9025157232704403
P51677_WT	Fold 5	105:31		0.689442084840941	0.8970588235294118	0.7969278033794163	0.6129032258064516	0.9809523809523809	0.9047619047619048	0.8956521739130435	0.7307692307692307	0.10476190476190476	0.8952380952380953
P51677_WT	Mean	-		0.6449997638223913	0.8828896522112494	0.7934452076631018	0.6303225806451612	0.9565678346810422	0.8110248447204969	0.8990108881283625	0.7074124087917191	0.08901892589050228	0.9109810741094977
P51677_WT	SD	-		0.11190225240257164	0.03495567284219533	0.05220803077603032	0.08718832305260626	0.024691415384435592	0.10700528436488749	0.023279018494003316	0.08966584369558887	0.03347333475068203	0.03347333475068201
P51677_WT	Test set	65:9		0.34278170572681954	0.8918918918918919	0.6034188034188035	0.2222222222222222	0.9846153846153847	0.6666666666666666	0.9014084507042254	0.3333333333333333	0.3982905982905982	0.6017094017094017
P51679_WT	Fold 1	15:20		0.4691574316284182	0.7428571428571429	0.725	0.85	0.6	0.7391304347826086	0.75	0.7906976744186046	0.18666666666666665	0.8133333333333334
P51679_WT	Fold 2	14:21		0.32663728995924396	0.6857142857142857	0.6547619047619048	0.8095238095238095	0.5	0.7083333333333334	0.6363636363636364	0.7555555555555556	0.30612244897959184	0.6938775510204082
P51679_WT	Fold 3	14:20		0.6357142857142857	0.8235294117647058	0.8178571428571428	0.85	0.7857142857142857	0.85	0.7857142857142857	0.85	0.19285714285714284	0.8071428571428572
