target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P32248_WT		4.0	Number of points 4 < 30													
P51686_WT	Fold 1	10.0		-0.35290718228545637	0.2841105082799459	0.5330201762409618	0.005165240879012861	0.07186961026061614	0.3593411445617676	-0.3526325126434433	1.195329189300537	0.04462867242964066	0.007026911403383407	0.24188267858402207	0.34188172937891387	0.29277002188455997
P51686_WT	Fold 2	10.0		0.24595338758211216	0.3576391505909754	0.5980293894040454	0.00583789429216607	0.07640611423286797	0.3876463859558106	0.25246532879778005	1.1222572021484378	0.05185779445989773	0.007548061732910982	0.5296317684060095	0.44221663871405326	0.3598637460328732
P51686_WT	Fold 3	10.0		-0.6438889890232964	0.3452166876948922	0.5875514340846189	0.005930373714329259	0.07700891970628636	0.33965911865234377	-0.5486266670876441	1.401346206665039	0.050758063110559526	0.007479289571085346	0.07267875195317065	-0.11396057645963792	-0.09759000729485331
P51686_WT	Fold 4	10.0		-1.0053035312166876	0.481272847492005	0.6937383134093179	0.008535933607078059	0.09239011639281584	0.5344540119171143	-0.9538159440439906	1.0671100616455078	0.07330620009721897	0.011187539850677775	-0.1642813063117421	-0.28426762180748055	-0.24343224778007386
P51686_WT	Fold 5	10.0		-1.1074858468179105	0.44257202783176125	0.6652608720131985	0.007381919739402301	0.08591809902111604	0.46441426277160647	-1.1073072720739239	1.1160802841186523	0.0655737201810835	0.009796466981277474	0.3009122651027062	0.037986858819879316	0.03253000243161777
P51686_WT	Mean	10.0		-0.5727264323522477	0.38216224437791596	0.6155200370304285	0.006570272446397711	0.08071857192274047	0.41710298477172847	-0.5419834134102444	1.1804245887756348	0.05722489005568008	0.008607653907866997	0.19616483154683323	0.08477140572914561	0.06882830305482475
P51686_WT	SD	0.0		0.4466004623003423	0.064617790153469	0.052419210791273096	0.0011137442091353664	0.006756761622693453	0.0660950003099314	0.4389843958690561	0.10754249147447993	0.009640208862449444	0.0014699079631422555	0.21190901133233067	0.24891290696757454	0.2087146356301405
P51686_WT	Test set	118.0		-1.5352437609427607	1.6379664887533387	1.2798306484661706	0.026523809449339047	0.16286131968438378	1.1292626333721614	-0.4199558683576057	2.499896545410156	0.2459512320290486	0.03713697861711402	-0.19889862603718314	-0.35029466081052774	-0.23018250973865428
P13500_WT		27.0	Number of points 27 < 30													
P51685_WT		170.0	No test data for temporal split at 2013													
P46092_WT		35.0	Not enough training data for temporal split at 2013													
P51677_WT	Fold 1	137.0		0.7000184717632583	0.4051925742931658	0.6365473857405792	0.006066280478277244	0.07788633049693151	0.4632413015713656	0.7215613725438113	2.8626343154907223	0.05507799907934781	0.007607034708877208	0.8518139623458267	0.8509686463864125	0.6677458678663107
P51677_WT	Fold 2	137.0		0.8135141220732731	0.2963026417353043	0.5443368825785226	0.004327551051098703	0.06578412461299993	0.409146312435178	0.8140171932216359	1.7452023506164558	0.040236902133055565	0.005583650220659572	0.902470781587959	0.9062119698690798	0.7336852666989183
P51677_WT	Fold 3	137.0		0.7596520867994228	0.36190586103147726	0.6015861210429287	0.005316537777483219	0.0729145923494277	0.45677622033557747	0.7609228387175306	1.6333427810668946	0.04937800119193753	0.006859914774933772	0.8738729909438683	0.8592296575983877	0.6741272825088781
P51677_WT	Fold 4	136.0		0.736532125271526	0.40953329431363555	0.6399478840605972	0.006478593141370984	0.0804897082947316	0.451422228083891	0.7441458240324224	3.0307703399658203	0.0570848567751789	0.008153516612099699	0.8650808397189661	0.8687879536445711	0.6964320185434917
P51677_WT	Fold 5	136.0		0.7693869077527438	0.38119832240022755	0.6174126030461539	0.005649385639723989	0.07516239511699975	0.4494359280081357	0.7694691492330321	2.256693897247315	0.05230939487679874	0.007304493775556518	0.8772183434843752	0.8614612461502914	0.6781961423542655
P51677_WT	Mean	136.6		0.7558207427320449	0.3708265387547621	0.6079661752937564	0.005567669617590827	0.0744474301742181	0.44600439808682957	0.7620232755496865	2.3057287368774415	0.050817430811263706	0.007101722018425354	0.874091383616199	0.8693318947297485	0.6900373155943729
P51677_WT	SD	0.4472135954999579		0.03418866834531203	0.0374615379167287	0.03167107583484302	0.0006690831070599635	0.0045870976704364885	0.017381933885868353	0.028038034698769285	0.51712768707918	0.005380188529726285	0.0007922270186086352	0.015235316441291072	0.01761461045091762	0.02174199868046848
P51677_WT	Test set	74.0		0.06879455303200777	0.6927560473452707	0.8323196785762492	0.010309961993628991	0.10153798300945804	0.6999192878104546	0.0717878817759684	1.8947225570678707	0.09512880219263073	0.013159971011021215	0.2901186890386675	0.2279449341170549	0.15364653084096408
P51679_WT	Fold 1	35.0		0.504575586256006	0.3522573501437316	0.5935127211305008	0.0073811377497174785	0.08591354811505272	0.4765804775782994	0.5073896718821493	1.4114072608947756	0.05939568762023755	0.010247855443368271	0.7325754492010181	0.7162464985994398	0.5361344537815126
P51679_WT	Fold 2	35.0		0.4820363179187087	0.42637852096742507	0.6529766618857255	0.00800065783115291	0.08944639641233687	0.5398687892368863	0.5515764730287616	1.2731808166503908	0.0666918439458374	0.010549140697019116	0.7427826998511516	0.7083129088033201	0.5248109509624047
