target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P32248_WT		4.0	Number of points 4 < 30													
P51686_WT	Fold 1	10.0		-1.0199109351349196	0.4241812963783332	0.6512920208158036	0.007528815114186944	0.08676874503060963	0.4896246433258057	-0.7568965586071086	1.0526413917541504	0.06600390153909216	0.010288817672430372	0.062132037915508975	-0.18993429409939658	-0.16265001215808889
P51686_WT	Fold 2	10.0		0.1309295728945895	0.41219415913437496	0.6420234879927486	0.006854324483136012	0.08279084782230468	0.5316677062988282	0.1599017731524327	1.1180495910644535	0.06043707134354328	0.008895132296933284	0.40109776034965006	0.42340086523639375	0.3639301321213053
P51686_WT	Fold 3	10.0		0.4395739532071622	0.11768946982649595	0.34305898884374963	0.0020569103825797807	0.04535317389753203	0.20425143241882324	0.46489183184365057	0.711693286895752	0.017845316139787036	0.002712098678573449	0.7098841440430699	0.7239474316937532	0.6250541102117806
P51686_WT	Fold 4	10.0		-1.0650996895236062	0.4956239254856655	0.7040056288735662	0.008686989640343637	0.09320402158889732	0.5730187892913818	-1.0399732086255447	1.028310775756836	0.0755188540838347	0.0115472020986918	0.07418711447048727	0.03564162178201257	0.030772872744833188
P51686_WT	Fold 5	10.0		-1.1243393511516233	0.44611126374184096	0.6679156112427984	0.007838142364314824	0.08853328393499715	0.5123673439025879	-0.6539145707477343	0.9895949363708496	0.06895771146480545	0.010673666176133833	0.09047395879052175	0.4204111616545217	0.366057079101847
P51686_WT	Mean	10.0		-0.5277692899416795	0.3791600229133421	0.6016591475537333	0.006593036396912238	0.07933001445486816	0.46218598304748537	-0.3651981465968609	0.9800579963684083	0.05775257091421253	0.008823383384552548	0.26755500311384756	0.28269335725345696	0.24463283640433545
P51686_WT	SD	0.0		0.6132509460718251	0.12215518040773096	0.11960453265608673	0.002139132283012158	0.015805726902577855	0.12035565508734399	0.5254974630306212	0.12828934141628331	0.01874867095595846	0.0028966411903089554	0.2325353622474199	0.2937917095167787	0.25341383803142103
P51686_WT	Test set	118.0		-1.0861860980249265	1.34783998703037	1.1609651101692806	0.02162658616839168	0.1470598047339642	1.0270688935942567	-0.09324042967990676	2.6643033218383785	0.20002401452898277	0.02987725822033679	0.08410309837143802	0.15803881892716332	0.10715326034211331
P13500_WT		27.0	Number of points 27 < 30													
