target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q6ZWH5_WT		1:0	Number of points 1 < 30										
P46019_WT		1:0	Number of points 1 < 30										
Q5S007_G2019S_A2016T		2:0	Number of points 2 < 30										
Q5S007_A2016T		2:0	Number of points 2 < 30										
P08581_Y1230H		1:0	Number of points 1 < 30										
P08581_Y1230C		1:0	Number of points 1 < 30										
P08581_N1100Y		1:0	Number of points 1 < 30										
Q93100_WT		1:0	Number of points 1 < 30										
P00519_G250E		1:0	Number of points 1 < 30										
Q6IQ55_WT		0:1	Number of points 1 < 30										
P04049_Y340D_Y341D_V492E		2:1	Number of points 3 < 30										
Q16654_WT		2:5	Number of points 7 < 30										
P46020_WT		2:1	Number of points 3 < 30										
Q9Y6K9_WT		0:1	Number of points 1 < 30										
P31751_S474D		0:1	Number of points 1 < 30										
Q00532_WT		1:3	Number of points 4 < 30										
Q9Y3S1_WT		0:1	Number of points 1 < 30										
Q8NG66_WT		2:6	Number of points 8 < 30										
Q8IVT5_WT		0:1	Number of points 1 < 30										
Q96PN8_WT		1:2	Number of points 3 < 30										
Q86SG6_WT		1:0	Number of points 1 < 30										
Q9BXA6_WT		1:0	Number of points 1 < 30										
P13861_WT		1:1	Number of points 2 < 30										
P45983_M108G		1:1	Number of points 2 < 30										
P45983_M108A		2:0	Number of points 2 < 30										
P10721_N822K		7:0	Number of points 7 < 30										
P00519_T315N		3:4	Number of points 7 < 30										
P00519_F359V		4:3	Number of points 7 < 30										
O00141_S422D		0:2	Number of points 2 < 30										
Q9UBS0_WT		1:1	Number of points 2 < 30										
Q99986_WT		1:2	Number of points 3 < 30										
P23443_T412E		2:1	Number of points 3 < 30										
Q15120_WT		1:8	Number of points 9 < 30										
Q15119_WT	Fold 1	1:5		-0.6324555320336759	0.16666666666666666	0.1	0.2	0.0	0.5	0.0	0.28571428571428575	0.8	0.2
Q15119_WT	Fold 2	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.625	0.375
Q15119_WT	Fold 3	2:4		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q15119_WT	Fold 4	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.125	0.875
Q15119_WT	Fold 5	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.125	0.875
Q15119_WT	Mean	-		0.13273782752905616	0.6266666666666666	0.5700000000000001	0.74	0.4	0.7533333333333333	0.3	0.7219047619047619	0.335	0.665
Q15119_WT	SD	-		0.5457263272792712	0.2577681990557494	0.3004857179079676	0.2667708129962246	0.447213595499958	0.19012666343295498	0.3651483716701107	0.22175006529605745	0.2888915598167128	0.2888915598167128
Q15119_WT	Test set	6:7		0.21957751641341997	0.6153846153846154	0.6071428571428572	0.7142857142857143	0.5	0.625	0.6	0.6666666666666666	0.23809523809523808	0.761904761904762
Q9NRH2_WT		3:2	Number of points 5 < 30										
Q6P5Z2_WT		13:9	Number of points 22 < 30										
Q96Q15_WT		21:7	Number of points 28 < 30										
P43250_WT		4:128	Not enough data in minority class for all 5 folds										
Q5TCY1_WT		1:1	Number of points 2 < 30										
Q9Y2H9_WT		5:12	Number of points 17 < 30										
Q9UEW8_WT		3:15	Number of points 18 < 30										
Q9NYY3_WT	Fold 1	9:8		0.07042952122737638	0.5294117647058824	0.5347222222222222	0.625	0.4444444444444444	0.5	0.5714285714285714	0.5555555555555556	0.2916666666666667	0.7083333333333333
Q9NYY3_WT	Fold 2	8:8		0.7745966692414834	0.875	0.875	1.0	0.75	0.8	1.0	0.888888888888889	0.03125	0.96875
Q9NYY3_WT	Fold 3	8:8		0.2886751345948129	0.625	0.625	0.375	0.875	0.75	0.5833333333333334	0.5	0.2109375	0.7890625
