target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q6ZWH5_WT		1:0	Number of points 1 < 30										
P46019_WT		1:0	Number of points 1 < 30										
Q5S007_G2019S_A2016T		2:0	Number of points 2 < 30										
Q5S007_A2016T		2:0	Number of points 2 < 30										
P08581_Y1230H		1:0	Number of points 1 < 30										
P08581_Y1230C		1:0	Number of points 1 < 30										
P08581_N1100Y		1:0	Number of points 1 < 30										
Q93100_WT		1:0	Number of points 1 < 30										
P00519_G250E		1:0	Number of points 1 < 30										
Q6IQ55_WT		0:1	Number of points 1 < 30										
P04049_Y340D_Y341D_V492E		2:1	Number of points 3 < 30										
Q16654_WT		2:5	Number of points 7 < 30										
P46020_WT		2:1	Number of points 3 < 30										
Q9Y6K9_WT		0:1	Number of points 1 < 30										
P31751_S474D		0:1	Number of points 1 < 30										
Q00532_WT		1:3	Number of points 4 < 30										
Q9Y3S1_WT		0:1	Number of points 1 < 30										
Q8NG66_WT		2:6	Number of points 8 < 30										
Q8IVT5_WT		0:1	Number of points 1 < 30										
Q96PN8_WT		1:2	Number of points 3 < 30										
Q86SG6_WT		1:0	Number of points 1 < 30										
Q9BXA6_WT		1:0	Number of points 1 < 30										
P13861_WT		1:1	Number of points 2 < 30										
P45983_M108G		1:1	Number of points 2 < 30										
P45983_M108A		2:0	Number of points 2 < 30										
P10721_N822K		7:0	Number of points 7 < 30										
P00519_T315N		3:4	Number of points 7 < 30										
P00519_F359V		4:3	Number of points 7 < 30										
O00141_S422D		0:2	Number of points 2 < 30										
Q9UBS0_WT		1:1	Number of points 2 < 30										
Q99986_WT		1:2	Number of points 3 < 30										
P23443_T412E		2:1	Number of points 3 < 30										
Q15120_WT		1:8	Number of points 9 < 30										
Q15119_WT	Fold 1	1:5		-0.31622776601683794	0.5	0.3	0.6	0.0	0.75	0.0	0.6666666666666665	0.6	0.4
Q15119_WT	Fold 2	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.3125	0.6875
Q15119_WT	Fold 3	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.375	0.625
Q15119_WT	Fold 4	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.25	0.75
Q15119_WT	Fold 5	1:4		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.25	0.75
Q15119_WT	Mean	-		-0.17649110640673518	0.5866666666666667	0.41	0.82	0.0	0.6866666666666666	0.0	0.7366666666666666	0.35750000000000004	0.6425
Q15119_WT	SD	-		0.13338818463206828	0.0683130051063973	0.07158910531638177	0.14317821063276354	0.0	0.052174919474995106	0.0	0.054772255750516696	0.11849753865235627	0.11849753865235627
Q15119_WT	Test set	6:7		0.4605661864718383	0.6923076923076923	0.6666666666666666	1.0	0.3333333333333333	0.6363636363636364	1.0	0.7777777777777778	0.5	0.5
Q9NRH2_WT		3:2	Number of points 5 < 30										
Q6P5Z2_WT		13:9	Number of points 22 < 30										
Q96Q15_WT		21:7	Number of points 28 < 30										
P43250_WT		4:128	Not enough data in minority class for all 5 folds										
Q5TCY1_WT		1:1	Number of points 2 < 30										
Q9Y2H9_WT		5:12	Number of points 17 < 30										
Q9UEW8_WT		3:15	Number of points 18 < 30										
Q9NYY3_WT	Fold 1	9:8		0.5367394391967351	0.7647058823529411	0.7569444444444444	0.625	0.8888888888888888	0.8333333333333334	0.7272727272727273	0.7142857142857143	0.18055555555555558	0.8194444444444444
Q9NYY3_WT	Fold 2	8:8		0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.0625	0.9375
Q9NYY3_WT	Fold 3	8:8		0.2886751345948129	0.625	0.625	0.375	0.875	0.75	0.5833333333333334	0.5	0.203125	0.796875
