target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q6ZWH5_WT		1:0	Number of points 1 < 30										
P46019_WT		1:0	Number of points 1 < 30										
Q5S007_G2019S_A2016T		2:0	Number of points 2 < 30										
Q5S007_A2016T		2:0	Number of points 2 < 30										
P08581_Y1230H		1:0	Number of points 1 < 30										
P08581_Y1230C		1:0	Number of points 1 < 30										
P08581_N1100Y		1:0	Number of points 1 < 30										
Q93100_WT		1:0	Number of points 1 < 30										
P00519_G250E		1:0	Number of points 1 < 30										
Q6IQ55_WT		0:1	Number of points 1 < 30										
P04049_Y340D_Y341D_V492E		2:1	Number of points 3 < 30										
Q16654_WT		2:5	Number of points 7 < 30										
P46020_WT		2:1	Number of points 3 < 30										
Q9Y6K9_WT		0:1	Number of points 1 < 30										
P31751_S474D		0:1	Number of points 1 < 30										
Q00532_WT		1:3	Number of points 4 < 30										
Q9Y3S1_WT		0:1	Number of points 1 < 30										
Q8NG66_WT		2:6	Number of points 8 < 30										
Q8IVT5_WT		0:1	Number of points 1 < 30										
Q96PN8_WT		1:2	Number of points 3 < 30										
Q86SG6_WT		1:0	Number of points 1 < 30										
Q9BXA6_WT		1:0	Number of points 1 < 30										
P13861_WT		1:1	Number of points 2 < 30										
P45983_M108G		1:1	Number of points 2 < 30										
P45983_M108A		2:0	Number of points 2 < 30										
P10721_N822K		7:0	Number of points 7 < 30										
P00519_T315N		3:4	Number of points 7 < 30										
P00519_F359V		4:3	Number of points 7 < 30										
O00141_S422D		0:2	Number of points 2 < 30										
Q9UBS0_WT		1:1	Number of points 2 < 30										
Q99986_WT		1:2	Number of points 3 < 30										
P23443_T412E		2:1	Number of points 3 < 30										
Q15120_WT		1:8	Number of points 9 < 30										
Q15119_WT	Fold 1	1:5		0.6324555320336759	0.8333333333333334	0.9	0.8	1.0	1.0	0.5	0.888888888888889	0.2	0.8
Q15119_WT	Fold 2	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.625	0.375
Q15119_WT	Fold 3	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.25	0.75
Q15119_WT	Fold 4	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.25	0.75
Q15119_WT	Fold 5	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.0	1.0
Q15119_WT	Mean	-		0.2489655935458941	0.6933333333333334	0.655	0.8099999999999999	0.5	0.8	0.4	0.7936507936507936	0.265	0.735
Q15119_WT	SD	-		0.4213234438749134	0.1445298892578587	0.2137950732204401	0.08850612031567835	0.408248290463863	0.16329931618554522	0.34156502553198664	0.09523809523809532	0.18461672008063987	0.18461672008063987
Q15119_WT	Test set	6:7		0.4605661864718383	0.6923076923076923	0.6666666666666666	1.0	0.3333333333333333	0.6363636363636364	1.0	0.7777777777777778	0.14285714285714285	0.8571428571428572
Q9NRH2_WT		3:2	Number of points 5 < 30										
Q6P5Z2_WT		13:9	Number of points 22 < 30										
Q96Q15_WT		21:7	Number of points 28 < 30										
P43250_WT		4:128	Not enough data in minority class for all 5 folds										
Q5TCY1_WT		1:1	Number of points 2 < 30										
Q9Y2H9_WT		5:12	Number of points 17 < 30										
Q9UEW8_WT		3:15	Number of points 18 < 30										
Q9NYY3_WT	Fold 1	9:8		0.408491223118783	0.7058823529411765	0.7013888888888888	0.625	0.7777777777777778	0.7142857142857143	0.7	0.6666666666666666	0.26388888888888895	0.736111111111111
Q9NYY3_WT	Fold 2	8:8		0.674199862463242	0.8125	0.8125	1.0	0.625	0.7272727272727273	1.0	0.8421052631578948	0.0625	0.9375
