target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT	Fold 1	6.0		0.009005811906959038	0.44378715494990734	0.6661735171484283	0.008202875617240113	0.09056972792959088	0.5855307737986246	0.20219903947432405	0.9369666671752928	0.06910072649024339	0.010805715415642828	0.5074422992195526	0.3142857142857143	0.2
Q15119_WT	Fold 2	6.0		-0.045583781617040575	0.25185107245782357	0.5018476586154643	0.004769757746198044	0.06906343277160529	0.43551077715555825	0.21545115252552893	0.7951132583618161	0.039597457874897955	0.0062362741758349065	0.4651883478685035	0.3142857142857143	0.2
Q15119_WT	Fold 3	6.0		-1.461937668424325	0.24774786499562526	0.49774276990793676	0.004381066374206166	0.0661896243697316	0.45274509429931636	-0.7068609904178409	0.7205455780029295	0.037485958832278676	0.005695228674641006	0.6212261824357574	0.6	0.3333333333333333
Q15119_WT	Fold 4	6.0		-0.5810205483362016	0.6297567161232086	0.7935721240840108	0.01293773014714042	0.11374414335314333	0.5822565269470216	-0.5408386691823988	1.3720465087890625	0.10444998231580509	0.017386664090364972	-0.2407315144930965	0.08571428571428573	-0.06666666666666665
Q15119_WT	Fold 5	5.0		-0.06083272138236451	0.26994373761384205	0.519561100943712	0.004467085099303386	0.06683625587436347	0.5074636383056641	0.4522847025685809	0.6426697540283204	0.04028426419186069	0.0060213013106785954	0.8453271620977232	0.8999999999999998	0.7999999999999999
Q15119_WT	Mean	5.8		-0.4280737815705945	0.36861730922808134	0.5957794341399104	0.0069517029968176255	0.08128063685968691	0.5127013621012371	-0.07555295300636115	0.8934683532714842	0.05818367794101716	0.009229036733432462	0.43969049542568805	0.4428571428571428	0.29333333333333333
Q15119_WT	SD	0.3651483716701107		0.5106320295136713	0.13651895220874588	0.10670900885121144	0.003026007760216894	0.016959782538438082	0.057333263132411806	0.41942078814798067	0.23572763327432347	0.02364312808809579	0.004098105119573304	0.33309429845652166	0.25634797778466223	0.2599145158615724
