target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT		42.0	Not enough training data for temporal split at 2013													
Q5TCY1_WT		2.0	Number of points 2 < 30													
Q13523_WT		20.0	Number of points 20 < 30													
Q9Y2H9_WT		17.0	Number of points 17 < 30													
Q9UEW8_WT		18.0	Number of points 18 < 30													
Q9NYY3_WT	Fold 1	5.0		-0.6122591458345716	3.1720556370251507	1.7810265683097348	0.061739297268813734	0.24847393679984572	1.4327182022094727	-0.5971418707054685	3.005110504150391	0.49364635494916803	0.07782426436193646	-0.5785463422078899	-0.49999999999999994	-0.39999999999999997
Q9NYY3_WT	Fold 2	5.0		0.2582986898852573	0.12371031960549668	0.3517247782080425	0.0030080833758933953	0.05484599689944012	0.23408179702758786	0.5868161094768223	0.7523999214172363	0.022355776857940768	0.004046122581112499	0.9502803574937557	0.8999999999999998	0.7999999999999999
Q9NYY3_WT	Fold 3	5.0		-0.19282464078587913	1.4771107282763207	1.2153644425752799	0.024283385718772112	0.1558312732373451	0.8092130096435548	0.014711027631158058	2.5053228073120124	0.2275082976729806	0.035400490183154346	0.1458359771657326	-0.09999999999999999	0.0
Q9NYY3_WT	Fold 4	4.0		0.6600099549683849	0.28683453518430324	0.5355693560915367	0.005444590756207323	0.07378747018435666	0.48786021137237534	0.6610090458798201	0.7130716857910153	0.045673602902690735	0.007554793168010332	0.9262099907944481	0.7999999999999999	0.6666666666666669
Q9NYY3_WT	Fold 5	4.0		-6.673913752738683	0.6347377040459787	0.7967042764074878	0.013657823622600433	0.11686669167303587	0.6785698404312133	-1.151480390793743	1.1273449363708492	0.1060253724424065	0.017775504846200385	0.27713802230597395	0.19999999999999998	0.0
Q9NYY3_WT	Mean	4.6		-1.3121377789010982	1.13888978482745	0.9360778843184164	0.021626636148457397	0.1299610737588047	0.7284886121368407	-0.09721721570228221	1.6206499710083009	0.17904188096503731	0.02852023502808281	0.3441836011104041	0.25999999999999995	0.21333333333333337
