target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT	Fold 1	6.0		-0.9060524780410084	0.8535686854458353	0.9238878099887644	0.016043682486316053	0.12666365890150202	0.7999998219807942	-0.6871932551971778	1.4930635643005372	0.13424514784953137	0.021187286278303796	-0.11093257387959518	-0.2571428571428572	-0.2
Q15119_WT	Fold 2	6.0		-0.29112393246126445	0.3109946355168603	0.5576689300264632	0.006049684744062835	0.07777971936220159	0.4965198154449462	-0.20746277534262303	0.7791232299804687	0.050589154949084225	0.00828203217608392	0.3100852363806793	-0.2571428571428572	-0.2
Q15119_WT	Fold 3	6.0		-1.4541619974342885	0.24696538950430913	0.4969561243251854	0.004381122136007172	0.06619004559604995	0.40655191103617333	-1.4246130174652696	0.8901315307617184	0.03826386280096875	0.005949630721397388	0.45039074039590943	0.4285714285714286	0.4666666666666666
Q15119_WT	Fold 4	6.0		-0.23573684048813148	0.49222230253568416	0.7015855632320865	0.01020780176373021	0.10103366648662321	0.5498379834493002	-0.2014233379564503	1.2618809127807618	0.08161638747649864	0.013591497000409625	-0.07090485470605846	0.08571428571428573	0.06666666666666665
Q15119_WT	Fold 5	5.0		-0.6065925768854856	0.4088199734845883	0.6393903138808003	0.007097247338830492	0.084245162109349	0.6197088165283203	0.15038831112122197	0.8592967987060547	0.06294449547245798	0.009720505004092939	0.42371595358756475	0.7999999999999999	0.6
Q15119_WT	Mean	5.8		-0.6987335650620357	0.46251419729745546	0.66389774829066	0.008755907693789353	0.09118245049114516	0.5745236696879068	-0.47406081496805974	1.056699207305908	0.07353180970970818	0.011746190236057535	0.20047090035569998	0.15999999999999998	0.14666666666666664
Q15119_WT	SD	0.3651483716701107		0.40878983788992623	0.1941256981236357	0.13464142846850333	0.0037512931841396447	0.01918481205318449	0.12096121198837478	0.4973793566329032	0.25042440951826556	0.030642439347874258	0.004869006494552359	0.2217094596920223	0.3731097484035247	0.3040467800264368
