		number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P00533_WT	Fold 1	5.0	-0.21568604915153156	2.3918138687734407	1.5465490191951372	0.04442410897316672	0.21077027535486761	1.1846116104125977	-0.14867826175544407	2.946361923217774	0.39102415510420485	0.06479022431694617	-0.19236394647778626	-0.49999999999999994	-0.39999999999999997
P00533_WT	Fold 2	5.0	-1.95797314296796	0.49336814956472363	0.702401700997886	0.012027918078465863	0.1096718654827475	0.5743323814392088	-1.7826288528251646	1.2484687499999998	0.09343594686699461	0.01775658388988015	0.06019809734375112	0.3	0.19999999999999998
P00533_WT	Fold 3	5.0	-0.08163510593225443	1.3394213737907061	1.157333734836545	0.022035380979538412	0.1484431910851367	0.9045816024780274	0.15612452534936128	2.2998388938903815	0.20478227166222496	0.03165525192368346	0.437620078384091	0.19999999999999998	0.19999999999999998
P00533_WT	Fold 4	4.0	-1.0431473759293133	1.7237129041034662	1.312902473188114	0.035062352459255236	0.18724943914269873	1.2425398406982422	-0.3723310076407149	1.9722911300659183	0.29555967062527433	0.051087221791284554	-0.15475673263084394	-0.19999999999999998	0.0
P00533_WT	Fold 5	4.0	-2.5640477014697676	0.2947955278144632	0.5429507600275215	0.006841256027365676	0.08271188564750338	0.47725633049011207	-1.3911967567367918	0.7442654075622555	0.05199258350409419	0.009180987219027159	-0.7355030322379655	-0.7999999999999999	-0.6666666666666669
P00533_WT	Mean	4.6	-1.1724978750901653	1.24862236480936	1.0524275376490406	0.024078203303558383	0.1477693313425908	0.8766643531036376	-0.7077420707217509	1.842245220947266	0.20735892555255858	0.034894053828164295	-0.11696110712375071	-0.19999999999999998	-0.13333333333333336
P00533_WT	SD	0.447213595499958	0.8827593404366451	0.709581667828646	0.3428053903788283	0.012787378273431977	0.043228347355660765	0.282962644218243	0.6823745698804415	0.7075200548724563	0.11448149227205794	0.018803121224432045	0.3484857447254151	0.37859388972001823	0.31505437508350725
P00533_WT	Test set	94.0	-0.008873047682742552	0.9414561549923643	0.9702866354806524	0.016853109857877736	0.12981952802979116	0.784915373822476	0.29583631357005236	2.091792869567872	0.14934327272232903	0.024019721977804873	0.5659902684075799	0.5315272684974949	0.36905456003596915
P04626_WT	Fold 1	7.0	-0.43188713313677973	0.5973275560130314	0.7728696888952441	0.012673452409795399	0.11257642919277284	0.7074207621983121	-0.42274003968481266	1.1777940597534178	0.10260943342565478	0.017704030289464878	0.1513857474893477	-0.10714285714285716	-0.04761904761904762
P04626_WT	Fold 2	6.0	-0.37243351482973464	0.7558346673955075	0.8693875242925375	0.015968524448283807	0.12636662711445537	0.8217117131551105	-0.29251536669862266	1.2165813331604003	0.12765174672628513	0.02164755222341541	0.01807265049213816	0.2	0.2
P04626_WT	Fold 3	6.0	0.27658410877086015	0.22903073825866768	0.4785715602275878	0.0047260305280260205	0.06874613100405011	0.42610309918721523	0.3825733612638388	0.7479734230041508	0.038169913343826245	0.006405026119421731	0.7365410909717998	0.6	0.4666666666666666
