target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT	Fold 1	6.0		0.15162343656882826	0.37992011046582563	0.6163765979219405	0.007158000771134856	0.08460496895061694	0.5561114438374837	0.250442984417489	0.9394007682800289	0.06027003505597476	0.009589987481326334	0.5090361172671852	0.4285714285714286	0.4666666666666666
Q15119_WT	Fold 2	6.0		-0.8470791537002855	0.44490826460072985	0.6670144410736021	0.008360315092400513	0.09143475866649681	0.5928948796590169	-0.017325645517608956	0.9936281967163083	0.06925594261764238	0.0107956594869274	0.09640848206981784	-0.2571428571428572	-0.2
Q15119_WT	Fold 3	6.0		-1.3787754998384423	0.2393791520181171	0.4892638879154245	0.004252008412069971	0.06520742605002877	0.4453768666585285	-1.3535642310851506	0.7607117271423336	0.03684467332566962	0.005687850253929261	0.2940110774729	0.2	0.2
Q15119_WT	Fold 4	6.0		0.17831041427280092	0.3272977923814831	0.5720994602177869	0.006758076481865234	0.08220752083517198	0.4748336760203043	0.18562422595284322	0.9352883720397953	0.054703765366727865	0.009202098613918741	0.4413734713638654	0.48571428571428577	0.3333333333333333
Q15119_WT	Fold 5	5.0		0.07809750325118592	0.2345909969326903	0.48434594757537747	0.004166435132005131	0.06454792895209831	0.40781668853759767	0.5284213871372745	0.8594841957092285	0.03670680109338882	0.0057631627077126876	0.7482441894912615	0.7999999999999999	0.6
Q15119_WT	Mean	5.8		-0.3635646598891825	0.32521926327976913	0.5658200669408263	0.006138967177895141	0.07760052069088255	0.49540671094258626	-0.08128025581903053	0.897702651977539	0.05155624349188069	0.008207751708762884	0.417814667533006	0.3314285714285714	0.27999999999999997
Q15119_WT	SD	0.3651483716701107		0.5800218605586921	0.07405399760287283	0.06498022216315781	0.0015169931008235896	0.009879539732828683	0.06296461274058493	0.602191983482609	0.073688865368681	0.011804325780683729	0.0019114779139520865	0.19861575301608364	0.32054375570228766	0.25062883875327435
