target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT	Fold 1	6.0		0.5280837309652613	0.21133360914306296	0.45971035353041917	0.004286605039378798	0.06547216996082227	0.39024362246195476	0.5585583220043606	0.84310209274292	0.03462252903139292	0.005689535632881955	0.7526459196028751	0.7142857142857143	0.4666666666666666
Q15119_WT	Fold 2	6.0		-1.0910741148549539	0.5036796358877562	0.7097039071949345	0.009379601933362165	0.09684834502128659	0.6504680938720703	-0.40951227946508806	1.0360018539428708	0.07794237284491394	0.012079721147417658	-0.1724522202436305	-0.5428571428571429	-0.3333333333333333
Q15119_WT	Fold 3	6.0		-0.7967124404998331	0.18080541877804876	0.4252122044086326	0.0034772998308429167	0.05896863429691175	0.38825985908508304	-0.3463663805789863	0.6552483558654787	0.02936285984042038	0.004776248016854205	0.25331134380803577	0.2571428571428572	0.2
Q15119_WT	Fold 4	6.0		0.2525188811148208	0.2977388594276081	0.5456545238771581	0.00621754299746113	0.07885139819598083	0.4903584067026774	0.27516650556157707	0.8766098403930664	0.04965590618923136	0.008337731016457553	0.5419660888143907	0.3142857142857143	0.2
Q15119_WT	Fold 5	5.0		-1.3782306342483057	0.6051740801133609	0.7779293541918578	0.011642664250880655	0.107901178171884	0.6632095260620117	-0.4032275278837867	1.4491996765136719	0.10044685256885125	0.01680002653902033	0.3812141054917508	0.7999999999999999	0.6
Q15119_WT	Mean	5.8		-0.49708291550460215	0.3597463206699674	0.5836420686406004	0.007000742810385133	0.08160834512937708	0.5165079016367594	-0.06507627207238467	0.9720323638916015	0.05840610409496196	0.009536652470526341	0.35133704749468436	0.30857142857142855	0.22666666666666666
Q15119_WT	SD	0.3651483716701107		0.6870097289377959	0.15211984798034064	0.12618853745780573	0.0028166469901804592	0.01685281419698226	0.10995508508167201	0.3689606606854021	0.24422029687790206	0.024613088563939622	0.004043986736136993	0.283503414559943	0.43468653182768496	0.2921186973360886
