target		number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q6ZWH5_WT		1.0	Number of points 1 < 30													
P46019_WT		1.0	Number of points 1 < 30													
Q5S007_G2019S_A2016T		2.0	Number of points 2 < 30													
Q5S007_A2016T		2.0	Number of points 2 < 30													
P08581_Y1230H		1.0	Number of points 1 < 30													
P08581_Y1230C		1.0	Number of points 1 < 30													
P08581_N1100Y		1.0	Number of points 1 < 30													
Q93100_WT		1.0	Number of points 1 < 30													
P00519_G250E		1.0	Number of points 1 < 30													
Q6IQ55_WT		1.0	Number of points 1 < 30													
P04049_Y340D_Y341D_V492E		3.0	Number of points 3 < 30													
Q16654_WT		7.0	Number of points 7 < 30													
P46020_WT		3.0	Number of points 3 < 30													
Q9Y6K9_WT		1.0	Number of points 1 < 30													
P31751_S474D		1.0	Number of points 1 < 30													
Q00532_WT		4.0	Number of points 4 < 30													
Q96PN8_WT		3.0	Number of points 3 < 30													
Q86SG6_WT		1.0	Number of points 1 < 30													
Q9Y3S1_WT		1.0	Number of points 1 < 30													
Q9BXA6_WT		1.0	Number of points 1 < 30													
Q8NG66_WT		8.0	Number of points 8 < 30													
Q8IVT5_WT		1.0	Number of points 1 < 30													
P13861_WT		2.0	Number of points 2 < 30													
P45983_M108G		2.0	Number of points 2 < 30													
P45983_M108A		2.0	Number of points 2 < 30													
P10721_N822K		7.0	Number of points 7 < 30													
P00519_T315N		7.0	Number of points 7 < 30													
P00519_F359V		7.0	Number of points 7 < 30													
O00141_S422D		2.0	Number of points 2 < 30													
Q9UBS0_WT		2.0	Number of points 2 < 30													
Q99986_WT		3.0	Number of points 3 < 30													
P23443_T412E		3.0	Number of points 3 < 30													
Q15120_WT		9.0	Number of points 9 < 30													
Q9NRH2_WT		5.0	Number of points 5 < 30													
Q6P5Z2_WT		22.0	Number of points 22 < 30													
Q15119_WT		42.0	Not enough training data for temporal split at 2013													
Q5TCY1_WT		2.0	Number of points 2 < 30													
Q13523_WT		20.0	Number of points 20 < 30													
Q9Y2H9_WT		17.0	Number of points 17 < 30													
Q9UEW8_WT		18.0	Number of points 18 < 30													
Q9NYY3_WT	Fold 1	5.0		-0.07723140182375232	2.1194098661891845	1.4558193109686326	0.03939091804328383	0.19847145397583965	1.2642820564270019	-0.04444879562319737	2.536029720306397	0.33990778033979085	0.05526928877370389	-0.029824026478840658	0.09999999999999999	0.0
Q9NYY3_WT	Fold 2	5.0		-1.0019543125850325	0.33391124495544294	0.5778505385957886	0.007143748347766146	0.08452069774774783	0.5062593025207519	0.5346751297500617	0.8647770881652832	0.055917278889981506	0.00941464545764159	0.7313400015155143	0.49999999999999994	0.39999999999999997
Q9NYY3_WT	Fold 3	5.0		-0.5767152578942532	1.9524940575826324	1.397316734882479	0.03298282587346299	0.18161174486652285	0.987142981719971	-0.4489782421256938	2.9158433609008796	0.3087046712549924	0.04933027700899606	-0.2734243758466096	-0.19999999999999998	-0.19999999999999998
Q9NYY3_WT	Fold 4	4.0		-1.6675916294374273	2.2505288501022784	1.5001762730100348	0.045837836520414336	0.2140977265652635	1.3178910789489746	-1.220825589572299	2.453550476074219	0.38843368979827453	0.06754856152433542	-0.6713619012558706	-0.7999999999999999	-0.6666666666666669
Q9NYY3_WT	Fold 5	4.0		-8.60867816839793	0.7947692033089376	0.8914982912540762	0.015239654182026191	0.12344899425279329	0.733288396835327	-2.1077967642974937	1.420647506713867	0.12369516447703388	0.0193274724493957	0.9169966991429914	0.7999999999999999	0.6666666666666669
Q9NYY3_WT	Mean	4.6		-2.386434154027679	1.4902226444276951	1.1645322297422023	0.028118996593390698	0.16043012348163344	0.9617727632904053	-0.6574748523737244	2.0381696304321286	0.2433317169520146	0.04017804904281454	0.13474527941543696	0.08	0.039999999999999994
