target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P30939_WT	Fold 1	3:2		0.6666666666666666	0.8	0.8333333333333333	1.0	0.6666666666666666	0.6666666666666666	1.0	0.8	0.25	0.7500000000000001
P30939_WT	Fold 2	2:2		0.5773502691896258	0.75	0.75	0.5	1.0	1.0	0.6666666666666666	0.6666666666666666	0.5	0.5
P30939_WT	Fold 3	2:2		0.5773502691896258	0.75	0.75	0.5	1.0	1.0	0.6666666666666666	0.6666666666666666	0.375	0.625
P30939_WT	Fold 4	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.5	0.5
P30939_WT	Fold 5	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.5	0.5
P30939_WT	Mean	-		0.4797434948471088	0.71	0.7166666666666666	0.6	0.8333333333333333	0.6666666666666666	0.7666666666666666	0.5866666666666667	0.425	0.575
P30939_WT	SD	-		0.2212371804963529	0.09746794344808965	0.10318986456114837	0.34156502553198664	0.19245008972987526	0.33333333333333337	0.18257418583505536	0.2732520204255893	0.09128709291752768	0.09128709291752772
P30939_WT	Test set	8:2		0.2182178902359924	0.7	0.625	0.5	0.75	0.3333333333333333	0.8571428571428571	0.4	0.4375	0.5625
P25021_WT	Fold 1	9:21		0.48795003647426655	0.8	0.6984126984126984	0.9523809523809523	0.4444444444444444	0.8	0.8	0.8695652173913043	0.29629629629629634	0.7037037037037037
P25021_WT	Fold 2	8:21		0.5865557254410011	0.8275862068965517	0.8035714285714286	0.8571428571428571	0.75	0.9	0.6666666666666666	0.8780487804878048	0.08333333333333333	0.9166666666666666
P25021_WT	Fold 3	8:21		0.6370559117099397	0.8620689655172413	0.7886904761904762	0.9523809523809523	0.625	0.8695652173913043	0.8333333333333334	0.909090909090909	0.09523809523809523	0.9047619047619047
P25021_WT	Fold 4	8:21		0.3730235484764954	0.7586206896551724	0.6785714285714286	0.8571428571428571	0.5	0.8181818181818182	0.5714285714285714	0.8372093023255814	0.21428571428571425	0.7857142857142857
P25021_WT	Fold 5	9:20		0.4197898819332655	0.7586206896551724	0.7027777777777777	0.85	0.5555555555555556	0.8095238095238095	0.625	0.8292682926829269	0.2	0.7999999999999999
P25021_WT	Mean	-		0.5008750208069935	0.8013793103448277	0.7344047619047618	0.8938095238095238	0.575	0.8394541690193865	0.6992857142857144	0.8646365003957053	0.1778306878306878	0.8221693121693121
P25021_WT	SD	-		0.09034588363335405	0.03657990672352383	0.046804598107066955	0.04372144354719249	0.09675815168602321	0.03530213323556707	0.09223335451756658	0.02640560947893419	0.07257850244527027	0.07257850244527023
P25021_WT	Test set	15:48		0.5437759719703581	0.8412698412698413	0.7583333333333333	0.9166666666666666	0.6	0.88	0.6923076923076923	0.8979591836734694	0.15555555555555556	0.8444444444444444
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	11:18		0.8535353535353535	0.9310344827586207	0.9267676767676767	0.9444444444444444	0.9090909090909091	0.9444444444444444	0.9090909090909091	0.9444444444444444	0.020202020202020207	0.9797979797979798
P47898_WT	Fold 2	11:18		0.5508894960085645	0.7931034482758621	0.7626262626262625	0.8888888888888888	0.6363636363636364	0.8	0.7777777777777778	0.8421052631578948	0.08585858585858586	0.9141414141414141
P47898_WT	Fold 3	11:18		0.41414141414141414	0.7241379310344828	0.7070707070707071	0.7777777777777778	0.6363636363636364	0.7777777777777778	0.6363636363636364	0.7777777777777778	0.1515151515151515	0.8484848484848485
P47898_WT	Fold 4	10:18		0.7100469468046932	0.8571428571428571	0.8666666666666667	0.8333333333333334	0.9	0.9375	0.75	0.8823529411764706	0.09722222222222221	0.9027777777777778
P47898_WT	Fold 5	10:18		0.4687501237868722	0.75	0.7388888888888889	0.7777777777777778	0.7	0.8235294117647058	0.6363636363636364	0.7999999999999999	0.16666666666666663	0.8333333333333334
P47898_WT	Mean	-		0.5994726668553796	0.8110837438423644	0.8004040404040402	0.8444444444444444	0.7563636363636362	0.8566503267973855	0.7419191919191919	0.8493360853113175	0.10429292929292928	0.8957070707070708
P47898_WT	SD	-		0.14751886949229695	0.06846375055441757	0.07558757581456108	0.05914340526915299	0.11249732166998515	0.06425419607322436	0.09271953343141973	0.05437928255647369	0.04757716940866263	0.04757716940866263
P47898_WT	Test set	21:41		0.367540096550658	0.7096774193548387	0.6875725900116144	0.7560975609756098	0.6190476190476191	0.7948717948717948	0.5652173913043478	0.7749999999999999	0.19860627177700346	0.8013937282229966
P21918_WT	Fold 1	14:16		0.40089186286863654	0.7	0.7008928571428572	0.6875	0.7142857142857143	0.7333333333333333	0.6666666666666666	0.7096774193548386	0.2700892857142857	0.7299107142857143
P21918_WT	Fold 2	14:16		0.6681531047810609	0.8333333333333334	0.8348214285714286	0.8125	0.8571428571428571	0.8666666666666667	0.8	0.8387096774193549	0.12053571428571429	0.8794642857142857
P21918_WT	Fold 3	14:16		0.5303491306562569	0.7666666666666667	0.7633928571428572	0.8125	0.7142857142857143	0.7647058823529411	0.7692307692307693	0.787878787878788	0.10267857142857142	0.8973214285714285
P21918_WT	Fold 4	15:15		0.6681531047810609	0.8333333333333334	0.8333333333333334	0.8	0.8666666666666667	0.8571428571428571	0.8125	0.8275862068965518	0.11555555555555555	0.8844444444444445
P21918_WT	Fold 5	14:15		0.38095238095238093	0.6896551724137931	0.6904761904761905	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6666666666666666	0.689655172413793	0.2571428571428571	0.7428571428571428
P21918_WT	Mean	-		0.5296999168078792	0.7645977011494253	0.7645833333333334	0.7558333333333332	0.7733333333333333	0.7872268907563026	0.7430128205128205	0.7707014527926653	0.1732003968253968	0.8267996031746032
P21918_WT	SD	-		0.11332573713356328	0.05663141132039128	0.05658285243200809	0.059151015144227194	0.06607446725459146	0.057635415802807906	0.05833932062820881	0.05545040866586197	0.06770477310057606	0.06770477310057606
P21918_WT	Test set	32:32		0.531509589558614	0.765625	0.765625	0.78125	0.75	0.7575757575757576	0.7741935483870968	0.7692307692307692	0.1171875	0.8828125
P35367_WT	Fold 1	75:39		0.5663808972655423	0.8070175438596491	0.7794871794871795	0.6923076923076923	0.8666666666666667	0.7297297297297297	0.8441558441558441	0.7105263157894737	0.09811965811965812	0.9018803418803418
P35367_WT	Fold 2	74:40		0.5633416760150085	0.8070175438596491	0.7652027027027026	0.625	0.9054054054054054	0.78125	0.8170731707317073	0.6944444444444444	0.1679054054054054	0.8320945945945947
P35367_WT	Fold 3	74:40		0.57186276940104	0.8070175438596491	0.7824324324324324	0.7	0.8648648648648649	0.7368421052631579	0.8421052631578947	0.717948717948718	0.1675675675675676	0.8324324324324325
P35367_WT	Fold 4	74:40		0.4628770509057068	0.7631578947368421	0.7199324324324324	0.575	0.8648648648648649	0.696969696969697	0.7901234567901234	0.6301369863013698	0.17466216216216218	0.8253378378378379
P35367_WT	Fold 5	74:39		0.5110371704751676	0.7876106194690266	0.7347539847539848	0.5641025641025641	0.9054054054054054	0.7586206896551724	0.7976190476190477	0.6470588235294118	0.1909216909216909	0.8090783090783091
P35367_WT	Mean	-		0.5350999128124931	0.7943642291569633	0.7563617463617464	0.6312820512820512	0.8814414414414415	0.7406824443235515	0.8182153564909234	0.6800230576026836	0.15983529683529682	0.8401647031647033
P35367_WT	SD	-		0.03856328597791809	0.01581015322850606	0.022681193066489396	0.05190777446766796	0.01787177891432866	0.02586188205781365	0.020241475148419775	0.03202093510254832	0.029211683044646462	0.029211683044646428
P35367_WT	Test set	159:85		0.5909185115118962	0.819672131147541	0.7767665556788753	0.6352941176470588	0.9182389937106918	0.8059701492537313	0.8248587570621468	0.7105263157894737	0.10617832038475765	0.8938216796152424
P28221_WT	Fold 1	59:17		0.815014498895642	0.9342105263157895	0.915752741774676	0.8823529411764706	0.9491525423728814	0.8333333333333334	0.9655172413793104	0.8571428571428571	0.035892323030907274	0.9641076769690927
P28221_WT	Fold 2	59:17		0.7651436196037408	0.9210526315789473	0.8654037886340977	0.7647058823529411	0.9661016949152542	0.8666666666666667	0.9344262295081968	0.8125	0.06979062811565304	0.930209371884347
P28221_WT	Fold 3	59:17		0.6409008608007031	0.881578947368421	0.7981056829511466	0.6470588235294118	0.9491525423728814	0.7857142857142857	0.9032258064516129	0.7096774193548386	0.11565304087736789	0.8843469591226321
P28221_WT	Fold 4	58:17		0.7214240174319057	0.9066666666666666	0.8356997971602435	0.7058823529411765	0.9655172413793104	0.8571428571428571	0.9180327868852459	0.7741935483870968	0.03448275862068965	0.9655172413793104
P28221_WT	Fold 5	59:16		0.6693596663662702	0.8933333333333333	0.8183262711864407	0.6875	0.9491525423728814	0.7857142857142857	0.9180327868852459	0.7333333333333334	0.0826271186440678	0.9173728813559322
P28221_WT	Mean	-		0.7223685326196523	0.9073684210526315	0.846657656341321	0.7375	0.9558153126826416	0.8257142857142858	0.9278469702219224	0.7773694316436253	0.06768917385773712	0.9323108261422629
P28221_WT	SD	-		0.05753375342022717	0.01717716183435721	0.037429009448304525	0.07461212659368954	0.00745111406069053	0.03141894994620038	0.01941294274602799	0.04852736163836068	0.027814254676673998	0.02781425467667402
P28221_WT	Test set	129:33		0.5433403805496829	0.8518518518518519	0.7716701902748414	0.6363636363636364	0.9069767441860465	0.6363636363636364	0.9069767441860465	0.6363636363636364	0.10829222457129435	0.8917077754287057
Q96RJ0_WT	Fold 1	15:14		0.5167523265868931	0.7586206896551724	0.7571428571428571	0.7142857142857143	0.8	0.7692307692307693	0.75	0.7407407407407408	0.16666666666666666	0.8333333333333334
Q96RJ0_WT	Fold 2	14:15		0.3779947574107829	0.6896551724137931	0.6880952380952381	0.7333333333333333	0.6428571428571429	0.6875	0.6923076923076923	0.7096774193548386	0.30952380952380953	0.6904761904761905
Q96RJ0_WT	Fold 3	14:14		0.6581451817144176	0.8214285714285714	0.8214285714285714	0.7142857142857143	0.9285714285714286	0.9090909090909091	0.7647058823529411	0.8	0.08673469387755102	0.9132653061224489
Q96RJ0_WT	Fold 4	14:14		0.5012804118276031	0.75	0.75	0.7857142857142857	0.7142857142857143	0.7333333333333333	0.7692307692307693	0.7586206896551724	0.12244897959183673	0.8775510204081632
Q96RJ0_WT	Fold 5	14:14		0.7453559924999299	0.8571428571428571	0.8571428571428572	0.7142857142857143	1.0	1.0	0.7777777777777778	0.8333333333333333	0.14540816326530612	0.8545918367346939
Q96RJ0_WT	Mean	-		0.5599057340079253	0.7753694581280788	0.7747619047619048	0.7323809523809524	0.8171428571428573	0.8198310023310024	0.7508044243338361	0.768474436616817	0.16615646258503403	0.833843537414966
Q96RJ0_WT	SD	-		0.11721315045658359	0.05335322566168379	0.053850244460171746	0.02525755464243311	0.12048654199835386	0.10644397836858795	0.027937004353774293	0.03984110332505657	0.06976521317408689	0.06976521317408688
Q96RJ0_WT	Test set	27:34		0.528322440087146	0.7540983606557377	0.764161220043573	0.6764705882352942	0.8518518518518519	0.8518518518518519	0.6764705882352942	0.7540983606557378	0.1388888888888889	0.861111111111111
