target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P25021_WT	Fold 1	10:21		0.7047619047619048	0.8709677419354839	0.8523809523809525	0.9047619047619048	0.8	0.9047619047619048	0.8	0.9047619047619048	0.10476190476190475	0.8952380952380952
P25021_WT	Fold 2	10:21		0.6969506192202357	0.8709677419354839	0.8261904761904761	0.9523809523809523	0.7	0.8695652173913043	0.875	0.909090909090909	0.14285714285714282	0.8571428571428571
P25021_WT	Fold 3	9:22		0.6856277926728687	0.8709677419354839	0.7777777777777778	1.0	0.5555555555555556	0.8461538461538461	1.0	0.9166666666666666	0.2095959595959596	0.7904040404040404
P25021_WT	Fold 4	9:21		0.8427009716003844	0.9333333333333333	0.8888888888888888	1.0	0.7777777777777778	0.9130434782608695	1.0	0.9545454545454545	0.08465608465608469	0.9153439153439153
P25021_WT	Fold 5	9:21		0.5819143739626463	0.8333333333333334	0.753968253968254	0.9523809523809523	0.5555555555555556	0.8333333333333334	0.8333333333333334	0.888888888888889	0.0634920634920635	0.9365079365079365
P25021_WT	Mean	-		0.702391132443608	0.8759139784946235	0.8198412698412699	0.9619047619047618	0.6777777777777777	0.8733715559802515	0.9016666666666666	0.9147907647907647	0.12107263107263107	0.878927368927369
P25021_WT	SD	-		0.07584823619578393	0.029392429356163242	0.04467532622894377	0.03253000243161778	0.09601097330974608	0.028628559832346717	0.07643685362828974	0.019949636291811866	0.046937318228908384	0.04693731822890837
P25021_WT	Test set	10:46		0.34262414443209643	0.8214285714285714	0.6565217391304348	0.9130434782608695	0.4	0.875	0.5	0.8936170212765957	0.2880434782608696	0.7119565217391304
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	13:17		0.5303491306562569	0.7666666666666667	0.7669683257918551	0.7647058823529411	0.7692307692307693	0.8125	0.7142857142857143	0.787878787878788	0.14027149321266966	0.8597285067873304
P47898_WT	Fold 2	13:17		0.5303491306562569	0.7666666666666667	0.7669683257918551	0.7647058823529411	0.7692307692307693	0.8125	0.7142857142857143	0.787878787878788	0.18099547511312217	0.8190045248868778
P47898_WT	Fold 3	13:17		0.80860754006264	0.9	0.8846153846153846	1.0	0.7692307692307693	0.85	1.0	0.9189189189189189	0.02714932126696833	0.9728506787330317
P47898_WT	Fold 4	12:17		0.7573172464461019	0.8620689655172413	0.8823529411764706	0.7647058823529411	1.0	1.0	0.75	0.8666666666666666	0.05637254901960785	0.9436274509803922
P47898_WT	Fold 5	12:17		0.5735294117647058	0.7931034482758621	0.7867647058823529	0.8235294117647058	0.75	0.8235294117647058	0.75	0.8235294117647058	0.13725490196078433	0.8627450980392156
P47898_WT	Mean	-		0.6400304919171923	0.8177011494252874	0.8175339366515837	0.8235294117647058	0.8115384615384617	0.8597058823529412	0.7857142857142858	0.8369745146215735	0.10840874811463048	0.8915912518853695
P47898_WT	SD	-		0.10851789378324386	0.04925391299752177	0.049601632321733466	0.08318903308077032	0.08628881369468636	0.06524590827563675	0.09888837932045327	0.0458222305006933	0.05232435462433587	0.052324354624335885
P47898_WT	Test set	11:46		0.10777829844714387	0.5263157894736842	0.5681818181818181	0.5	0.6363636363636364	0.8518518518518519	0.23333333333333334	0.6301369863013698	0.4150197628458498	0.5849802371541502
P21918_WT	Fold 1	17:9		0.6860232117781695	0.8461538461538461	0.8562091503267973	0.8888888888888888	0.8235294117647058	0.7272727272727273	0.9333333333333333	0.7999999999999999	0.06535947712418301	0.934640522875817
P21918_WT	Fold 2	17:9		0.3907518403363142	0.7307692307692307	0.6895424836601307	0.5555555555555556	0.8235294117647058	0.625	0.7777777777777778	0.5882352941176471	0.31699346405228757	0.6830065359477124
P21918_WT	Fold 3	17:8		0.3001225239993905	0.72	0.6286764705882353	0.375	0.8823529411764706	0.6	0.75	0.4615384615384615	0.2867647058823529	0.7132352941176471
P21918_WT	Fold 4	17:8		0.5271016357912215	0.8	0.7536764705882353	0.625	0.8823529411764706	0.7142857142857143	0.8333333333333334	0.6666666666666666	0.2058823529411765	0.7941176470588235
P21918_WT	Fold 5	17:8		0.5383054219239551	0.8	0.6875	0.375	1.0	1.0	0.7727272727272727	0.5454545454545454	0.08088235294117647	0.9191176470588235
P21918_WT	Mean	-		0.4884609267658101	0.7793846153846153	0.7231209150326798	0.5638888888888889	0.8823529411764707	0.7333116883116884	0.8134343434343435	0.6123789935554641	0.1911764705882353	0.8088235294117647
P21918_WT	SD	-		0.1211244911089099	0.04320128568471805	0.07066615653507363	0.17358333111075547	0.05882352941176472	0.12975909755817397	0.060172127801161476	0.10485184753293408	0.09414350551032197	0.09414350551032195
P21918_WT	Test set	18:68		0.1821809467994625	0.5116279069767442	0.6094771241830066	0.4411764705882353	0.7777777777777778	0.8823529411764706	0.2692307692307692	0.5882352941176471	0.33333333333333337	0.6666666666666667
P35367_WT	Fold 1	84:33		0.6935419821470657	0.8803418803418803	0.8246753246753247	0.696969696969697	0.9523809523809523	0.8518518518518519	0.8888888888888888	0.7666666666666667	0.09126984126984128	0.9087301587301588
P35367_WT	Fold 2	83:34		0.5785895234993581	0.8290598290598291	0.7840184266477676	0.6764705882352942	0.891566265060241	0.71875	0.8705882352941177	0.696969696969697	0.11410347271438698	0.885896527285613
P35367_WT	Fold 3	83:33		0.5316687262561749	0.8189655172413793	0.7457101131799927	0.5757575757575758	0.9156626506024096	0.7307692307692307	0.8444444444444444	0.6440677966101696	0.158451989777291	0.841548010222709
P35367_WT	Fold 4	83:33		0.7149482871646928	0.8879310344827587	0.830412559328222	0.696969696969697	0.963855421686747	0.8846153846153846	0.8888888888888888	0.7796610169491526	0.1215772179627601	0.8784227820372398
P35367_WT	Fold 5	83:33		0.5570052995933269	0.8275862068965517	0.7608616283315078	0.6060606060606061	0.9156626506024096	0.7407407407407407	0.8539325842696629	0.6666666666666666	0.1361810879883169	0.863818912011683
P35367_WT	Mean	-		0.6151507637321237	0.8487768936044798	0.789135610432563	0.650445632798574	0.9278255880665519	0.7853454415954415	0.8693486083572006	0.7108063687724705	0.12431672194251923	0.8756832780574808
P35367_WT	SD	-		0.0680583067135124	0.026633065707006288	0.03076316857315783	0.04574314495559297	0.024192724208258472	0.06282345522726486	0.016447152642721313	0.04908349902494801	0.020452755950668183	0.020452755950668217
P35367_WT	Test set	114:117		0.293887343348258	0.6363636363636364	0.6385515069725596	0.4700854700854701	0.8070175438596491	0.7142857142857143	0.5974025974025974	0.5670103092783506	0.356875093717199	0.6431249062828011
P28221_WT	Fold 1	83:15		0.5978132096614241	0.9081632653061225	0.7273092369477911	0.4666666666666667	0.9879518072289156	0.875	0.9111111111111111	0.608695652173913	0.0746987951807229	0.9253012048192771
P28221_WT	Fold 2	82:16		0.41187987738219567	0.826530612244898	0.7202743902439024	0.5625	0.8780487804878049	0.47368421052631576	0.9113924050632911	0.5142857142857142	0.0975609756097561	0.9024390243902438
P28221_WT	Fold 3	82:15		0.7168449039303744	0.9278350515463918	0.8483739837398374	0.7333333333333333	0.9634146341463414	0.7857142857142857	0.9518072289156626	0.7586206896551724	0.03658536585365855	0.9634146341463414
P28221_WT	Fold 4	82:15		0.41761064920733393	0.865979381443299	0.6756097560975609	0.4	0.9512195121951219	0.6	0.896551724137931	0.48	0.08617886178861787	0.9138211382113821
P28221_WT	Fold 5	82:15		0.5781863089082038	0.8865979381443299	0.7967479674796748	0.6666666666666666	0.926829268292683	0.625	0.9382716049382716	0.6451612903225806	0.06016260162601628	0.9398373983739838
P28221_WT	Mean	-		0.5444669898179063	0.8830212497370082	0.7536630669017533	0.5658333333333333	0.9414928004701734	0.6718796992481203	0.9218268148332533	0.601352669287476	0.07103732001175433	0.9289626799882456
P28221_WT	SD	-		0.10596291054139098	0.03197605322387495	0.05586906394392248	0.1122270351003153	0.03409246707890702	0.1296546816025337	0.018401946334178045	0.09038203167805389	0.019370827031714173	0.019370827031714194
P28221_WT	Test set	12:41		0.33057511564663355	0.6226415094339622	0.6971544715447155	0.5609756097560976	0.8333333333333334	0.92	0.35714285714285715	0.6969696969696971	0.20934959349593496	0.790650406504065
Q96RJ0_WT	Fold 1	10:15		0.840168050416806	0.92	0.9	1.0	0.8	0.8823529411764706	1.0	0.9375	0.006666666666666665	0.9933333333333334
Q96RJ0_WT	Fold 2	10:14		0.8285714285714286	0.9166666666666666	0.9142857142857144	0.9285714285714286	0.9	0.9285714285714286	0.9	0.9285714285714286	0.06428571428571428	0.9357142857142857
Q96RJ0_WT	Fold 3	10:14		0.3927922024247863	0.7083333333333334	0.6928571428571428	0.7857142857142857	0.6	0.7333333333333333	0.6666666666666666	0.7586206896551724	0.17142857142857143	0.8285714285714285
Q96RJ0_WT	Fold 4	10:14		0.47809144373375745	0.75	0.7285714285714285	0.8571428571428571	0.6	0.75	0.75	0.7999999999999999	0.10357142857142856	0.8964285714285715
Q96RJ0_WT	Fold 5	10:14		0.8285714285714286	0.9166666666666666	0.9142857142857144	0.9285714285714286	0.9	0.9285714285714286	0.9	0.9285714285714286	0.028571428571428574	0.9714285714285714
Q96RJ0_WT	Mean	-		0.6736389107436414	0.8423333333333334	0.8300000000000001	0.9	0.76	0.8445658263305322	0.8433333333333334	0.8706527093596058	0.07490476190476189	0.9250952380952381
Q96RJ0_WT	SD	-		0.17928274222054824	0.08520998028834849	0.08963265925678086	0.06649638116080449	0.12382783747337808	0.07837634791189646	0.10869597423462755	0.06918657759414606	0.05331448079493847	0.053314480794938494
Q96RJ0_WT	Test set	48:34		0.16853296812356275	0.47560975609756095	0.5477941176470589	0.9705882352941176	0.125	0.44	0.8571428571428571	0.6055045871559633	0.3186274509803922	0.6813725490196079
P28222_WT	Fold 1	79:18		0.739952702301928	0.9175257731958762	0.8850210970464135	0.8333333333333334	0.9367088607594937	0.75	0.961038961038961	0.7894736842105262	0.07454289732770744	0.9254571026722926
