target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P30939_WT	Fold 1	3:2		0.6666666666666666	0.8	0.8333333333333333	1.0	0.6666666666666666	0.6666666666666666	1.0	0.8	0.33333333333333337	0.6666666666666667
P30939_WT	Fold 2	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.25	0.75
P30939_WT	Fold 3	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.375	0.625
P30939_WT	Fold 4	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.125	0.875
P30939_WT	Fold 5	2:2		-0.5773502691896258	0.25	0.25	0.0	0.5	0.0	0.3333333333333333	0.0	0.5	0.5
P30939_WT	Mean	-		0.24880338717125855	0.61	0.6166666666666666	0.6	0.6333333333333333	0.4	0.7666666666666667	0.4800000000000001	0.3166666666666667	0.6833333333333333
P30939_WT	SD	-		0.43491930613716323	0.1901753576746122	0.19602531960419275	0.447213595499958	0.17743021580745905	0.2981423969999719	0.2652741419180738	0.3577708763999664	0.11436216027910501	0.11436216027910501
P30939_WT	Test set	8:2		0.4082482904638631	0.6	0.75	1.0	0.5	0.3333333333333333	1.0	0.5	0.0	1.0
P25021_WT	Fold 1	9:21		0.5819143739626463	0.8333333333333334	0.753968253968254	0.9523809523809523	0.5555555555555556	0.8333333333333334	0.8333333333333334	0.888888888888889	0.18518518518518517	0.8148148148148149
P25021_WT	Fold 2	8:21		0.6547619047619048	0.8620689655172413	0.8273809523809523	0.9047619047619048	0.75	0.9047619047619048	0.75	0.9047619047619048	0.10714285714285714	0.8928571428571428
P25021_WT	Fold 3	8:21		0.6547619047619048	0.8620689655172413	0.8273809523809523	0.9047619047619048	0.75	0.9047619047619048	0.75	0.9047619047619048	0.15476190476190477	0.8452380952380952
P25021_WT	Fold 4	8:21		0.5533182635734681	0.8275862068965517	0.7648809523809523	0.9047619047619048	0.625	0.8636363636363636	0.7142857142857143	0.8837209302325582	0.22023809523809523	0.7797619047619047
P25021_WT	Fold 5	9:20		0.31833123681909753	0.7241379310344828	0.6472222222222221	0.85	0.4444444444444444	0.7727272727272727	0.5714285714285714	0.8095238095238095	0.27222222222222225	0.7277777777777779
P25021_WT	Mean	-		0.5526175367758043	0.8218390804597702	0.7641666666666665	0.9033333333333333	0.625	0.8558441558441559	0.7238095238095239	0.8783314876338132	0.18791005291005292	0.812089947089947
P25021_WT	SD	-		0.1130013346950388	0.04645346993479746	0.060239262872873914	0.029597961156315022	0.1069835185952902	0.045206496970045064	0.07818568127130378	0.03233196374798359	0.05128873943461946	0.051288739434619424
P25021_WT	Test set	15:48		0.570311916251258	0.8571428571428571	0.7229166666666667	0.9791666666666666	0.4666666666666667	0.8545454545454545	0.875	0.912621359223301	0.1847222222222222	0.8152777777777778
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	11:18		0.5554932406347733	0.7931034482758621	0.7449494949494949	0.9444444444444444	0.5454545454545454	0.7727272727272727	0.8571428571428571	0.85	0.05555555555555555	0.9444444444444444
P47898_WT	Fold 2	11:18		0.7045029131647988	0.8620689655172413	0.8358585858585859	0.9444444444444444	0.7272727272727273	0.85	0.8888888888888888	0.8947368421052632	0.0404040404040404	0.9595959595959596
P47898_WT	Fold 3	11:18		0.4385566936919029	0.7241379310344828	0.7247474747474747	0.7222222222222222	0.7272727272727273	0.8125	0.6153846153846154	0.7647058823529411	0.22727272727272727	0.7727272727272727
P47898_WT	Fold 4	10:18		0.651187825474021	0.8214285714285714	0.8388888888888889	0.7777777777777778	0.9	0.9333333333333333	0.6923076923076923	0.8484848484848485	0.06666666666666667	0.9333333333333333
P47898_WT	Fold 5	10:18		0.7100469468046932	0.8571428571428571	0.8666666666666667	0.8333333333333334	0.9	0.9375	0.75	0.8823529411764706	0.15555555555555556	0.8444444444444444
P47898_WT	Mean	-		0.6119575239540379	0.8115763546798028	0.8022222222222222	0.8444444444444444	0.76	0.8612121212121211	0.7607448107448107	0.8480561028239049	0.10909090909090909	0.8909090909090909
P47898_WT	SD	-		0.0939692003824042	0.04602463519925765	0.051496662688643106	0.08114408259335794	0.12067304368032813	0.059651013562544555	0.09277406664025928	0.0414459212960444	0.0652043478525758	0.0652043478525758
P47898_WT	Test set	21:41		0.5679442508710801	0.8064516129032258	0.7839721254355401	0.8536585365853658	0.7142857142857143	0.8536585365853658	0.7142857142857143	0.8536585365853658	0.1672473867595819	0.8327526132404182
P21918_WT	Fold 1	14:16		0.49099025303098287	0.7333333333333333	0.7410714285714286	0.625	0.8571428571428571	0.8333333333333334	0.6666666666666666	0.7142857142857143	0.20982142857142855	0.7901785714285714
P21918_WT	Fold 2	14:16		0.5345224838248488	0.7666666666666667	0.7678571428571428	0.75	0.7857142857142857	0.8	0.7333333333333333	0.7741935483870969	0.15625	0.84375
P21918_WT	Fold 3	14:16		0.6651836553993731	0.8333333333333334	0.8303571428571428	0.875	0.7857142857142857	0.8235294117647058	0.8461538461538461	0.8484848484848485	0.10714285714285712	0.8928571428571428
P21918_WT	Fold 4	15:15		0.6681531047810609	0.8333333333333334	0.8333333333333334	0.8666666666666667	0.8	0.8125	0.8571428571428571	0.8387096774193549	0.08888888888888888	0.9111111111111111
P21918_WT	Fold 5	14:15		0.5556950534971523	0.7586206896551724	0.7642857142857142	0.6	0.9285714285714286	0.9	0.6842105263157895	0.7200000000000001	0.1761904761904762	0.8238095238095239
P21918_WT	Mean	-		0.5829089101066837	0.7850574712643679	0.7873809523809524	0.7433333333333334	0.8314285714285715	0.833872549019608	0.7575014459224986	0.779134757715403	0.14765873015873016	0.8523412698412699
P21918_WT	SD	-		0.06527708403050275	0.03735779543217938	0.03419969643993236	0.10578192102063007	0.0504402387690109	0.03184401158688896	0.07302313854998177	0.05177731115217333	0.04051234736096793	0.04051234736096791
P21918_WT	Test set	32:32		0.5625	0.78125	0.78125	0.78125	0.78125	0.78125	0.78125	0.78125	0.1162109375	0.8837890625
P35367_WT	Fold 1	75:39		0.6424333002557598	0.8421052631578947	0.8123076923076923	0.717948717948718	0.9066666666666666	0.8	0.8607594936708861	0.7567567567567569	0.1135042735042735	0.8864957264957265
P35367_WT	Fold 2	74:40		0.5420830712675617	0.7982456140350878	0.7527027027027027	0.6	0.9054054054054054	0.7741935483870968	0.8072289156626506	0.676056338028169	0.17702702702702702	0.822972972972973
P35367_WT	Fold 3	74:40		0.4669958646270954	0.7631578947368421	0.7256756756756757	0.6	0.8513513513513513	0.6857142857142857	0.7974683544303798	0.64	0.17060810810810811	0.8293918918918919
P35367_WT	Fold 4	74:40		0.38887197600420337	0.7368421052631579	0.6709459459459459	0.45	0.8918918918918919	0.6923076923076923	0.75	0.5454545454545455	0.15878378378378377	0.8412162162162162
P35367_WT	Fold 5	74:39		0.4798860316445212	0.7699115044247787	0.7333679833679834	0.6153846153846154	0.8513513513513513	0.6857142857142857	0.8076923076923077	0.6486486486486486	0.20270270270270271	0.7972972972972973
P35367_WT	Mean	-		0.5040540487598283	0.7820524763235522	0.739	0.5966666666666667	0.8813333333333333	0.7275859624246722	0.8046298142912448	0.6533832577776241	0.16452517902517902	0.8354748209748208
P35367_WT	SD	-		0.07726505866631152	0.032703060455452605	0.04163811017980433	0.07809506055733531	0.022842081332455622	0.04503163863835186	0.03215166718815269	0.06198156166057342	0.02672987705211848	0.026729877052118486
P35367_WT	Test set	159:85		0.6490525038753285	0.8442622950819673	0.8011098779134296	0.6588235294117647	0.9433962264150944	0.8615384615384616	0.8379888268156425	0.7466666666666668	0.1308916019237884	0.8691083980762117
P28221_WT	Fold 1	59:17		0.7651436196037408	0.9210526315789473	0.8654037886340977	0.7647058823529411	0.9661016949152542	0.8666666666666667	0.9344262295081968	0.8125	0.03290129611166499	0.967098703888335
P28221_WT	Fold 2	59:17		0.6409008608007031	0.881578947368421	0.7981056829511466	0.6470588235294118	0.9491525423728814	0.7857142857142857	0.9032258064516129	0.7096774193548386	0.04187437686939181	0.9581256231306082
P28221_WT	Fold 3	59:17		0.47799629417577516	0.8289473684210527	0.722333000997009	0.5294117647058824	0.9152542372881356	0.6428571428571429	0.8709677419354839	0.5806451612903226	0.20039880358923232	0.7996011964107677
P28221_WT	Fold 4	58:17		0.5934029399655009	0.8666666666666667	0.7682555780933062	0.5882352941176471	0.9482758620689655	0.7692307692307693	0.8870967741935484	0.6666666666666667	0.07910750507099393	0.920892494929006
P28221_WT	Fold 5	59:16		0.5617072133069818	0.8666666666666667	0.7330508474576272	0.5	0.9661016949152542	0.8	0.8769230769230769	0.6153846153846154	0.06991525423728813	0.9300847457627119
P28221_WT	Mean	-		0.6078301855705404	0.872982456140351	0.7774297796266374	0.6058823529411764	0.9489772063120983	0.7728937728937728	0.8945279258023838	0.6769747725392887	0.08483944717571425	0.9151605528242858
P28221_WT	SD	-		0.08663476922150233	0.027090923362908283	0.04700395346621959	0.08591726392237899	0.016952175308358748	0.06660256683063634	0.02076761400405442	0.07372872449664784	0.05500472760324177	0.05500472760324178
P28221_WT	Test set	129:33		0.47937514864377034	0.845679012345679	0.7114164904862579	0.48484848484848486	0.937984496124031	0.6666666666666666	0.8768115942028986	0.5614035087719298	0.13671599718111346	0.8632840028188865
Q96RJ0_WT	Fold 1	15:14		0.6715681162974194	0.8275862068965517	0.8309523809523809	0.9285714285714286	0.7333333333333333	0.7647058823529411	0.9166666666666666	0.8387096774193549	0.1761904761904762	0.8238095238095239
Q96RJ0_WT	Fold 2	14:15		0.38095238095238093	0.6896551724137931	0.6904761904761905	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6666666666666666	0.689655172413793	0.23333333333333334	0.7666666666666667
Q96RJ0_WT	Fold 3	14:14		0.3823595564509363	0.6785714285714286	0.6785714285714286	0.5	0.8571428571428571	0.7777777777777778	0.631578947368421	0.6086956521739131	0.17857142857142855	0.8214285714285714
Q96RJ0_WT	Fold 4	14:14		0.5012804118276031	0.75	0.75	0.7142857142857143	0.7857142857142857	0.7692307692307693	0.7333333333333333	0.7407407407407408	0.12755102040816324	0.8724489795918368
Q96RJ0_WT	Fold 5	14:14		0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.1683673469387755	0.8316326530612245
Q96RJ0_WT	Mean	-		0.47294637881995366	0.7320197044334975	0.7328571428571429	0.7047619047619048	0.7609523809523809	0.7480571715865834	0.7325062656641604	0.7184173914067032	0.17680272108843537	0.8231972789115647
Q96RJ0_WT	SD	-		0.0990718731234887	0.0490275663855172	0.05000755800775231	0.12493384492788817	0.04997353797115525	0.02546186002697833	0.09015625528805359	0.06813193335621666	0.030811520701685458	0.03081152070168544
Q96RJ0_WT	Test set	27:34		0.528322440087146	0.7540983606557377	0.764161220043573	0.6764705882352942	0.8518518518518519	0.8518518518518519	0.6764705882352942	0.7540983606557378	0.1579520697167756	0.8420479302832244
