target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P25021_WT	Fold 1	10:21		0.8523809523809524	0.9354838709677419	0.9261904761904762	0.9523809523809523	0.9	0.9523809523809523	0.9	0.9523809523809523	0.057142857142857134	0.9428571428571428
P25021_WT	Fold 2	10:21		0.7099295739719539	0.8709677419354839	0.8	1.0	0.6	0.84	1.0	0.9130434782608696	0.17619047619047623	0.8238095238095238
P25021_WT	Fold 3	9:22		0.4924054147377875	0.8064516129032258	0.6994949494949495	0.9545454545454546	0.4444444444444444	0.8076923076923077	0.8	0.875	0.22222222222222224	0.7777777777777778
P25021_WT	Fold 4	9:21		0.8412698412698413	0.9333333333333333	0.9206349206349206	0.9523809523809523	0.8888888888888888	0.9523809523809523	0.8888888888888888	0.9523809523809523	0.0687830687830688	0.9312169312169312
P25021_WT	Fold 5	9:21		0.5819143739626463	0.8333333333333334	0.753968253968254	0.9523809523809523	0.5555555555555556	0.8333333333333334	0.8333333333333334	0.888888888888889	0.10582010582010584	0.8941798941798942
P25021_WT	Mean	-		0.6955800312646363	0.8759139784946235	0.82005772005772	0.9623376623376624	0.6777777777777777	0.8771575091575091	0.8844444444444445	0.9163388543823328	0.12603174603174605	0.8739682539682538
P25021_WT	SD	-		0.12923993541014617	0.04744848299534318	0.08234626737943998	0.017207451873897665	0.16801920329205564	0.0569265402497535	0.0623939429370058	0.0290726866299541	0.05802313673584668	0.058023136735846664
P25021_WT	Test set	10:46		0.3243723035407737	0.75	0.691304347826087	0.782608695652174	0.6	0.9	0.375	0.8372093023255814	0.341304347826087	0.658695652173913
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	13:17		0.5909278263416963	0.8	0.7873303167420814	0.8823529411764706	0.6923076923076923	0.7894736842105263	0.8181818181818182	0.8333333333333333	0.13122171945701355	0.8687782805429864
P47898_WT	Fold 2	13:17		0.49321266968325794	0.7333333333333333	0.746606334841629	0.6470588235294118	0.8461538461538461	0.8461538461538461	0.6470588235294118	0.7333333333333334	0.1764705882352941	0.823529411764706
P47898_WT	Fold 3	13:17		0.7305170766586324	0.8666666666666667	0.8552036199095023	0.9411764705882353	0.7692307692307693	0.8421052631578947	0.9090909090909091	0.8888888888888888	0.04977375565610859	0.9502262443438914
P47898_WT	Fold 4	12:17		0.650516096306267	0.8275862068965517	0.8284313725490196	0.8235294117647058	0.8333333333333334	0.875	0.7692307692307693	0.8484848484848485	0.0784313725490196	0.9215686274509804
P47898_WT	Fold 5	12:17		0.5735294117647058	0.7931034482758621	0.7867647058823529	0.8235294117647058	0.75	0.8235294117647058	0.75	0.8235294117647058	0.09803921568627452	0.9019607843137254
P47898_WT	Mean	-		0.6077406161509119	0.8041379310344826	0.8008672699849171	0.8235294117647058	0.7782051282051282	0.8352524410573945	0.7787124640065817	0.825513963161022	0.10678733031674208	0.893212669683258
P47898_WT	SD	-		0.07242643150828579	0.040024654400509375	0.034250545429431005	0.08985442539129096	0.0514952831842464	0.025751356727869247	0.07831917393765511	0.046737551449804314	0.03996651380196917	0.03996651380196914
P47898_WT	Test set	11:46		-0.01383399209486166	0.6842105263157895	0.4930830039525692	0.8043478260869565	0.18181818181818182	0.8043478260869565	0.18181818181818182	0.8043478260869565	0.4169960474308301	0.5830039525691699
P21918_WT	Fold 1	17:9		0.4615633996151572	0.7307692307692307	0.7418300653594772	0.7777777777777778	0.7058823529411765	0.5833333333333334	0.8571428571428571	0.6666666666666666	0.15686274509803924	0.8431372549019608
P21918_WT	Fold 2	17:9		0.5608894275087271	0.8076923076923077	0.7483660130718954	0.5555555555555556	0.9411764705882353	0.8333333333333334	0.8	0.6666666666666667	0.15032679738562094	0.8496732026143791
P21918_WT	Fold 3	17:8		0.3361227822436775	0.72	0.6617647058823529	0.5	0.8235294117647058	0.5714285714285714	0.7777777777777778	0.5333333333333333	0.29411764705882354	0.7058823529411764
P21918_WT	Fold 4	17:8		0.6183990949706142	0.84	0.7830882352941176	0.625	0.9411764705882353	0.8333333333333334	0.8421052631578947	0.7142857142857143	0.25	0.75
P21918_WT	Fold 5	17:8		0.6362090102803518	0.84	0.75	0.5	1.0	1.0	0.8095238095238095	0.6666666666666666	0.08088235294117647	0.9191176470588235
P21918_WT	Mean	-		0.5226367429237055	0.7876923076923076	0.7370098039215687	0.5916666666666667	0.8823529411764707	0.7642857142857143	0.8173099415204679	0.6495238095238095	0.18643790849673206	0.813562091503268
P21918_WT	SD	-		0.10169379418257014	0.04777494907761636	0.0367559297198827	0.09474353512804803	0.09605842128561481	0.1500188952573654	0.026218692565845997	0.05564165663544545	0.06946911006273526	0.06946911006273526
P21918_WT	Test set	18:68		0.21378501642370973	0.6395348837209303	0.6290849673202614	0.6470588235294118	0.6111111111111112	0.8627450980392157	0.3142857142857143	0.7394957983193278	0.2745098039215686	0.7254901960784313
P35367_WT	Fold 1	84:33		0.6458139356186051	0.8632478632478633	0.7851731601731602	0.6060606060606061	0.9642857142857143	0.8695652173913043	0.8617021276595744	0.7142857142857143	0.10894660894660894	0.891053391053391
P35367_WT	Fold 2	83:34		0.5294903015841169	0.811965811965812	0.7546066619418852	0.6176470588235294	0.891566265060241	0.7	0.8505747126436781	0.65625	0.11304039688164423	0.8869596031183558
P35367_WT	Fold 3	83:33		0.4709525199137844	0.8017241379310345	0.6971522453450164	0.45454545454545453	0.9397590361445783	0.75	0.8125	0.5660377358490566	0.17926250456370937	0.8207374954362907
P35367_WT	Fold 4	83:33		0.6213378403781241	0.853448275862069	0.7789339174881343	0.6060606060606061	0.9518072289156626	0.8333333333333334	0.8586956521739131	0.7017543859649124	0.11792625045637095	0.8820737495436292
P35367_WT	Fold 5	83:33		0.4858488360290454	0.8017241379310345	0.7245345016429354	0.5454545454545454	0.9036144578313253	0.6923076923076923	0.8333333333333334	0.6101694915254238	0.16246805403431908	0.8375319459656809
P35367_WT	Mean	-		0.5506886867047351	0.8264220453875627	0.7480800973182263	0.5659536541889483	0.9302065404475043	0.769041248606466	0.8433611651620998	0.6496994655250214	0.13632876297653052	0.8636712370234696
P35367_WT	SD	-		0.06461623887431338	0.02420576358689452	0.030327354976251365	0.055858964762896264	0.025558559380715037	0.06487917267078346	0.016715968367934146	0.050803398228977496	0.026322840289442123	0.0263228402894421
P35367_WT	Test set	114:117		0.19237863615407066	0.5930735930735931	0.5943544759334234	0.49572649572649574	0.6929824561403509	0.6236559139784946	0.572463768115942	0.5523809523809524	0.3791423001949318	0.6208576998050683
P28221_WT	Fold 1	83:15		0.6007242006257042	0.9081632653061225	0.7	0.4	1.0	1.0	0.9021739130434783	0.5714285714285715	0.040160642570281124	0.9598393574297188
P28221_WT	Fold 2	82:16		0.47838155579361374	0.8673469387755102	0.7195121951219512	0.5	0.9390243902439024	0.6153846153846154	0.9058823529411765	0.5517241379310345	0.11966463414634149	0.8803353658536586
P28221_WT	Fold 3	82:15		0.7009891352868903	0.9278350515463918	0.7666666666666666	0.5333333333333333	1.0	1.0	0.9213483146067416	0.6956521739130436	0.022764227642276428	0.9772357723577236
P28221_WT	Fold 4	82:15		0.32148713995875355	0.8556701030927835	0.615040650406504	0.26666666666666666	0.9634146341463414	0.5714285714285714	0.8777777777777778	0.36363636363636365	0.05609756097560975	0.9439024390243902
P28221_WT	Fold 5	82:15		0.5321004401122097	0.8865979381443299	0.7422764227642276	0.5333333333333333	0.9512195121951219	0.6666666666666666	0.9176470588235294	0.5925925925925926	0.07235772357723579	0.9276422764227642
P28221_WT	Mean	-		0.5267364943554342	0.8891226593730275	0.7086991869918698	0.44666666666666666	0.9707317073170731	0.7706959706959707	0.9049658834385408	0.5550067679003211	0.06220895778234892	0.9377910422176511
P28221_WT	SD	-		0.11570971799318615	0.02401674321728642	0.04735007556560938	0.09349192874650057	0.02292336939816536	0.17311455037363305	0.014006096081008551	0.09840131043255804	0.030231099616252203	0.030231099616252192
P28221_WT	Test set	12:41		0.3084184677017772	0.4716981132075472	0.6585365853658537	0.3170731707317073	1.0	1.0	0.3	0.48148148148148145	0.20121951219512194	0.7987804878048781
Q96RJ0_WT	Fold 1	10:15		0.9211323729436766	0.96	0.9666666666666667	0.9333333333333333	1.0	1.0	0.9090909090909091	0.9655172413793104	0.03333333333333333	0.9666666666666667
Q96RJ0_WT	Fold 2	10:14		0.741940826802374	0.875	0.8642857142857143	0.9285714285714286	0.8	0.8666666666666667	0.8888888888888888	0.896551724137931	0.035714285714285705	0.9642857142857144
Q96RJ0_WT	Fold 3	10:14		0.6573757351339165	0.8333333333333334	0.8142857142857143	0.9285714285714286	0.7	0.8125	0.875	0.8666666666666666	0.07857142857142856	0.9214285714285714
Q96RJ0_WT	Fold 4	10:14		0.4879500364742666	0.75	0.7142857142857143	0.9285714285714286	0.5	0.7222222222222222	0.8333333333333334	0.8125000000000001	0.1357142857142857	0.8642857142857143
Q96RJ0_WT	Fold 5	10:14		0.916515138991168	0.9583333333333334	0.95	1.0	0.9	0.9333333333333333	1.0	0.9655172413793104	0.014285714285714282	0.9857142857142858
Q96RJ0_WT	Mean	-		0.7449828220690804	0.8753333333333334	0.8619047619047621	0.9438095238095239	0.78	0.8669444444444444	0.9012626262626263	0.9013505747126438	0.05952380952380952	0.9404761904761905
Q96RJ0_WT	SD	-		0.14955606992533993	0.07249137879775773	0.08445951053092365	0.02570252523541113	0.1570562531918633	0.08757859491945418	0.05044398665396386	0.05378219856230235	0.039722202400768875	0.0397222024007689
Q96RJ0_WT	Test set	48:34		0.002978645197304902	0.45121951219512196	0.5012254901960784	0.7941176470588235	0.20833333333333334	0.4153846153846154	0.5882352941176471	0.5454545454545455	0.5824142156862745	0.4175857843137255
P28222_WT	Fold 1	79:18		0.6759820515918324	0.9072164948453608	0.8143459915611815	0.6666666666666666	0.9620253164556962	0.8	0.926829268292683	0.7272727272727272	0.10126582278481014	0.8987341772151899
