target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P30939_WT	Fold 1	3:2		0.4082482904638631	0.6	0.6666666666666666	1.0	0.3333333333333333	0.5	1.0	0.6666666666666666	0.0	1.0
P30939_WT	Fold 2	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.25	0.75
P30939_WT	Fold 3	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.125	0.875
P30939_WT	Fold 4	2:2		0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.375	0.625
P30939_WT	Fold 5	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.0	1.0
P30939_WT	Mean	-		0.19711971193069777	0.5700000000000001	0.5833333333333333	0.5	0.6666666666666666	0.3333333333333333	0.7	0.39333333333333337	0.15	0.85
P30939_WT	SD	-		0.22572811663658332	0.0894427190999916	0.09622504486493762	0.408248290463863	0.2545875386086578	0.2545875386086578	0.22360679774997896	0.305747414513159	0.13307266185559427	0.13307266185559427
P30939_WT	Test set	8:2		0.6123724356957946	0.8	0.875	1.0	0.75	0.5	1.0	0.6666666666666666	0.25	0.75
P25021_WT	Fold 1	9:21		0.5091750772173156	0.8	0.6666666666666666	1.0	0.3333333333333333	0.7777777777777778	1.0	0.8750000000000001	0.2592592592592593	0.7407407407407407
P25021_WT	Fold 2	8:21		0.6370559117099397	0.8620689655172413	0.7886904761904762	0.9523809523809523	0.625	0.8695652173913043	0.8333333333333334	0.909090909090909	0.03571428571428571	0.9642857142857143
P25021_WT	Fold 3	8:21		0.5865557254410011	0.8275862068965517	0.8035714285714286	0.8571428571428571	0.75	0.9	0.6666666666666666	0.8780487804878048	0.06547619047619047	0.9345238095238095
P25021_WT	Fold 4	8:21		0.6370559117099397	0.8620689655172413	0.7886904761904762	0.9523809523809523	0.625	0.8695652173913043	0.8333333333333334	0.909090909090909	0.2142857142857143	0.7857142857142857
P25021_WT	Fold 5	9:20		0.3933832769405552	0.7586206896551724	0.6722222222222223	0.9	0.4444444444444444	0.782608695652174	0.6666666666666666	0.8372093023255814	0.20555555555555555	0.7944444444444444
P25021_WT	Mean	-		0.5526451806037503	0.8220689655172414	0.743968253968254	0.9323809523809524	0.5555555555555556	0.8399033816425121	0.8	0.8816879801990408	0.15605820105820106	0.8439417989417988
P25021_WT	SD	-		0.08431515477636486	0.03592390778044607	0.055790861280338264	0.044873215197675224	0.13489631744753208	0.04566823154789252	0.11385500851066223	0.024283625013430857	0.0808070215741369	0.08080702157413691
P25021_WT	Test set	15:48		0.6264144833056664	0.873015873015873	0.7791666666666667	0.9583333333333334	0.6	0.8846153846153846	0.8181818181818182	0.9199999999999999	0.1388888888888889	0.8611111111111112
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	11:18		0.47153204805450116	0.7586206896551724	0.7171717171717171	0.8888888888888888	0.5454545454545454	0.7619047619047619	0.75	0.8205128205128205	0.13131313131313133	0.8686868686868687
P47898_WT	Fold 2	11:18		0.630537041003112	0.8275862068965517	0.7904040404040404	0.9444444444444444	0.6363636363636364	0.8095238095238095	0.875	0.8717948717948718	0.045454545454545456	0.9545454545454546
P47898_WT	Fold 3	11:18		0.2676767676767677	0.6551724137931034	0.6338383838383839	0.7222222222222222	0.5454545454545454	0.7222222222222222	0.5454545454545454	0.7222222222222222	0.15656565656565657	0.8434343434343434
P47898_WT	Fold 4	10:18		0.5333333333333333	0.7857142857142857	0.7666666666666666	0.8333333333333334	0.7	0.8333333333333334	0.7	0.8333333333333334	0.09444444444444444	0.9055555555555556
P47898_WT	Fold 5	10:18		0.4472135954999579	0.7142857142857143	0.7333333333333334	0.6666666666666666	0.8	0.8571428571428571	0.5714285714285714	0.75	0.14444444444444443	0.8555555555555555
P47898_WT	Mean	-		0.47005855711353445	0.7482758620689655	0.7282828282828283	0.8111111111111111	0.6454545454545453	0.7968253968253969	0.6883766233766233	0.7995726495726496	0.11444444444444443	0.8855555555555557
P47898_WT	SD	-		0.10896443857169621	0.05419465540482878	0.048991634527902894	0.09406240814222441	0.0884516334504632	0.0445671020978613	0.11020011747189357	0.05038991318814871	0.03678395318131359	0.03678395318131361
P47898_WT	Test set	21:41		0.5267891182131145	0.7903225806451613	0.7601626016260162	0.8536585365853658	0.6666666666666666	0.8333333333333334	0.7	0.8433734939759037	0.18002322880371663	0.8199767711962834
P21918_WT	Fold 1	14:16		0.27865801780244004	0.6333333333333333	0.6383928571428572	0.5625	0.7142857142857143	0.6923076923076923	0.5882352941176471	0.6206896551724138	0.2232142857142857	0.7767857142857143
P21918_WT	Fold 2	14:16		0.6071428571428571	0.8	0.8035714285714286	0.75	0.8571428571428571	0.8571428571428571	0.75	0.7999999999999999	0.09375	0.90625
P21918_WT	Fold 3	14:16		0.5982142857142857	0.8	0.7991071428571428	0.8125	0.7857142857142857	0.8125	0.7857142857142857	0.8125	0.1205357142857143	0.8794642857142858
P21918_WT	Fold 4	15:15		0.6054055145966812	0.8	0.8	0.8666666666666667	0.7333333333333333	0.7647058823529411	0.8461538461538461	0.8125	0.11555555555555555	0.8844444444444444
P21918_WT	Fold 5	14:15		0.6571428571428571	0.8275862068965517	0.8285714285714285	0.8	0.8571428571428571	0.8571428571428571	0.8	0.8275862068965518	0.11904761904761904	0.8809523809523809
P21918_WT	Mean	-		0.5493127064798242	0.7721839080459769	0.7739285714285714	0.7583333333333334	0.7895238095238095	0.7967598577892695	0.7540206851971558	0.774655172413793	0.1344206349206349	0.8655793650793651
P21918_WT	SD	-		0.12500893021089338	0.06412241122876339	0.06264736029315741	0.09559148226427648	0.05473774484308267	0.056976131718682974	0.08073419644755062	0.07072705416629771	0.041479763788368644	0.04147976378836865
P21918_WT	Test set	32:32		0.6262242910851495	0.8125	0.8125	0.84375	0.78125	0.7941176470588235	0.8333333333333334	0.8181818181818182	0.1513671875	0.8486328125
P35367_WT	Fold 1	75:39		0.7096132295489815	0.868421052631579	0.8569230769230769	0.8205128205128205	0.8933333333333333	0.8	0.9054054054054054	0.810126582278481	0.09470085470085471	0.9052991452991455
P35367_WT	Fold 2	74:40		0.562399712209596	0.8070175438596491	0.7594594594594595	0.6	0.918918918918919	0.8	0.8095238095238095	0.6857142857142857	0.12162162162162163	0.8783783783783784
P35367_WT	Fold 3	74:40		0.5933834764332001	0.8157894736842105	0.7949324324324325	0.725	0.8648648648648649	0.7435897435897436	0.8533333333333334	0.7341772151898733	0.17364864864864862	0.8263513513513514
P35367_WT	Fold 4	74:40		0.48153154726887987	0.7719298245614035	0.7266891891891891	0.575	0.8783783783783784	0.71875	0.7926829268292683	0.6388888888888888	0.1472972972972973	0.8527027027027028
P35367_WT	Fold 5	74:39		0.4396283318851813	0.7522123893805309	0.7137907137907138	0.5897435897435898	0.8378378378378378	0.6571428571428571	0.7948717948717948	0.6216216216216216	0.21933471933471932	0.7806652806652806
P35367_WT	Mean	-		0.5573112594691678	0.8030740568234747	0.7703589743589744	0.662051282051282	0.8786666666666667	0.7438965201465202	0.8311634539927223	0.6981057187386301	0.15132062832062831	0.8486793716793717
P35367_WT	SD	-		0.0857465485253688	0.036524729511573394	0.04712221054512587	0.08730147950333603	0.024809007198788535	0.04908129401857682	0.03930538683354635	0.062396346562519134	0.03921835034867159	0.03921835034867165
P35367_WT	Test set	159:85		0.5731789713221276	0.8114754098360656	0.7732149463559008	0.6470588235294118	0.89937106918239	0.7746478873239436	0.8265895953757225	0.7051282051282052	0.13429522752497225	0.8657047724750278
P28221_WT	Fold 1	59:17		0.8892844052698252	0.9605263157894737	0.9536390827517447	0.9411764705882353	0.9661016949152542	0.8888888888888888	0.9827586206896551	0.9142857142857143	0.006979062811565292	0.9930209371884348
P28221_WT	Fold 2	59:17		0.5594485774882391	0.8552631578947368	0.7602193419740777	0.5882352941176471	0.9322033898305084	0.7142857142857143	0.8870967741935484	0.6451612903225806	0.051844466600199396	0.9481555333998006
P28221_WT	Fold 3	59:17		0.47799629417577516	0.8289473684210527	0.722333000997009	0.5294117647058824	0.9152542372881356	0.6428571428571429	0.8709677419354839	0.5806451612903226	0.17048853439680958	0.8295114656031904
P28221_WT	Fold 4	58:17		0.8064085845521822	0.9333333333333333	0.8945233265720081	0.8235294117647058	0.9655172413793104	0.875	0.9491525423728814	0.8484848484848485	0.02636916835699797	0.973630831643002
P28221_WT	Fold 5	59:16		0.7073455830774277	0.9066666666666666	0.8268008474576272	0.6875	0.9661016949152542	0.8461538461538461	0.9193548387096774	0.7586206896551724	0.07097457627118642	0.9290254237288136
P28221_WT	Mean	-		0.6880966889126899	0.8969473684210525	0.8315031199504933	0.713970588235294	0.9490356516656926	0.7934371184371185	0.9218661035802492	0.7494395408077278	0.06533116168735173	0.9346688383126484
P28221_WT	SD	-		0.13876673126213157	0.044388923461947095	0.07736315132058787	0.13795993643075125	0.01948782294885817	0.08895867143153487	0.03709965030669817	0.11286719589725629	0.05195321048016631	0.05195321048016631
P28221_WT	Test set	129:33		0.5332088797396917	0.8518518518518519	0.7603946441155743	0.6060606060606061	0.9147286821705426	0.6451612903225806	0.9007633587786259	0.625	0.1437632135306554	0.8562367864693445
Q96RJ0_WT	Fold 1	15:14		0.30952380952380953	0.6551724137931034	0.6547619047619048	0.6428571428571429	0.6666666666666666	0.6428571428571429	0.6666666666666666	0.6428571428571429	0.21904761904761905	0.780952380952381
Q96RJ0_WT	Fold 2	14:15		0.46057608037601816	0.7241379310344828	0.719047619047619	0.8666666666666667	0.5714285714285714	0.6842105263157895	0.8	0.7647058823529413	0.3047619047619048	0.6952380952380952
Q96RJ0_WT	Fold 3	14:14		0.5118906968889915	0.75	0.75	0.6428571428571429	0.8571428571428571	0.8181818181818182	0.7058823529411765	0.7200000000000001	0.09183673469387754	0.9081632653061225
Q96RJ0_WT	Fold 4	14:14		0.5012804118276031	0.75	0.75	0.7142857142857143	0.7857142857142857	0.7692307692307693	0.7333333333333333	0.7407407407407408	0.15816326530612246	0.8418367346938777
Q96RJ0_WT	Fold 5	14:14		0.21483446221182986	0.6071428571428571	0.6071428571428572	0.6428571428571429	0.5714285714285714	0.6	0.6153846153846154	0.6206896551724138	0.25510204081632654	0.7448979591836735
Q96RJ0_WT	Mean	-		0.39962109216565045	0.6972906403940887	0.6961904761904762	0.7019047619047619	0.6904761904761905	0.702896051317104	0.7042533936651585	0.6977986842246479	0.20578231292517007	0.79421768707483
Q96RJ0_WT	SD	-		0.10717447687122648	0.051926066081149316	0.051573868824999244	0.07933015104423687	0.10468972982756286	0.07329451956838386	0.0567540465864215	0.051280059689549365	0.06789272420585696	0.06789272420585696
Q96RJ0_WT	Test set	27:34		0.5570875960664091	0.7540983606557377	0.7717864923747277	0.6176470588235294	0.9259259259259259	0.9130434782608695	0.6578947368421053	0.7368421052631579	0.12854030501089325	0.8714596949891067
