target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P25021_WT	Fold 1	10:21		0.7047619047619048	0.8709677419354839	0.8523809523809525	0.9047619047619048	0.8	0.9047619047619048	0.8	0.9047619047619048	0.07619047619047617	0.9238095238095239
P25021_WT	Fold 2	10:21		0.7826237921249264	0.9032258064516129	0.85	1.0	0.7	0.875	1.0	0.9333333333333333	0.1095238095238095	0.8904761904761905
P25021_WT	Fold 3	9:22		0.6856277926728687	0.8709677419354839	0.7777777777777778	1.0	0.5555555555555556	0.8461538461538461	1.0	0.9166666666666666	0.25252525252525254	0.7474747474747475
P25021_WT	Fold 4	9:21		0.8427009716003844	0.9333333333333333	0.8888888888888888	1.0	0.7777777777777778	0.9130434782608695	1.0	0.9545454545454545	0.026455026455026454	0.9735449735449735
P25021_WT	Fold 5	9:21		0.5238095238095238	0.8	0.7619047619047619	0.8571428571428571	0.6666666666666666	0.8571428571428571	0.6666666666666666	0.8571428571428571	0.0634920634920635	0.9365079365079365
P25021_WT	Mean	-		0.7079047969939215	0.8756989247311827	0.8261904761904763	0.9523809523809523	0.7	0.8792204172638955	0.8933333333333333	0.9132900432900433	0.10563732563732564	0.8943626743626745
P25021_WT	SD	-		0.09844638915323697	0.040526842254897555	0.04408394993427132	0.05498573992282151	0.07960809355631362	0.02378723658663539	0.1253144193766372	0.029833928331241752	0.07130257637919576	0.07130257637919575
P25021_WT	Test set	10:46		0.21102672654165874	0.75	0.6130434782608696	0.8260869565217391	0.4	0.8636363636363636	0.3333333333333333	0.8444444444444444	0.25869565217391305	0.741304347826087
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	13:17		0.39551460591314075	0.7	0.6990950226244343	0.7058823529411765	0.6923076923076923	0.75	0.6428571428571429	0.7272727272727272	0.13574660633484162	0.8642533936651584
P47898_WT	Fold 2	13:17		0.4756514941544941	0.7	0.7262443438914028	0.5294117647058824	0.9230769230769231	0.9	0.6	0.6666666666666667	0.12217194570135748	0.8778280542986425
P47898_WT	Fold 3	13:17		0.7486251134176306	0.8666666666666667	0.8461538461538461	1.0	0.6923076923076923	0.8095238095238095	1.0	0.8947368421052632	0.04977375565610859	0.9502262443438914
P47898_WT	Fold 4	12:17		0.8696565534786727	0.9310344827586207	0.9411764705882353	0.8823529411764706	1.0	1.0	0.8571428571428571	0.9375	0.04901960784313726	0.9509803921568627
P47898_WT	Fold 5	12:17		0.5097327620310301	0.7586206896551724	0.7573529411764706	0.7647058823529411	0.75	0.8125	0.6923076923076923	0.787878787878788	0.09313725490196079	0.9068627450980392
P47898_WT	Mean	-		0.5998361057989936	0.7912643678160919	0.7940045248868779	0.7764705882352941	0.8115384615384615	0.8544047619047619	0.7584615384615384	0.802811004784689	0.08996983408748113	0.910030165912519
P47898_WT	SD	-		0.16341610916984733	0.08460217795917414	0.08095443949824913	0.1456798087922095	0.11559809311640873	0.07952731434154833	0.13597156435241206	0.09224583845355133	0.0327494711792401	0.03274947117924007
P47898_WT	Test set	11:46		-0.015717365336548286	0.45614035087719296	0.49011857707509876	0.43478260869565216	0.5454545454545454	0.8	0.1875	0.5633802816901409	0.5335968379446641	0.466403162055336
P21918_WT	Fold 1	17:9		0.5659164584181102	0.8076923076923077	0.7745098039215685	0.6666666666666666	0.8823529411764706	0.75	0.8333333333333334	0.7058823529411765	0.1568627450980392	0.8431372549019607
P21918_WT	Fold 2	17:9		0.5860327153276884	0.8076923076923077	0.7222222222222222	0.4444444444444444	1.0	1.0	0.7727272727272727	0.6153846153846153	0.15032679738562094	0.8496732026143791
P21918_WT	Fold 3	17:8		-0.045834924851410566	0.56	0.47794117647058826	0.25	0.7058823529411765	0.2857142857142857	0.6666666666666666	0.26666666666666666	0.3529411764705882	0.6470588235294118
P21918_WT	Fold 4	17:8		0.5271016357912215	0.8	0.7536764705882353	0.625	0.8823529411764706	0.7142857142857143	0.8333333333333334	0.6666666666666666	0.22794117647058826	0.7720588235294118
P21918_WT	Fold 5	17:8		0.5144957554275266	0.8	0.7205882352941176	0.5	0.9411764705882353	0.8	0.8	0.6153846153846154	0.06617647058823531	0.9338235294117647
P21918_WT	Mean	-		0.42954232802262726	0.755076923076923	0.6897875816993464	0.49722222222222223	0.8823529411764707	0.71	0.7812121212121212	0.5739969834087482	0.19084967320261437	0.8091503267973856
P21918_WT	SD	-		0.21825275128857902	0.0890953880157692	0.09843714630648741	0.13475324194241772	0.08985442539129097	0.21363392937993939	0.05624185823469985	0.14367742611010953	0.08755004020838666	0.08755004020838666
P21918_WT	Test set	18:68		0.2884209727958037	0.5465116279069767	0.6723856209150326	0.45588235294117646	0.8888888888888888	0.9393939393939394	0.3018867924528302	0.6138613861386139	0.2479575163398693	0.7520424836601307
P35367_WT	Fold 1	84:33		0.5583012956283879	0.8290598290598291	0.7613636363636364	0.6060606060606061	0.9166666666666666	0.7407407407407407	0.8555555555555555	0.6666666666666666	0.1424963924963925	0.8575036075036074
P35367_WT	Fold 2	83:34		0.5675236656120257	0.8290598290598291	0.7666548547129695	0.6176470588235294	0.9156626506024096	0.75	0.8539325842696629	0.6774193548387097	0.11126860382707299	0.888731396172927
P35367_WT	Fold 3	83:33		0.45949067407882666	0.7931034482758621	0.7093829864914203	0.5151515151515151	0.9036144578313253	0.68	0.8241758241758241	0.5862068965517241	0.19313618108798833	0.8068638189120118
P35367_WT	Fold 4	83:33		0.5235362513127008	0.8189655172413793	0.7274552756480468	0.5151515151515151	0.9397590361445783	0.7727272727272727	0.8297872340425532	0.6181818181818182	0.14421321650237315	0.8557867834976269
P35367_WT	Fold 5	83:33		0.6067447762947039	0.8448275862068966	0.7911646586345381	0.6666666666666666	0.9156626506024096	0.7586206896551724	0.8735632183908046	0.7096774193548386	0.1807228915662651	0.819277108433735
P35367_WT	Mean	-		0.5431193325853291	0.8230032419687593	0.7512042823701222	0.5841354723707665	0.9182730923694779	0.7404177406246373	0.8474028832868801	0.6516304311187515	0.15436745709601843	0.8456325429039817
P35367_WT	SD	-		0.04518759076572002	0.015598971011256124	0.02662016916969755	0.054669779362186574	0.010745004749549588	0.02920468177107099	0.01654928782980431	0.040124095819541454	0.026768030733013162	0.02676803073301311
P35367_WT	Test set	114:117		0.1251406992451418	0.5627705627705628	0.5625281151596941	0.5811965811965812	0.543859649122807	0.5666666666666667	0.5585585585585585	0.5738396624472575	0.39166291797870745	0.6083370820212926
P28221_WT	Fold 1	83:15		0.6524116994973539	0.9183673469387755	0.7333333333333334	0.4666666666666667	1.0	1.0	0.9120879120879121	0.6363636363636364	0.06586345381526104	0.934136546184739
P28221_WT	Fold 2	82:16		0.4256447748831721	0.8469387755102041	0.7073170731707317	0.5	0.9146341463414634	0.5333333333333333	0.9036144578313253	0.5161290322580646	0.15015243902439024	0.8498475609756098
P28221_WT	Fold 3	82:15		0.7524066235031007	0.9381443298969072	0.8544715447154472	0.7333333333333333	0.975609756097561	0.8461538461538461	0.9523809523809523	0.7857142857142856	0.06260162601626017	0.9373983739837398
P28221_WT	Fold 4	82:15		0.5113797070154621	0.8865979381443299	0.7150406504065041	0.4666666666666667	0.9634146341463414	0.7	0.9080459770114943	0.56	0.13170731707317074	0.8682926829268294
P28221_WT	Fold 5	82:15		0.4455002006979742	0.865979381443299	0.7028455284552846	0.4666666666666667	0.9390243902439024	0.5833333333333334	0.9058823529411765	0.5185185185185186	0.05934959349593496	0.9406504065040651
P28221_WT	Mean	-		0.5574686011194127	0.8912055543867032	0.7426016260162601	0.5266666666666666	0.9585365853658537	0.7325641025641025	0.9164023304505722	0.6033450945709011	0.09393488588500343	0.9060651141149967
P28221_WT	SD	-		0.11478505602261557	0.030436133301137112	0.051938961448940835	0.09506333171647748	0.02690307659800698	0.15676294829849732	0.016618783035771877	0.09222231538868315	0.03548025451085512	0.0354802545108551
P28221_WT	Test set	12:41		0.19757857964581108	0.49056603773584906	0.6117886178861789	0.3902439024390244	0.8333333333333334	0.8888888888888888	0.2857142857142857	0.5423728813559323	0.2886178861788618	0.7113821138211383
Q96RJ0_WT	Fold 1	10:15		0.6666666666666666	0.84	0.8333333333333334	0.8666666666666667	0.8	0.8666666666666667	0.8	0.8666666666666667	0.039999999999999994	0.9600000000000001
Q96RJ0_WT	Fold 2	10:14		0.6571428571428571	0.8333333333333334	0.8285714285714285	0.8571428571428571	0.8	0.8571428571428571	0.8	0.8571428571428571	0.07142857142857141	0.9285714285714286
Q96RJ0_WT	Fold 3	10:14		0.4857142857142857	0.75	0.7428571428571429	0.7857142857142857	0.7	0.7857142857142857	0.7	0.7857142857142857	0.12142857142857143	0.8785714285714286
Q96RJ0_WT	Fold 4	10:14		0.6573757351339165	0.8333333333333334	0.8142857142857143	0.9285714285714286	0.7	0.8125	0.875	0.8666666666666666	0.08571428571428572	0.9142857142857143
Q96RJ0_WT	Fold 5	10:14		0.7491587023046328	0.875	0.8785714285714286	0.8571428571428571	0.9	0.9230769230769231	0.8181818181818182	0.888888888888889	0.03571428571428571	0.9642857142857142
Q96RJ0_WT	Mean	-		0.6432116493924717	0.8263333333333334	0.8195238095238097	0.8590476190476191	0.78	0.8490201465201466	0.7986363636363636	0.853015873015873	0.07085714285714284	0.9291428571428572
Q96RJ0_WT	SD	-		0.07850162980894008	0.03759432581299116	0.04013394052621488	0.04138567383151186	0.06831300510639735	0.04321098889816912	0.05155301638723569	0.03216130504637601	0.028768368873105195	0.02876836887310519
Q96RJ0_WT	Test set	48:34		0.11337684709612346	0.47560975609756095	0.5392156862745098	0.9117647058823529	0.16666666666666666	0.43661971830985913	0.7272727272727273	0.5904761904761904	0.44914215686274506	0.5508578431372549
P28222_WT	Fold 1	79:18		0.6759820515918324	0.9072164948453608	0.8143459915611815	0.6666666666666666	0.9620253164556962	0.8	0.926829268292683	0.7272727272727272	0.08579465541490858	0.9142053445850915
