target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P30939_WT	Fold 1	3:2		0.16666666666666666	0.6	0.5833333333333333	0.5	0.6666666666666666	0.5	0.6666666666666666	0.5	0.25	0.7500000000000001
P30939_WT	Fold 2	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.25	0.75
P30939_WT	Fold 3	2:2		0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
P30939_WT	Fold 4	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.375	0.625
P30939_WT	Fold 5	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.375	0.625
P30939_WT	Mean	-		0.2642734410091837	0.62	0.6166666666666666	0.6	0.6333333333333333	0.4666666666666666	0.7333333333333333	0.52	0.35	0.65
P30939_WT	SD	-		0.2398757269679004	0.10246950765959599	0.10318986456114838	0.34156502553198664	0.17743021580745902	0.22360679774997896	0.20637972912229677	0.2670830083201351	0.08539125638299666	0.08539125638299667
P30939_WT	Test set	8:2		0.2182178902359924	0.7	0.625	0.5	0.75	0.3333333333333333	0.8571428571428571	0.4	0.1875	0.8125
P25021_WT	Fold 1	9:21		0.5991446895152781	0.8333333333333334	0.7222222222222222	1.0	0.4444444444444444	0.8076923076923077	1.0	0.8936170212765957	0.2010582010582011	0.798941798941799
P25021_WT	Fold 2	8:21		0.5533182635734681	0.8275862068965517	0.7648809523809523	0.9047619047619048	0.625	0.8636363636363636	0.7142857142857143	0.8837209302325582	0.13095238095238093	0.8690476190476191
P25021_WT	Fold 3	8:21		0.7533215689487367	0.896551724137931	0.8898809523809523	0.9047619047619048	0.875	0.95	0.7777777777777778	0.9268292682926829	0.041666666666666664	0.9583333333333334
P25021_WT	Fold 4	8:21		0.48214285714285715	0.7931034482758621	0.7410714285714286	0.8571428571428571	0.625	0.8571428571428571	0.625	0.8571428571428571	0.1607142857142857	0.8392857142857143
P25021_WT	Fold 5	9:20		0.2093814215973923	0.6896551724137931	0.5916666666666667	0.85	0.3333333333333333	0.7391304347826086	0.5	0.7906976744186046	0.2777777777777778	0.7222222222222223
P25021_WT	Mean	-		0.5194617601555465	0.8080459770114942	0.7419444444444444	0.9033333333333333	0.5805555555555556	0.8435203926508275	0.7234126984126984	0.8704015502726596	0.16243386243386243	0.8375661375661376
P25021_WT	SD	-		0.1631607382849978	0.06204057815444067	0.08697167400624792	0.04886466107567735	0.16847018028746374	0.06338907054096538	0.15228136902560918	0.041691230306997985	0.07115103013410681	0.07115103013410679
P25021_WT	Test set	15:48		0.6264144833056664	0.873015873015873	0.7791666666666667	0.9583333333333334	0.6	0.8846153846153846	0.8181818181818182	0.9199999999999999	0.14166666666666666	0.8583333333333334
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	11:18		0.8581163303210332	0.9310344827586207	0.9090909090909092	1.0	0.8181818181818182	0.9	1.0	0.9473684210526316	0.025252525252525262	0.9747474747474747
P47898_WT	Fold 2	11:18		0.5814571893892646	0.7931034482758621	0.797979797979798	0.7777777777777778	0.8181818181818182	0.875	0.6923076923076923	0.823529411764706	0.0707070707070707	0.9292929292929293
P47898_WT	Fold 3	11:18		0.4794833742895531	0.7586206896551724	0.7348484848484849	0.8333333333333334	0.6363636363636364	0.7894736842105263	0.7	0.8108108108108109	0.15151515151515152	0.8484848484848485
P47898_WT	Fold 4	10:18		0.7739827625318122	0.8928571428571429	0.8944444444444444	0.8888888888888888	0.9	0.9411764705882353	0.8181818181818182	0.9142857142857143	0.1111111111111111	0.8888888888888888
P47898_WT	Fold 5	10:18		0.5594309277855158	0.7857142857142857	0.788888888888889	0.7777777777777778	0.8	0.875	0.6666666666666666	0.823529411764706	0.16666666666666663	0.8333333333333334
P47898_WT	Mean	-		0.6504941168634357	0.8322660098522168	0.8250505050505051	0.8555555555555555	0.7945454545454546	0.8761300309597523	0.7754312354312354	0.8639047539357136	0.10505050505050503	0.8949494949494949
P47898_WT	SD	-		0.1295245825868766	0.0613064693098598	0.06062892385808641	0.07590333900710813	0.07883448504974111	0.045300277964905745	0.11305446214405712	0.050963595179622005	0.04750339417970741	0.04750339417970739
P47898_WT	Test set	21:41		0.553240605156788	0.8064516129032258	0.7607433217189314	0.9024390243902439	0.6190476190476191	0.8222222222222222	0.7647058823529411	0.8604651162790697	0.14634146341463417	0.8536585365853658
P21918_WT	Fold 1	14:16		0.49099025303098287	0.7333333333333333	0.7410714285714286	0.625	0.8571428571428571	0.8333333333333334	0.6666666666666666	0.7142857142857143	0.16964285714285715	0.8303571428571429
P21918_WT	Fold 2	14:16		0.4732142857142857	0.7333333333333333	0.7366071428571428	0.6875	0.7857142857142857	0.7857142857142857	0.6875	0.7333333333333334	0.2098214285714286	0.7901785714285715
P21918_WT	Fold 3	14:16		0.472455591261534	0.7333333333333333	0.7232142857142857	0.875	0.5714285714285714	0.7	0.8	0.7777777777777777	0.125	0.875
P21918_WT	Fold 4	15:15		0.4708709557974187	0.7333333333333333	0.7333333333333334	0.8	0.6666666666666666	0.7058823529411765	0.7692307692307693	0.7500000000000001	0.14666666666666667	0.8533333333333333
P21918_WT	Fold 5	14:15		0.5857142857142857	0.7931034482758621	0.7928571428571429	0.8	0.7857142857142857	0.8	0.7857142857142857	0.8000000000000002	0.18095238095238098	0.819047619047619
P21918_WT	Mean	-		0.4986490743037014	0.7452873563218391	0.7454166666666667	0.7575	0.7333333333333333	0.764985994397759	0.7418223443223443	0.7550793650793651	0.1664166666666667	0.8335833333333333
P21918_WT	SD	-		0.040298179184414064	0.02182496014579975	0.022308594193841954	0.08152198067597068	0.09262282197393752	0.04837944000310578	0.049432878518623144	0.027975862131736747	0.026492361882158387	0.02649236188215835
P21918_WT	Test set	32:32		0.6591530616030618	0.828125	0.828125	0.875	0.78125	0.8	0.8620689655172413	0.8358208955223881	0.140625	0.859375
P35367_WT	Fold 1	75:39		0.5663808972655423	0.8070175438596491	0.7794871794871795	0.6923076923076923	0.8666666666666667	0.7297297297297297	0.8441558441558441	0.7105263157894737	0.12170940170940171	0.8782905982905983
P35367_WT	Fold 2	74:40		0.6280192682591459	0.8333333333333334	0.7797297297297296	0.6	0.9594594594594594	0.8888888888888888	0.8160919540229885	0.7164179104477612	0.11891891891891891	0.8810810810810811
P35367_WT	Fold 3	74:40		0.4271474151005319	0.7456140350877193	0.706418918918919	0.575	0.8378378378378378	0.6571428571428571	0.7848101265822784	0.6133333333333333	0.16114864864864864	0.8388513513513514
P35367_WT	Fold 4	74:40		0.586541213206786	0.8157894736842105	0.783445945945946	0.675	0.8918918918918919	0.7714285714285715	0.8354430379746836	0.72	0.18074324324324323	0.8192567567567568
P35367_WT	Fold 5	74:39		0.4572221232592689	0.7610619469026548	0.7205474705474706	0.5897435897435898	0.8513513513513513	0.6764705882352942	0.7974683544303798	0.6301369863013699	0.20686070686070682	0.7931392931392932
P35367_WT	Mean	-		0.533062183418255	0.7925632665735134	0.7539258489258489	0.6264102564102564	0.8814414414414415	0.7447321270850683	0.8155938634332349	0.6780829091743875	0.15787618387618385	0.8421238161238161
P35367_WT	SD	-		0.07065956428981116	0.03056998705246148	0.03044580582646258	0.04356679888830093	0.039202476087981046	0.07533310686091192	0.020355986417320053	0.0423684405944759	0.03098063789706649	0.030980637897066475
P35367_WT	Test set	159:85		0.5542411691552218	0.8032786885245902	0.7641879393266741	0.6352941176470588	0.8930817610062893	0.7605633802816901	0.8208092485549133	0.6923076923076923	0.13385127635960042	0.8661487236403995
P28221_WT	Fold 1	59:17		0.8484546360917248	0.9473684210526315	0.9242273180458624	0.8823529411764706	0.9661016949152542	0.8823529411764706	0.9661016949152542	0.8823529411764706	0.014955134596211358	0.9850448654037887
P28221_WT	Fold 2	59:17		0.7624048141917624	0.9210526315789473	0.8444666001994019	0.7058823529411765	0.9830508474576272	0.9230769230769231	0.9206349206349206	0.8000000000000002	0.03688933200398803	0.963110667996012
P28221_WT	Fold 3	59:17		0.5453639082751744	0.8421052631578947	0.7726819541375873	0.6470588235294118	0.8983050847457628	0.6470588235294118	0.8983050847457628	0.6470588235294118	0.12662013958125623	0.8733798604187438
P28221_WT	Fold 4	58:17		0.7286699677894397	0.9066666666666666	0.8564908722109533	0.7647058823529411	0.9482758620689655	0.8125	0.9322033898305084	0.787878787878788	0.05070993914807302	0.949290060851927
P28221_WT	Fold 5	59:16		0.6605220255577957	0.8933333333333333	0.7955508474576272	0.625	0.9661016949152542	0.8333333333333334	0.9047619047619048	0.7142857142857143	0.07203389830508475	0.9279661016949152
P28221_WT	Mean	-		0.7090830703811795	0.9021052631578946	0.8386835184102864	0.725	0.9523670368205728	0.8196644042232277	0.9244013989776703	0.766315253374077	0.06024168872692268	0.9397583112730773
P28221_WT	SD	-		0.09292777424495062	0.03189960654800162	0.04810564992875387	0.08443618557723195	0.026640227333093628	0.08626978663717703	0.021911562591463738	0.0730223278218807	0.034718423889292103	0.03471842388929209
P28221_WT	Test set	129:33		0.4690907452021281	0.8333333333333334	0.7262156448202959	0.5454545454545454	0.9069767441860465	0.6	0.8863636363636364	0.5714285714285713	0.12003758515386426	0.8799624148461358
Q96RJ0_WT	Fold 1	15:14		0.30921121901463916	0.6551724137931034	0.6523809523809523	0.5714285714285714	0.7333333333333333	0.6666666666666666	0.6470588235294118	0.6153846153846153	0.17142857142857143	0.8285714285714285
Q96RJ0_WT	Fold 2	14:15		0.3825184261187248	0.6896551724137931	0.6857142857142857	0.8	0.5714285714285714	0.6666666666666666	0.7272727272727273	0.7272727272727272	0.3	0.7
Q96RJ0_WT	Fold 3	14:14		0.6581451817144176	0.8214285714285714	0.8214285714285714	0.7142857142857143	0.9285714285714286	0.9090909090909091	0.7647058823529411	0.8	0.08163265306122448	0.9183673469387754
Q96RJ0_WT	Fold 4	14:14		0.5118906968889915	0.75	0.75	0.8571428571428571	0.6428571428571429	0.7058823529411765	0.8181818181818182	0.7741935483870968	0.14795918367346936	0.8520408163265306
Q96RJ0_WT	Fold 5	14:14		0.5962847939999439	0.7857142857142857	0.7857142857142858	0.6428571428571429	0.9285714285714286	0.9	0.7222222222222222	0.75	0.24999999999999997	0.75
Q96RJ0_WT	Mean	-		0.4916100635473434	0.7403940886699507	0.7390476190476191	0.7171428571428572	0.7609523809523809	0.7696613190730838	0.7358882947118242	0.7333701782088878	0.19020408163265307	0.8097959183673469
Q96RJ0_WT	SD	-		0.1185132712053149	0.055602686805944525	0.056920865092178884	0.09418465001962754	0.13342967041229659	0.10141690826139371	0.051241815367099736	0.0582242841952649	0.07018499582362049	0.07018499582362048
Q96RJ0_WT	Test set	27:34		0.6251884845635052	0.7868852459016393	0.8050108932461874	0.6470588235294118	0.9629629629629629	0.9565217391304348	0.6842105263157895	0.7719298245614036	0.15577342047930287	0.8442265795206971
