target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P25021_WT	Fold 1	10:21		0.642034105174945	0.8387096774193549	0.8285714285714285	0.8571428571428571	0.8	0.9	0.7272727272727273	0.8780487804878048	0.06666666666666665	0.9333333333333333
P25021_WT	Fold 2	10:21		0.7826237921249264	0.9032258064516129	0.85	1.0	0.7	0.875	1.0	0.9333333333333333	0.03333333333333333	0.9666666666666666
P25021_WT	Fold 3	9:22		0.6744004873337632	0.8709677419354839	0.8106060606060606	0.9545454545454546	0.6666666666666666	0.875	0.8571428571428571	0.9130434782608695	0.20707070707070707	0.7929292929292929
P25021_WT	Fold 4	9:21		0.7566444492037344	0.9	0.8650793650793651	0.9523809523809523	0.7777777777777778	0.9090909090909091	0.875	0.9302325581395349	0.08465608465608469	0.9153439153439153
P25021_WT	Fold 5	9:21		0.4987413913553295	0.8	0.7301587301587302	0.9047619047619048	0.5555555555555556	0.8260869565217391	0.7142857142857143	0.8636363636363636	0.08994708994708994	0.91005291005291
P25021_WT	Mean	-		0.6708888450385396	0.8625806451612903	0.8168831168831169	0.9337662337662339	0.7	0.8770355731225296	0.8347402597402598	0.9036589027715811	0.09633477633477634	0.9036652236652236
P25021_WT	SD	-		0.09157728566621885	0.03561072145412843	0.043044054188550215	0.044492674492484584	0.07960809355631362	0.026327925969918457	0.09617005152523897	0.02560105221832746	0.05367963500280976	0.05367963500280975
P25021_WT	Test set	10:46		0.430729385431444	0.8392857142857143	0.7065217391304348	0.9130434782608695	0.5	0.8936170212765957	0.5555555555555556	0.9032258064516129	0.1760869565217391	0.8239130434782609
P28566_WT		2:42	Not enough data in minority class for all 5 folds										
P47898_WT	Fold 1	13:17		0.6590820436573076	0.8333333333333334	0.8257918552036199	0.8823529411764706	0.7692307692307693	0.8333333333333334	0.8333333333333334	0.8571428571428571	0.11312217194570134	0.8868778280542986
P47898_WT	Fold 2	13:17		0.5257861761937928	0.7333333333333333	0.755656108597285	0.5882352941176471	0.9230769230769231	0.9090909090909091	0.631578947368421	0.7142857142857143	0.21719457013574658	0.7828054298642533
P47898_WT	Fold 3	13:17		0.7285067873303167	0.8666666666666667	0.8642533936651584	0.8823529411764706	0.8461538461538461	0.8823529411764706	0.8461538461538461	0.8823529411764706	0.027149321266968326	0.9728506787330317
P47898_WT	Fold 4	12:17		0.8696565534786727	0.9310344827586207	0.9411764705882353	0.8823529411764706	1.0	1.0	0.8571428571428571	0.9375	0.019607843137254905	0.9803921568627452
P47898_WT	Fold 5	12:17		0.6418625415785221	0.8275862068965517	0.8161764705882353	0.8823529411764706	0.75	0.8333333333333334	0.8181818181818182	0.8571428571428571	0.11764705882352941	0.8823529411764707
P47898_WT	Mean	-		0.6849788204477224	0.8383908045977012	0.8406108597285069	0.8235294117647058	0.8576923076923076	0.8916221033868093	0.7972781604360553	0.8496848739495798	0.0989441930618401	0.9010558069381599
P47898_WT	SD	-		0.10317663132916015	0.058540249820763314	0.05583661210184396	0.10739657990297372	0.08571545974588092	0.05617236337648998	0.07655693107879423	0.06735833831567699	0.06580618510247899	0.06580618510247903
P47898_WT	Test set	11:46		0.1769439280659841	0.5964912280701754	0.6116600790513834	0.5869565217391305	0.6363636363636364	0.8709677419354839	0.2692307692307692	0.7012987012987013	0.34189723320158105	0.6581027667984191
P21918_WT	Fold 1	17:9		0.6601307189542484	0.8461538461538461	0.8300653594771241	0.7777777777777778	0.8823529411764706	0.7777777777777778	0.8823529411764706	0.7777777777777778	0.09150326797385622	0.9084967320261437
P21918_WT	Fold 2	17:9		0.6519456811446811	0.8461538461538461	0.803921568627451	0.6666666666666666	0.9411764705882353	0.8571428571428571	0.8421052631578947	0.75	0.0718954248366013	0.9281045751633987
P21918_WT	Fold 3	17:8		0.42841224443765613	0.72	0.7279411764705883	0.75	0.7058823529411765	0.5454545454545454	0.8571428571428571	0.631578947368421	0.2720588235294118	0.7279411764705882
P21918_WT	Fold 4	17:8		0.4176201680321031	0.76	0.6911764705882353	0.5	0.8823529411764706	0.6666666666666666	0.7894736842105263	0.5714285714285715	0.2573529411764706	0.7426470588235294
P21918_WT	Fold 5	17:8		0.6183990949706142	0.84	0.7830882352941176	0.625	0.9411764705882353	0.8333333333333334	0.8421052631578947	0.7142857142857143	0.10294117647058823	0.8970588235294117
P21918_WT	Mean	-		0.5553015815078606	0.8024615384615383	0.7672385620915033	0.663888888888889	0.8705882352941176	0.7360750360750361	0.8426360017691288	0.689014202172097	0.1591503267973856	0.8408496732026144
P21918_WT	SD	-		0.09947160544291536	0.04801051824270322	0.046320959725539505	0.09015304773805989	0.07892004626469844	0.10567986684443423	0.027732891133902503	0.069954840513048	0.07931066885912835	0.07931066885912832
P21918_WT	Test set	18:68		0.11243619908556622	0.5116279069767442	0.5686274509803921	0.47058823529411764	0.6666666666666666	0.8421052631578947	0.25	0.6037735849056604	0.44934640522875824	0.5506535947712419
P35367_WT	Fold 1	84:33		0.6566161115885607	0.8632478632478633	0.821969696969697	0.7272727272727273	0.9166666666666666	0.7741935483870968	0.8953488372093024	0.7500000000000001	0.12806637806637808	0.871933621933622
P35367_WT	Fold 2	83:34		0.5675236656120257	0.8290598290598291	0.7666548547129695	0.6176470588235294	0.9156626506024096	0.75	0.8539325842696629	0.6774193548387097	0.10843373493975904	0.891566265060241
P35367_WT	Fold 3	83:33		0.35736720791575743	0.7586206896551724	0.6579043446513326	0.42424242424242425	0.891566265060241	0.6086956521739131	0.7956989247311828	0.5	0.22818546914932458	0.7718145308506754
P35367_WT	Fold 4	83:33		0.5722763838586664	0.8362068965517241	0.748630887185104	0.5454545454545454	0.9518072289156626	0.8181818181818182	0.8404255319148937	0.6545454545454545	0.12924424972617746	0.8707557502738226
P35367_WT	Fold 5	83:33		0.44806045177755427	0.7844827586206896	0.7124863088718509	0.5454545454545454	0.8795180722891566	0.6428571428571429	0.8295454545454546	0.5901639344262296	0.1891201168309602	0.8108798831690398
P35367_WT	Mean	-		0.5203687641505129	0.8143236074270558	0.7415292184781908	0.5720142602495544	0.9110441767068271	0.7187856323199943	0.8429902665340994	0.6344257487620788	0.15660998974251988	0.8433900102574802
P35367_WT	SD	-		0.09598552388484846	0.03435818360626153	0.04998168330419925	0.09076976029583608	0.022685727604667374	0.07281130282805776	0.029678741222109086	0.0770714499799104	0.04095633983606084	0.040956339836060854
P35367_WT	Test set	114:117		0.29146885914911264	0.6406926406926406	0.6421502474134053	0.5299145299145299	0.7543859649122807	0.6888888888888889	0.6099290780141844	0.5990338164251208	0.29944519418203625	0.7005548058179637
P28221_WT	Fold 1	83:15		0.836431024195987	0.9591836734693877	0.8666666666666667	0.7333333333333333	1.0	1.0	0.9540229885057471	0.846153846153846	0.03453815261044177	0.9654618473895582
P28221_WT	Fold 2	82:16		0.551829268292683	0.8775510204081632	0.7759146341463414	0.625	0.926829268292683	0.625	0.926829268292683	0.625	0.0929878048780488	0.9070121951219512
P28221_WT	Fold 3	82:15		0.6687100151547054	0.9175257731958762	0.815040650406504	0.6666666666666666	0.9634146341463414	0.7692307692307693	0.9404761904761905	0.7142857142857142	0.035772357723577224	0.9642276422764229
P28221_WT	Fold 4	82:15		0.5973367783923349	0.9072164948453608	0.7272357723577236	0.4666666666666667	0.9878048780487805	0.875	0.9101123595505618	0.608695652173913	0.06097560975609756	0.9390243902439024
P28221_WT	Fold 5	82:15		0.58501340680631	0.8969072164948454	0.775609756097561	0.6	0.9512195121951219	0.6923076923076923	0.9285714285714286	0.6428571428571429	0.05284552845528458	0.9471544715447155
P28221_WT	Mean	-		0.6478640985684041	0.9116768356827267	0.7920934959349593	0.6183333333333334	0.9658536585365853	0.7923076923076924	0.9320024470793221	0.6873984710941232	0.05542389068468998	0.94457610931531
P28221_WT	SD	-		0.09284211135416655	0.02481168161039938	0.04248082557018059	0.08056513353021105	0.02377266913368039	0.12144856298728499	0.013381692535236942	0.07957996584021945	0.01945470803596429	0.01945470803596431
P28221_WT	Test set	12:41		0.12098367634490197	0.5660377358490566	0.5721544715447155	0.5609756097560976	0.5833333333333334	0.8214285714285714	0.28	0.6666666666666667	0.323170731707317	0.6768292682926829
Q96RJ0_WT	Fold 1	10:15		0.7566444492037343	0.88	0.8833333333333333	0.8666666666666667	0.9	0.9285714285714286	0.8181818181818182	0.896551724137931	0.01333333333333333	0.9866666666666667
Q96RJ0_WT	Fold 2	10:14		0.741940826802374	0.875	0.8642857142857143	0.9285714285714286	0.8	0.8666666666666667	0.8888888888888888	0.896551724137931	0.09285714285714283	0.907142857142857
Q96RJ0_WT	Fold 3	10:14		0.5733162099493055	0.7916666666666666	0.7642857142857142	0.9285714285714286	0.6	0.7647058823529411	0.8571428571428571	0.8387096774193549	0.1	0.9
Q96RJ0_WT	Fold 4	10:14		0.5673665146135802	0.7916666666666666	0.7785714285714285	0.8571428571428571	0.7	0.8	0.7777777777777778	0.8275862068965518	0.11428571428571428	0.8857142857142857
Q96RJ0_WT	Fold 5	10:14		0.9187795405622854	0.9583333333333334	0.9642857142857143	0.9285714285714286	1.0	1.0	0.9090909090909091	0.962962962962963	0.0	1.0
Q96RJ0_WT	Mean	-		0.7116095082262559	0.8593333333333332	0.8509523809523809	0.9019047619047619	0.8	0.8719887955182072	0.8502164502164502	0.8844724591109463	0.0640952380952381	0.9359047619047619
Q96RJ0_WT	SD	-		0.11958165595677456	0.0572001036000098	0.06685913260730175	0.029940732587497597	0.12909944487358058	0.07779117133820043	0.04336533455771557	0.04431488531197255	0.0434366464227677	0.043436646422767726
Q96RJ0_WT	Test set	48:34		0.2102514218887449	0.5487804878048781	0.5931372549019608	0.8529411764705882	0.3333333333333333	0.47540983606557374	0.7619047619047619	0.6105263157894736	0.33762254901960786	0.6623774509803921
P28222_WT	Fold 1	79:18		0.7167381828731345	0.9175257731958762	0.8421237693389592	0.7222222222222222	0.9620253164556962	0.8125	0.9382716049382716	0.7647058823529411	0.04149085794655413	0.9585091420534458
