target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9IP65_WT		4.0	Number of points 4 < 30													
P30939_WT	Fold 1	4.0		0.4997103641705791	0.1552023522751822	0.393957297527514	0.0018783837298570207	0.04334032452413134	0.36026754379272474	0.5042382243752319	0.5119460678100589	0.019160688923622438	0.0023701315913685628	0.944249206100298	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 2	4.0		0.7365408269133665	0.209258161994875	0.4574474417841628	0.002764933175228952	0.05258263187811116	0.37638851833343523	0.7684749197277001	0.770175762176514	0.0273008303311153	0.0035921669595992967	0.9533752502014828	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 3	4.0		0.8988293736389394	0.07664956652223054	0.2768565811430722	0.0012391911809454103	0.03520214739110968	0.24371052455902098	0.9070032292029103	0.4088538169860838	0.011148221082321719	0.001660411745368351	0.9791467845477823	0.39999999999999997	0.3333333333333334
P30939_WT	Fold 4	4.0		-36.789610991293124	0.1462528800883648	0.3824302290462468	0.0018344062857659133	0.04282996948126292	0.34135709190368657	-31.50163237577346	0.4732400894165041	0.018360125857194376	0.002306784259611616	-0.627645546821645	-0.19999999999999998	0.0
P30939_WT	Fold 5	3.0		-0.6038947831712216	1.0480650460632346	1.0237504803726514	0.018080831604982976	0.13446498282074398	0.9640601094563802	0.8184204584617234	1.4025654792785645	0.15356736445638752	0.02263036559909108	0.9214298415833921	1.0	1.0
P30939_WT	Mean	3.8		-7.051685041948292	0.3270856013887774	0.5068884059747294	0.0051595491953560545	0.06168401121907181	0.4571567576090495	-5.700699108801179	0.7133562431335451	0.045907446130128274	0.006511972031007782	0.634111107122262	0.5599999999999999	0.5333333333333334
P30939_WT	SD	0.3651483716701107		13.581905568477966	0.33132491532624225	0.2417811429047202	0.005914467489914291	0.03359851131723791	0.23517046771948502	11.777098309053965	0.3339614205416719	0.04936144204862118	0.00737906900740168	0.5761577852658039	0.38987177379235854	0.31031644541708764
P30939_WT	Test set	12.0		-3.101994059903393	2.666030506335757	1.6327983667115047	0.043538846631090956	0.2086596430340351	1.410026857058207	-0.04295739606840865	2.453493118286133	0.3713433876098506	0.05200019201927408	-0.08323265420290483	-0.11950956970358119	-0.10855649121315493
P28566_WT	Fold 1	5.0		0.21207719391912394	0.36713244239191045	0.605914550404519	0.008446913835599265	0.09190709349989948	0.5331007659912108	0.7192327393086938	1.0040593147277832	0.06706469855464725	0.01236824806712349	0.848300487031858	0.39999999999999997	0.39999999999999997
