target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9IP65_WT		4.0	Number of points 4 < 30													
P30939_WT	Fold 1	4.0		0.5210377038701084	0.14858607831689574	0.3854686476445208	0.0017955742989144	0.04237421738409336	0.35754754543304457	0.5278738204620026	0.497436389923096	0.018325093179967666	0.0022646748773386127	0.9946281991121624	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 2	4.0		0.3805938989006038	0.49197672916801316	0.701410528270009	0.007266198305668277	0.08524199848471573	0.5750997943878176	0.3806866711766882	1.1330314331054687	0.06692962734248731	0.009152913473125968	0.7787624455363285	0.6000000000000001	0.3333333333333334
P30939_WT	Fold 3	4.0		0.9172087513089036	0.06272485949982416	0.25044931523129416	0.0009177743654675493	0.030294791061625585	0.2055309076309204	0.9424045744672483	0.3426863670349123	0.008529235840194271	0.0011763083588189893	0.9788587596469521	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 4	4.0		-90.17433663709726	0.3528617779736847	0.5940216982347402	0.005004383951151226	0.07074167054255381	0.5242278375625611	-78.51363705872402	0.9932470321655273	0.04850832576083253	0.0066867632502679575	0.06594395329276981	0.39999999999999997	0.3333333333333334
P30939_WT	Fold 5	3.0		0.5013543342409601	0.32584001029024456	0.5708239748733794	0.006141138580513703	0.07836541699317182	0.5126123046875	0.903483609498486	0.8671997070312498	0.0507271263365355	0.007939563393108232	0.9555162940838389	0.5	0.33333333333333337
P30939_WT	Mean	3.8		-17.570828389755338	0.27639789104973245	0.5004348328507887	0.004225013900343031	0.06140361889323206	0.43500367794036876	-15.151837676623918	0.7667201858520508	0.038603881692003454	0.0054440446705319515	0.7547419303344103	0.6199999999999999	0.4666666666666668
P30939_WT	SD	0.3651483716701107		33.13922624447764	0.13949761556428225	0.1470908707776013	0.0022497319903817614	0.01946384441209191	0.1240081826775987	28.921238624414038	0.27322546196381414	0.019845791016011687	0.0028824074563400586	0.32225863282862016	0.1460593486680443	0.14907119849998604
P30939_WT	Test set	12.0		-0.5824738156439253	1.0285055039995872	1.0141526039012014	0.018387164390520523	0.13559927872418984	0.8643899806340535	-0.02518883247543169	1.719193458557129	0.15335436179858997	0.02293759200860231	0.12705818249734077	-0.18881118881118883	-0.1515151515151515
P28566_WT	Fold 1	5.0		-0.41626237938679367	0.6599071157723049	0.8123466721617716	0.014317361411967894	0.1196551771214597	0.7431195915222167	0.20229053403433273	1.2559984245300289	0.11667335138812654	0.02079730407567091	0.463505322565782	0.39999999999999997	0.39999999999999997
P28566_WT	Fold 2	5.0		0.13178171005506434	0.10805497549338686	0.328717166411167	0.002717411773320534	0.052128799845388096	0.30755435180664054	0.18570289384845917	0.46001041412353505	0.020213621932250802	0.003786468789371611	0.45751237641070774	0.4103913408340617	0.31622776601683794
P28566_WT	Fold 3	5.0		-0.5228139884130931	0.17857125953727299	0.42257692736030084	0.0044316028983417384	0.06657028540078327	0.37828504943847674	-0.44337831488339874	0.6215551948547366	0.03380530691649284	0.006411096562593688	0.2843838468709655	-0.15389675281277312	-0.10540925533894596
P28566_WT	Fold 4	5.0		0.5295705032553045	0.18050567961892672	0.42485959989027755	0.004682631024374235	0.06842975247927055	0.3511561660766603	0.5953527449388973	0.5900594711303713	0.03428372344266926	0.006519002526238627	0.7722997257441278	0.19999999999999998	0.19999999999999998
P28566_WT	Fold 5	5.0		-0.2406492490195138	1.6922654260506012	1.30087102590941	0.0313189526006112	0.17697161523987737	0.9089796295166016	-0.14192467578744483	2.769232597351074	0.2831441411929351	0.0478910048837081	-0.8206224126734644	-0.39999999999999997	-0.39999999999999997
P28566_WT	Mean	5.0		-0.10367468070180634	0.5638608912944985	0.6578742783465854	0.011493591941723119	0.0967511260173558	0.5378189576721192	0.07960863643016913	1.1393712203979491	0.09762402897449489	0.01708097536751659	0.23141577178362374	0.0912989176042577	0.08216370213557839
