target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		5:68	Not enough data in minority class of the training set for all 5 folds										
P31648_WT	Fold 1	4:30		0.4767312946227961	0.9117647058823529	0.625	1.0	0.25	0.9090909090909091	1.0	0.9523809523809523	0.20833333333333331	0.7916666666666666
P31648_WT	Fold 2	4:30		0.36388706091787365	0.8529411764705882	0.7	0.9	0.5	0.9310344827586207	0.4	0.9152542372881356	0.075	0.925
P31648_WT	Fold 3	4:30		0.296683051981965	0.8823529411764706	0.6083333333333334	0.9666666666666667	0.25	0.90625	0.5	0.9354838709677419	0.06666666666666667	0.9333333333333333
P31648_WT	Fold 4	3:30		0.16035674514745463	0.8181818181818182	0.6	0.8666666666666667	0.3333333333333333	0.9285714285714286	0.2	0.896551724137931	0.17777777777777778	0.8222222222222222
P31648_WT	Fold 5	3:30		-0.05590169943749474	0.8787878787878788	0.48333333333333334	0.9666666666666667	0.0	0.90625	0.0	0.9354838709677419	0.1777777777777778	0.8222222222222222
P31648_WT	Mean	-		0.2483512906465189	0.8688057040998217	0.6033333333333333	0.9400000000000001	0.26666666666666666	0.9162393640841916	0.42000000000000004	0.9270309311485005	0.14111111111111113	0.8588888888888888
P31648_WT	SD	-		0.1674090905510789	0.02870281153593111	0.0635741037425355	0.04472135954999579	0.1475102005261306	0.010178822373862573	0.30767948691238206	0.017574605438601336	0.053417179462494975	0.05341717946249501
P31648_WT	Test set	5:68		-0.05613608914238399	0.8904109589041096	0.47794117647058826	0.9558823529411765	0.0	0.9285714285714286	0.0	0.9420289855072465	0.43823529411764706	0.5617647058823529
P30531_WT	Fold 1	4:4		0.2581988897471611	0.625	0.625	0.75	0.5	0.6	0.6666666666666666	0.6666666666666665	0.15625	0.84375
P30531_WT	Fold 2	4:4		0.7745966692414834	0.875	0.875	0.75	1.0	1.0	0.8	0.8571428571428571	0.0	1.0
P30531_WT	Fold 3	3:5		0.2581988897471611	0.625	0.6333333333333333	0.6	0.6666666666666666	0.75	0.5	0.6666666666666665	0.46666666666666673	0.5333333333333334
P30531_WT	Fold 4	3:5		0.7453559924999299	0.875	0.8333333333333333	1.0	0.6666666666666666	0.8333333333333334	1.0	0.9090909090909091	0.33333333333333337	0.6666666666666667
P30531_WT	Fold 5	3:4		0.7302967433402214	0.8571428571428571	0.8333333333333333	1.0	0.6666666666666666	0.8	1.0	0.888888888888889	0.125	0.875
P30531_WT	Mean	-		0.5533294369151913	0.7714285714285715	0.76	0.82	0.7	0.7966666666666666	0.7933333333333333	0.7976911976911977	0.21625000000000005	0.7837500000000001
P30531_WT	SD	-		0.22036140521039838	0.10930360886798124	0.09853087502571634	0.14317821063276354	0.14907119849998596	0.11800816042090448	0.17680288249703188	0.09882330178293072	0.15005978746757848	0.15005978746757842
P30531_WT	Test set	8:10		0.8918825850158447	0.9444444444444444	0.9375	1.0	0.875	0.9090909090909091	1.0	0.9523809523809523	0.0	1.0
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT	Fold 1	4:3		0.47140452079103173	0.7142857142857143	0.6666666666666666	0.3333333333333333	1.0	1.0	0.6666666666666666	0.5	0.20833333333333331	0.7916666666666666
Q99884_WT	Fold 2	4:3		0.7302967433402214	0.8571428571428571	0.8333333333333333	0.6666666666666666	1.0	1.0	0.8	0.8	0.0	1.0
Q99884_WT	Fold 3	4:3		0.7302967433402214	0.8571428571428571	0.8333333333333333	0.6666666666666666	1.0	1.0	0.8	0.8	0.0	1.0
Q99884_WT	Fold 4	4:3		0.09128709291752768	0.5714285714285714	0.5416666666666666	0.3333333333333333	0.75	0.5	0.6	0.4	0.375	0.625
Q99884_WT	Fold 5	4:2		0.5	0.6666666666666666	0.75	1.0	0.5	0.5	1.0	0.6666666666666666	0.0	1.0
Q99884_WT	Mean	-		0.5046570200778004	0.7333333333333333	0.7249999999999999	0.6	0.85	0.8	0.7733333333333333	0.6333333333333333	0.11666666666666665	0.8833333333333332
