target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		3:38	Not enough data in minority class of the training set for all 5 folds										
P30531_WT		1:8	Not enough data in minority class of the training set for all 5 folds										
P30531_WT	Fold 1	5:5		0.816496580927726	0.9	0.9	0.8	1.0	1.0	0.8333333333333334	0.888888888888889	0.08000000000000002	0.92
P30531_WT	Fold 2	5:5		0.2182178902359924	0.6	0.6000000000000001	0.8	0.4	0.5714285714285714	0.6666666666666666	0.6666666666666666	0.24	0.76
P30531_WT	Fold 3	5:5		0.6546536707079772	0.8	0.8	0.6	1.0	1.0	0.7142857142857143	0.7499999999999999	0.0	1.0
P30531_WT	Fold 4	5:4		0.7905694150420948	0.8888888888888888	0.875	0.75	1.0	1.0	0.8333333333333334	0.8571428571428571	0.0	1.0
P30531_WT	Fold 5	4:5		0.31622776601683794	0.6666666666666666	0.65	0.8	0.5	0.6666666666666666	0.6666666666666666	0.7272727272727272	0.125	0.875
P30531_WT	Mean	-		0.5592330645861256	0.7711111111111111	0.7649999999999999	0.75	0.78	0.8476190476190476	0.7428571428571429	0.7779942279942279	0.089	0.9109999999999999
P30531_WT	SD	-		0.22514774416857694	0.10916819808557358	0.10954451150103321	0.07071067811865478	0.24765567494675617	0.1725711482530398	0.06927985029458796	0.07562220205140929	0.08167006795638167	0.08167006795638167
P30531_WT	Test set	1:8		0.0	0.8888888888888888	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882353	0.375	0.625
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT		28:21	Not enough training data for temporal split at 2013										
Q63380_WT	Fold 1	11:23		0.5825903418080566	0.8235294117647058	0.7747035573122529	0.9130434782608695	0.6363636363636364	0.84	0.7777777777777778	0.8749999999999999	0.14624505928853757	0.8537549407114624
Q63380_WT	Fold 2	11:23		0.541708701391931	0.7941176470588235	0.7766798418972332	0.8260869565217391	0.7272727272727273	0.8636363636363636	0.6666666666666666	0.8444444444444444	0.18577075098814227	0.8142292490118577
Q63380_WT	Fold 3	10:23		0.1391304347826087	0.6363636363636364	0.5695652173913044	0.7391304347826086	0.4	0.7391304347826086	0.4	0.7391304347826085	0.3695652173913043	0.6304347826086957
Q63380_WT	Fold 4	11:22		0.5909090909090909	0.8181818181818182	0.7954545454545454	0.8636363636363636	0.7272727272727273	0.8636363636363636	0.7272727272727273	0.8636363636363636	0.13636363636363635	0.8636363636363636
Q63380_WT	Fold 5	11:22		0.45454545454545453	0.7575757575757576	0.7272727272727273	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.15702479338842973	0.8429752066115702
Q63380_WT	Mean	-		0.4617768046874284	0.7659536541889483	0.7287351778656126	0.8320158102766799	0.6254545454545455	0.8249169960474309	0.6416161616161615	0.828078612209047	0.19899389148401006	0.8010061085159899
Q63380_WT	SD	-		0.15373848934952475	0.06284865596612346	0.07549886512243288	0.052312468237396104	0.10939351968357326	0.04209230447427722	0.11896114164911284	0.04424088528170815	0.07930513015744055	0.07930513015744053
Q63380_WT	Test set	15:14		0.0	0.4827586206896552	0.5	1.0	0.0	0.4827586206896552	0.0	0.6511627906976745	0.6380952380952382	0.3619047619047619
Q9Y345_WT	Fold 1	1:21		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9Y345_WT	Fold 2	1:21		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.0	1.0
Q9Y345_WT	Fold 3	2:20		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.35	0.65
Q9Y345_WT	Fold 4	1:20		0.689202437604511	0.9523809523809523	0.975	0.95	1.0	1.0	0.5	0.9743589743589743	0.0	1.0
Q9Y345_WT	Fold 5	1:20		0.0	0.9523809523809523	0.5	1.0	0.0	0.9523809523809523	0.0	0.975609756097561	0.35	0.65
