target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		5:68	Not enough data in minority class of the training set for all 5 folds										
P31648_WT	Fold 1	4:30		0.4767312946227961	0.9117647058823529	0.625	1.0	0.25	0.9090909090909091	1.0	0.9523809523809523	0.26666666666666666	0.7333333333333334
P31648_WT	Fold 2	4:30		0.43333333333333335	0.8823529411764706	0.7166666666666667	0.9333333333333333	0.5	0.9333333333333333	0.5	0.9333333333333333	0.06666666666666667	0.9333333333333333
P31648_WT	Fold 3	4:30		0.8519427513705973	0.9705882352941176	0.875	1.0	0.75	0.967741935483871	1.0	0.9836065573770492	0.041666666666666664	0.9583333333333334
P31648_WT	Fold 4	3:30		0.3614486980061245	0.9090909090909091	0.65	0.9666666666666667	0.3333333333333333	0.9354838709677419	0.5	0.9508196721311476	0.15555555555555556	0.8444444444444443
P31648_WT	Fold 5	3:30		-0.05590169943749474	0.8787878787878788	0.48333333333333334	0.9666666666666667	0.0	0.90625	0.0	0.9354838709677419	0.3555555555555556	0.6444444444444444
P31648_WT	Mean	-		0.41351087557907135	0.9105169340463458	0.67	0.9733333333333334	0.36666666666666664	0.9303800097751711	0.6	0.9511248772380447	0.17722222222222223	0.8227777777777778
P31648_WT	SD	-		0.26447145304136954	0.03003357886682297	0.1165276950072544	0.022771001702132435	0.22872432055821001	0.02027382627703815	0.34156502553198664	0.01642107655441337	0.10868177581849559	0.10868177581849559
P31648_WT	Test set	5:68		0.2867192940908874	0.9315068493150684	0.5926470588235294	0.9852941176470589	0.2	0.9436619718309859	0.5	0.9640287769784172	0.08529411764705883	0.9147058823529413
P30531_WT	Fold 1	4:4		0.7745966692414834	0.875	0.875	1.0	0.75	0.8	1.0	0.888888888888889	0.0625	0.9375
P30531_WT	Fold 2	4:4		0.3779644730092272	0.625	0.625	0.25	1.0	1.0	0.5714285714285714	0.4	0.25	0.75
P30531_WT	Fold 3	3:5		-0.06666666666666667	0.5	0.4666666666666667	0.6	0.3333333333333333	0.6	0.3333333333333333	0.6	0.2666666666666667	0.7333333333333334
P30531_WT	Fold 4	3:5		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P30531_WT	Fold 5	3:4		-0.16666666666666666	0.42857142857142855	0.41666666666666663	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.33333333333333337	0.6666666666666667
P30531_WT	Mean	-		0.3838455617834754	0.6857142857142857	0.6766666666666666	0.67	0.6833333333333333	0.78	0.6476190476190476	0.6777777777777778	0.18250000000000002	0.8175000000000001
P30531_WT	SD	-		0.4160112756033995	0.1995424187253134	0.20746485646168286	0.2670830083201351	0.27386127875258304	0.18618986725025255	0.2743782912550083	0.2094476372681288	0.11697380206854172	0.11697380206854169
P30531_WT	Test set	8:10		0.775	0.8888888888888888	0.8875	0.9	0.875	0.9	0.875	0.9	0.025	0.975
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT	Fold 1	4:3		0.4166666666666667	0.7142857142857143	0.7083333333333333	0.6666666666666666	0.75	0.6666666666666666	0.75	0.6666666666666666	0.08333333333333333	0.9166666666666666
Q99884_WT	Fold 2	4:3		0.47140452079103173	0.7142857142857143	0.6666666666666666	0.3333333333333333	1.0	1.0	0.6666666666666666	0.5	0.16666666666666666	0.8333333333333333
Q99884_WT	Fold 3	4:3		0.75	0.8571428571428571	0.875	1.0	0.75	0.75	1.0	0.8571428571428571	0.0	1.0
Q99884_WT	Fold 4	4:3		0.09128709291752768	0.5714285714285714	0.5416666666666666	0.3333333333333333	0.75	0.5	0.6	0.4	0.625	0.375
Q99884_WT	Fold 5	4:2		-0.7071067811865476	0.16666666666666666	0.125	0.0	0.25	0.0	0.3333333333333333	0.0	0.875	0.125
Q99884_WT	Mean	-		0.20445029983773572	0.6047619047619046	0.5833333333333333	0.4666666666666667	0.7	0.5833333333333333	0.67	0.4847619047619047	0.35	0.65
