target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		3:38	Not enough data in minority class of the training set for all 5 folds										
P30531_WT		1:8	Not enough data in minority class of the training set for all 5 folds										
P30531_WT	Fold 1	5:5		0.6546536707079772	0.8	0.8	0.6	1.0	1.0	0.7142857142857143	0.7499999999999999	0.16000000000000003	0.8400000000000001
P30531_WT	Fold 2	5:5		0.408248290463863	0.7	0.7	0.6	0.8	0.75	0.6666666666666666	0.6666666666666665	0.07999999999999999	0.92
P30531_WT	Fold 3	5:5		0.2	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.24	0.76
P30531_WT	Fold 4	5:4		0.8	0.8888888888888888	0.9	1.0	0.8	0.8	1.0	0.888888888888889	0.0	1.0
P30531_WT	Fold 5	4:5		0.1	0.5555555555555556	0.55	0.6	0.5	0.6	0.5	0.6	0.2	0.8
P30531_WT	Mean	-		0.432580392234368	0.7088888888888889	0.71	0.6799999999999999	0.74	0.7500000000000001	0.6961904761904762	0.7011111111111111	0.13599999999999998	0.8640000000000001
P30531_WT	SD	-		0.24138804047628953	0.11265592760565844	0.11690451944500121	0.1460593486680443	0.1591644851508443	0.13540064007726602	0.1534289359852999	0.09940150117686351	0.078655366420014	0.078655366420014
P30531_WT	Test set	1:8		0.0	0.8888888888888888	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882353	0.375	0.625
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT		28:21	Not enough training data for temporal split at 2013										
Q63380_WT	Fold 1	11:23		0.5825903418080566	0.8235294117647058	0.7747035573122529	0.9130434782608695	0.6363636363636364	0.84	0.7777777777777778	0.8749999999999999	0.150197628458498	0.849802371541502
Q63380_WT	Fold 2	11:23		0.5968379446640316	0.8235294117647058	0.7984189723320159	0.8695652173913043	0.7272727272727273	0.8695652173913043	0.7272727272727273	0.8695652173913043	0.150197628458498	0.849802371541502
Q63380_WT	Fold 3	10:23		0.2826086956521739	0.696969696969697	0.6413043478260869	0.782608695652174	0.5	0.782608695652174	0.5	0.782608695652174	0.2434782608695652	0.7565217391304347
Q63380_WT	Fold 4	11:22		0.6527533657682196	0.8484848484848485	0.8181818181818181	0.9090909090909091	0.7272727272727273	0.8695652173913043	0.8	0.888888888888889	0.08677685950413222	0.9132231404958677
Q63380_WT	Fold 5	11:22		0.45454545454545453	0.7575757575757576	0.7272727272727273	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.21074380165289258	0.7892561983471075
Q63380_WT	Mean	-		0.5138671604875873	0.790017825311943	0.7519762845849802	0.8584980237154151	0.6454545454545454	0.8359841897233201	0.6882828282828283	0.8468489240228371	0.16827883578871722	0.8317211642112827
Q63380_WT	SD	-		0.1210343939057759	0.05062095679139453	0.057612452617286904	0.0466224480634333	0.07606000241218869	0.03010361376561172	0.10013017409065812	0.036570665857187296	0.04958941270349524	0.04958941270349523
Q63380_WT	Test set	15:14		-0.12501526158359877	0.4482758620689655	0.4619047619047619	0.8571428571428571	0.06666666666666667	0.46153846153846156	0.3333333333333333	0.6	0.5428571428571429	0.4571428571428572
Q9Y345_WT	Fold 1	1:21		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.0	1.0
Q9Y345_WT	Fold 2	1:21		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.14285714285714285	0.8571428571428571
Q9Y345_WT	Fold 3	2:20		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.3375	0.6625
Q9Y345_WT	Fold 4	1:20		-0.05	0.9047619047619048	0.475	0.95	0.0	0.95	0.0	0.9500000000000001	0.05	0.95
Q9Y345_WT	Fold 5	1:20		0.0	0.9523809523809523	0.5	1.0	0.0	0.9523809523809523	0.0	0.975609756097561	0.45	0.55
Q9Y345_WT	Mean	-		-0.01	0.935064935064935	0.495	0.99	0.0	0.9441125541125542	0.0	0.9662958161143074	0.1960714285714286	0.8039285714285714
