target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		3:38	Not enough data in minority class of the training set for all 5 folds										
P30531_WT		1:8	Not enough data in minority class of the training set for all 5 folds										
P30531_WT	Fold 1	5:5		0.6	0.8	0.8	0.8	0.8	0.8	0.8	0.8000000000000002	0.039999999999999994	0.9600000000000001
P30531_WT	Fold 2	5:5		0.408248290463863	0.7	0.7	0.6	0.8	0.75	0.6666666666666666	0.6666666666666665	0.2	0.8
P30531_WT	Fold 3	5:5		0.2182178902359924	0.6	0.6000000000000001	0.4	0.8	0.6666666666666666	0.5714285714285714	0.5	0.28	0.72
P30531_WT	Fold 4	5:4		0.7905694150420948	0.8888888888888888	0.875	0.75	1.0	1.0	0.8333333333333334	0.8571428571428571	0.0	1.0
P30531_WT	Fold 5	4:5		0.31622776601683794	0.6666666666666666	0.65	0.8	0.5	0.6666666666666666	0.6666666666666666	0.7272727272727272	0.25	0.75
P30531_WT	Mean	-		0.46665267235175756	0.731111111111111	0.725	0.6699999999999999	0.78	0.7766666666666666	0.7076190476190476	0.7102164502164502	0.154	0.8460000000000001
P30531_WT	SD	-		0.18728860582023757	0.09305071850336122	0.09128709291752767	0.14023789311975088	0.1460593486680443	0.11205157542647744	0.08778796691630675	0.11256621091598941	0.10321498599202218	0.10321498599202218
P30531_WT	Test set	1:8		-0.125	0.7777777777777778	0.4375	0.875	0.0	0.875	0.0	0.875	0.5	0.5
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT		28:21	Not enough training data for temporal split at 2013										
Q63380_WT	Fold 1	11:23		0.7954084308108675	0.9117647058823529	0.8873517786561265	0.9565217391304348	0.8181818181818182	0.9166666666666666	0.9	0.9361702127659574	0.05928853754940712	0.9407114624505928
Q63380_WT	Fold 2	11:23		0.5968379446640316	0.8235294117647058	0.7984189723320159	0.8695652173913043	0.7272727272727273	0.8695652173913043	0.7272727272727273	0.8695652173913043	0.16205533596837945	0.8379446640316205
Q63380_WT	Fold 3	10:23		0.4260869565217391	0.7575757575757576	0.7130434782608696	0.8260869565217391	0.6	0.8260869565217391	0.6	0.8260869565217391	0.16956521739130434	0.8304347826086956
Q63380_WT	Fold 4	11:22		0.45454545454545453	0.7575757575757576	0.7272727272727273	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.6363636363636364	0.8181818181818182	0.10743801652892562	0.8925619834710744
Q63380_WT	Fold 5	11:22		0.3730019232961255	0.7272727272727273	0.6818181818181819	0.8181818181818182	0.5454545454545454	0.782608695652174	0.6	0.8	0.22314049586776863	0.7768595041322314
Q63380_WT	Mean	-		0.5291761419676437	0.7955436720142604	0.7615810276679842	0.8577075098814231	0.6654545454545454	0.8426218708827404	0.6927272727272727	0.8500008409721639	0.14429752066115703	0.8557024793388429
Q63380_WT	SD	-		0.13907147886698076	0.06032492200888505	0.06716941358449563	0.048355070628465266	0.08820212199867344	0.04219177738605801	0.10370545278161183	0.0445202830905406	0.051243148316840466	0.051243148316840445
Q63380_WT	Test set	15:14		-0.39604526490270253	0.3103448275862069	0.31666666666666665	0.5	0.13333333333333333	0.35	0.2222222222222222	0.4117647058823529	0.7476190476190476	0.2523809523809524
Q9Y345_WT	Fold 1	1:21		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9Y345_WT	Fold 2	1:21		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.0	1.0
Q9Y345_WT	Fold 3	2:20		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.0875	0.9125
Q9Y345_WT	Fold 4	1:20		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9Y345_WT	Fold 5	1:20		0.0	0.9523809523809523	0.5	1.0	0.0	0.9523809523809523	0.0	0.975609756097561	0.275	0.725
Q9Y345_WT	Mean	-		0.4	0.9632034632034632	0.7	1.0	0.4	0.9632034632034632	0.4	0.980946978905005	0.07250000000000001	0.9275
