target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P31646_WT		0:2	Number of points 2 < 30										
P48066_WT		0:8	Number of points 8 < 30										
Q15758_WT		0:20	Number of points 20 < 30										
Q9NSD5_WT		0:8	Number of points 8 < 30										
P48065_WT		0:14	Number of points 14 < 30										
Q9H2J7_WT		0:28	Number of points 28 < 30										
P31650_WT		0:157	Only one activity class										
P31649_WT		0:131	Only one activity class										
P31651_WT		1:83	Not enough data in minority class for all 5 folds										
F1LNR9_WT		3:0	Number of points 3 < 30										
O55192_WT		1:7	Number of points 8 < 30										
Q60857_WT		8:16	Number of points 24 < 30										
Q61327_WT		5:22	Number of points 27 < 30										
P28571_WT		7:0	Number of points 7 < 30										
P23978_WT		5:9	Number of points 14 < 30										
P58295_WT		4:22	Number of points 26 < 30										
P31648_WT		3:38	Not enough data in minority class of the training set for all 5 folds										
P30531_WT		1:8	Not enough data in minority class of the training set for all 5 folds										
P30531_WT	Fold 1	5:5		0.6	0.8	0.8	0.8	0.8	0.8	0.8	0.8000000000000002	0.07999999999999999	0.92
P30531_WT	Fold 2	5:5		0.6546536707079772	0.8	0.8	1.0	0.6	0.7142857142857143	1.0	0.8333333333333333	0.07999999999999999	0.92
P30531_WT	Fold 3	5:5		0.408248290463863	0.7	0.7	0.6	0.8	0.75	0.6666666666666666	0.6666666666666665	0.07999999999999999	0.92
P30531_WT	Fold 4	5:4		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P30531_WT	Fold 5	4:5		0.31622776601683794	0.6666666666666666	0.65	0.8	0.5	0.6666666666666666	0.6666666666666666	0.7272727272727272	0.25	0.7500000000000001
P30531_WT	Mean	-		0.5958259454377356	0.7933333333333332	0.7899999999999999	0.8400000000000001	0.74	0.7861904761904761	0.8266666666666668	0.8054545454545454	0.098	0.9020000000000001
P30531_WT	SD	-		0.21610001887792518	0.10610965676722954	0.10954451150103323	0.13662601021279466	0.1591644851508443	0.10541284062679379	0.13662601021279466	0.1033032629015637	0.07492218185112694	0.0749221818511269
P30531_WT	Test set	1:8		0.0	0.8888888888888888	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882353	0.625	0.375
Q9MYX0_WT		10:10	Number of points 20 < 30										
Q7JHP9_WT		32:3	Not enough data in minority class for all 5 folds										
Q9GJT6_WT		14:0	Number of points 14 < 30										
Q28039_WT		32:3	Not enough data in minority class for all 5 folds										
Q99884_WT		28:21	Not enough training data for temporal split at 2013										
Q63380_WT	Fold 1	11:23		0.6538819227245212	0.8529411764705882	0.7964426877470356	0.9565217391304348	0.6363636363636364	0.8461538461538461	0.875	0.8979591836734695	0.11067193675889331	0.8893280632411067
Q63380_WT	Fold 2	11:23		0.3814713902868446	0.7352941176470589	0.6857707509881423	0.8260869565217391	0.5454545454545454	0.7916666666666666	0.6	0.8085106382978724	0.17786561264822134	0.8221343873517786
Q63380_WT	Fold 3	10:23		0.46106142730828475	0.7575757575757576	0.741304347826087	0.782608695652174	0.7	0.8571428571428571	0.5833333333333334	0.8181818181818182	0.19565217391304346	0.8043478260869565
Q63380_WT	Fold 4	11:22		0.6527533657682196	0.8484848484848485	0.8181818181818181	0.9090909090909091	0.7272727272727273	0.8695652173913043	0.8	0.888888888888889	0.1322314049586777	0.8677685950413223
Q63380_WT	Fold 5	11:22		0.5128776445321725	0.7878787878787878	0.75	0.8636363636363636	0.6363636363636364	0.8260869565217391	0.7	0.8444444444444444	0.17355371900826447	0.8264462809917356
Q63380_WT	Mean	-		0.5324091501240086	0.7964349376114083	0.7583399209486167	0.867588932806324	0.649090909090909	0.8381231087752827	0.7116666666666667	0.8515969946972988	0.15799496945742003	0.84200503054258
Q63380_WT	SD	-		0.09788815839910607	0.0432504175107919	0.04214839452054725	0.05566437463577762	0.05740005087297734	0.024892836116349768	0.1029203215725281	0.033076439357740336	0.02874663132519864	0.02874663132519865
Q63380_WT	Test set	15:14		-0.26135321696851127	0.3793103448275862	0.3880952380952381	0.6428571428571429	0.13333333333333333	0.4090909090909091	0.2857142857142857	0.5000000000000001	0.6523809523809524	0.34761904761904766
Q9Y345_WT	Fold 1	1:21		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9Y345_WT	Fold 2	1:21		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.0	1.0
Q9Y345_WT	Fold 3	2:20		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.2375	0.7625
Q9Y345_WT	Fold 4	1:20		0.689202437604511	0.9523809523809523	0.975	0.95	1.0	1.0	0.5	0.9743589743589743	0.05	0.95
Q9Y345_WT	Fold 5	1:20		0.0	0.9523809523809523	0.5	1.0	0.0	0.9523809523809523	0.0	0.975609756097561	0.25	0.75
Q9Y345_WT	Mean	-		0.33784048752090223	0.9536796536796537	0.6950000000000001	0.99	0.4	0.9632034632034632	0.3	0.9758187737767999	0.1075	0.8925000000000001
