target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	8.0		0.5664769160551051	0.25083881365228516	0.500838111221865	0.004924459984895315	0.07017449668430345	0.4341047587394715	0.8921685348108566	0.7615407562255863	0.04151607306416483	0.006922468732478593	0.946165962219003	0.9700772721497397	0.9092412093166349
P30531_WT	Fold 2	8.0		0.3338224593785002	0.8879990064762546	0.9423369919918535	0.021019399030950164	0.14498068502717928	0.6524443330764771	0.36946632525814593	2.270079441070557	0.15240167904361357	0.026482909720118797	0.6094698263253178	0.8503146459584139	0.6910233190806424
P30531_WT	Fold 3	8.0		0.23217718160865908	0.5020022587334705	0.7085211773359146	0.010832232654211162	0.10407801234752305	0.5963585853576661	0.3828941750611117	1.1637606048583988	0.08405641596822155	0.014312604164758103	0.6219931555629761	0.7857142857142858	0.6428571428571428
P30531_WT	Fold 4	8.0		0.08823087343446134	0.370415097416234	0.6086173653587564	0.008112905209224213	0.09007166707252738	0.45000907230377185	0.5317939963701888	1.2171963882446288	0.06228352581083785	0.010578953903143673	0.7344881596012166	0.7619047619047621	0.5714285714285714
P30531_WT	Fold 5	7.0		0.25966537092382524	0.874273643402659	0.9350260121529556	0.01993296240356044	0.14118414359821163	0.7559263965061732	0.27650329638645466	1.9905801773071286	0.1486584475741878	0.025549961573498297	0.6654588594470119	0.6071428571428572	0.5238095238095238
P30531_WT	Mean	7.8		0.2960745602801102	0.5771057639361807	0.739067931612269	0.012964391856568258	0.11009780094594897	0.577768629196712	0.49056526557735153	1.4806314735412598	0.09778322829220512	0.016769379618799492	0.715515192631105	0.7950307645740117	0.667671953298503
P30531_WT	SD	0.3651483716701107		0.14326539482563233	0.23796885223751163	0.16042744050022303	0.0058618490555803135	0.026502611246102717	0.11152282974420667	0.19793329593371545	0.511561730589651	0.041202973415708916	0.0072199960372588004	0.11258876395336301	0.10815388877692515	0.12211739824619493
P30531_WT	Test set	18.0		0.020627274822071273	0.8098834395720742	0.8999352418769221	0.01740027480748493	0.1319101012336998	0.7221129858228896	0.09468282746953405	2.365917072296143	0.14364015796429028	0.025828187506777327	0.6038650195225947	0.6577182084551141	0.4327892114505486
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT	Fold 1	5.0		-0.16199825497753229	0.8255628550969586	0.908604894933413	0.012810809035100226	0.11318484454687486	0.5057971397399903	0.01977688325544502	2.002654037475586	0.11209331213696601	0.015290819659802769	0.1599516863226362	0.7999999999999999	0.6
Q7JHP9_WT	Fold 2	5.0		-4.0773329014355095	0.33558124078747775	0.5792937430936724	0.004521112065639836	0.06723921523664472	0.5352682571411134	-4.068907347728977	0.8240163803100584	0.044035622222685686	0.0057906908389922405	0.10225276133309744	0.7	0.6
Q7JHP9_WT	Fold 3	5.0		0.17830753232347074	0.23098103943374312	0.48060486830008614	0.003625173249056103	0.06020941163187117	0.4087117843627931	0.1789346331959889	0.7551785850524899	0.03317597729807851	0.004809065744994267	0.7927389600757717	0.7	0.6
Q7JHP9_WT	Fold 4	5.0		-1.0365539360137581	0.17613340371008565	0.41968250345956243	0.0022817403878766167	0.04776756627541973	0.33312248611450157	-0.11933480494286308	0.7579970550537105	0.022310767869148762	0.0028274468961469344	0.03009173104999968	0.35909242322980395	0.31622776601683794
Q7JHP9_WT	Fold 5	4.0		-1.599168728124471	0.05755128132226864	0.23989848128378938	0.0007062889285866442	0.026576096940420808	0.2243835735321047	-1.1152565339461655	0.33888275146484403	0.007192877773600781	0.0008990729562403654	-0.5279953093705338	-0.39999999999999997	-0.3333333333333334
Q7JHP9_WT	Mean	4.8		-1.33934925764556	0.3251619640701068	0.5256168982141046	0.004789024733251886	0.06299542692624625	0.4014566481781007	-1.0209574340333145	0.9357457618713377	0.04376171146009595	0.005923419219235316	0.11140796588219426	0.43181848464596084	0.3565788865367009
Q7JHP9_WT	SD	0.3651483716701107		1.375086852610036	0.24262613522210297	0.20184325680646822	0.0038455722872625785	0.026150221790516636	0.10397880660918847	1.451130780581823	0.5117325611046045	0.0331128450002174	0.004543065989289225	0.3834277664838026	0.4034458555187183	0.33049674720848715
Q7JHP9_WT	Test set	11.0		0.6342208508018993	0.4303698521585437	0.6560258014427052	0.006262908340736283	0.07913853890953688	0.4939615058898926	0.6523494405060993	1.5461212921142575	0.05879573635699939	0.008186563239157058	0.8468313699804404	0.6000000000000001	0.4909090909090909
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT	Fold 1	7.0		0.4880330071623813	0.2309096517369376	0.4805305939656055	0.003691983225838761	0.06076169209163584	0.454472487313407	0.6635281070181407	0.6601871109008792	0.033001333140378265	0.004741397607434575	0.8151790822017073	0.6306562238868914	0.5855400437691199
Q99884_WT	Fold 2	7.0		-0.7356371652740481	0.9138094254001224	0.9559337976032244	0.015513748102609795	0.12455419745078765	0.731861182621547	0.17704884151967004	1.6906074333190917	0.1321182234857667	0.019226564829738977	0.5328687339484933	0.42857142857142866	0.33333333333333337
Q99884_WT	Fold 3	7.0		0.19483592912257475	0.592180099018551	0.7695323898436965	0.011822856424775338	0.10873295923856455	0.5350731250217982	0.26420061031593167	1.7663794517517086	0.09354146573510772	0.014844806683911875	0.5381334731952009	0.5714285714285715	0.33333333333333337
Q99884_WT	Fold 4	7.0		0.22590734573812843	0.4237351593810943	0.6509494292040622	0.007657179782099936	0.08750531287927571	0.5967861557006834	0.27781027310389494	0.9156754875183104	0.06485621268341875	0.009959168708978172	0.5271656125988454	0.642857142857143	0.5238095238095238
Q99884_WT	Fold 5	6.0		-0.6814338699285445	0.5829904879013359	0.7635381378171858	0.010831319779063556	0.10407362672196811	0.6317849032084148	-0.2127215723755822	1.1789358329772952	0.09392443369199437	0.015231272643025854	0.47758509829455165	0.3768511731740915	0.2760262237369417
Q99884_WT	Mean	6.8		-0.10165895063590162	0.5487249646876082	0.7240968696867549	0.009903417462877477	0.09712555767644637	0.5899955707731701	0.233973251916411	1.242357063293457	0.08348833374733315	0.012800642094617893	0.5781864000477597	0.5300729079836252	0.41040849159645043
Q99884_WT	SD	0.3651483716701107		0.4620629161726295	0.2053363755771941	0.1426203818926633	0.003643454348178293	0.019791486151810474	0.0849522349832636	0.25499326975175385	0.3926815537022618	0.03019640427384748	0.004553468447865082	0.1099599941425747	0.09859600086039694	0.11065758644804011
Q99884_WT	Test set	15.0		0.07256553134455213	0.411378603620171	0.6413880289030743	0.00824832180385309	0.09082027198733271	0.4584587860107422	0.4302575935427878	1.4249654769897457	0.06564276335420503	0.010516984942254304	0.6590426677211404	0.7035714285714285	0.5238095238095238
P31651_WT	Fold 1	12.0		-0.2774915985534441	0.06611196451902762	0.2571224698835705	0.0020566139312068244	0.04534990552588643	0.18362877209981296	0.07249687369271163	0.6464114952087403	0.013916407520069285	0.0029340147754889356	0.504149357952828	0.35664335664335667	0.2424242424242424
P31651_WT	Fold 2	12.0		-4.02135169011203	0.5131080429215226	0.7163156028745448	0.01310232873107525	0.1144654040794652	0.3459978961944579	-3.62085369858051	2.3976622200012203	0.09095529676150586	0.016342017459412512	-0.153748217537372	0.39860139860139865	0.3333333333333333
P31651_WT	Fold 3	12.0		-0.07181420941034244	0.29645190127612947	0.5444739674916785	0.008859139073356488	0.09412299970441065	0.4298566214243571	0.0336586078488742	1.0708313941955563	0.06139788677215933	0.012775670955624338	0.2548207886473698	0.3802911202101593	0.2636371929462334
P31651_WT	Fold 4	11.0		-0.19589623249718113	0.13001497219951147	0.3605758896536365	0.003915939835353199	0.06257747066918892	0.22115238640525126	-0.1828569895970782	1.094378807067871	0.028173169904497284	0.006125382276482808	0.3299939670995047	0.2779050490227052	0.2568915451961508
P31651_WT	Fold 5	11.0		-0.4055543941101163	0.6008934842744713	0.7751731963080711	0.015766251643303517	0.1255637353828864	0.4701461422660134	-0.3263154004324509	2.2475335311889646	0.1216147482639197	0.02484945018900692	-0.012678528185376597	0.20000000000000004	0.1272727272727273
P31651_WT	Mean	11.6		-0.9944216249366227	0.3213160730381325	0.5307322252423003	0.008740054642859055	0.08841590307236752	0.3301563636779785	-0.8047741214136905	1.4913634895324706	0.06321150184443029	0.012605307131203104	0.18450747359539077	0.322688184895524	0.24471180823453742
P31651_WT	SD	0.447213595499958		1.3851537906966929	0.19030290057776916	0.18174931941066683	0.004767101216209767	0.027729087116190935	0.10258365351528395	1.2921933351102246	0.6379078401017495	0.03615161955327243	0.007064398878438524	0.21663350317347904	0.06744354161321688	0.060769320088713795
P31651_WT	Test set	26.0		-1.5050077107178432	0.28511842126816744	0.5339648127621964	0.007569038180543745	0.08700021942813561	0.2702017663808969	-1.4106574499965854	2.4518517112731937	0.052118203606540764	0.009690673885538322	0.17371134594911813	0.5535989138868586	0.4375968214665697
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	34.0		0.5640944575179334	0.20194155040162698	0.4493790720556833	0.005310257251327629	0.0728715119324941	0.3074638928245095	0.5868800221112147	1.22622932434082	0.038137456088368875	0.00733196830322038	0.8150471774791828	0.800672322605676	0.6280109546048074
P31648_WT	Fold 2	34.0		0.6700028696541056	0.2934516817868794	0.5417118069480112	0.006554449072285127	0.08095955207562062	0.3502642885095933	0.6773449027164526	2.0957074356079097	0.052453152031055425	0.009508036406896628	0.8247488357720952	0.7948659202661693	0.6030332461830253
P31648_WT	Fold 3	34.0		0.5340106512078102	0.3843030819817723	0.6199218353806972	0.008845292921562657	0.09404941744403661	0.41980239138883707	0.5388222172192829	2.3932948989868166	0.07047809123966463	0.013133655430429651	0.7361659637611326	0.761650114591291	0.5614973262032087
P31648_WT	Fold 4	33.0		0.43617000162270425	0.32675605827994414	0.571625802671594	0.008784873717047219	0.09372765716183894	0.43929634799379297	0.47925847630463503	1.5769959259033204	0.0627844410045357	0.012209574118711462	0.7280772163808567	0.6071697188408542	0.46445518494880583
P31648_WT	Fold 5	33.0		0.48635948900348247	0.41902475741200945	0.647321216562542	0.00918690897707981	0.09584836449872168	0.4981818663857201	0.5147935168389026	1.6194296836853024	0.0727776241153599	0.012883341486699017	0.7200945427257377	0.7623266026588205	0.5844412798839984
P31648_WT	Mean	33.6		0.5381274938012072	0.32509542597244645	0.5659919467237056	0.007736356387860488	0.08749130062254239	0.4030017574204906	0.5594198270380975	1.782331453704834	0.0593261528957969	0.011013315149191428	0.7648267472238011	0.7453369357925622	0.568287598364769
P31648_WT	SD	0.4472135954999579		0.07206201367111356	0.06891930927862566	0.06290563181170994	0.0013973840776233266	0.00824766144817236	0.061329079491900154	0.06258593695985214	0.37626012310651086	0.011643786445446993	0.0020510995273152143	0.041403878554535437	0.06475604702737525	0.05141718036694394
