target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	10.0		0.5710872016428905	0.3435882360609014	0.5861640009936651	0.007029672592790153	0.0838431427893191	0.4951919013977052	0.6388165157954024	1.0074714660644535	0.056245116986511336	0.00930180743544815	0.8000300263901349	0.7696969696969697	0.6
P30531_WT	Fold 2	10.0		0.039243601453961996	0.33344645667161843	0.577448228563928	0.0066730936309940675	0.08168900556986887	0.4413205127716064	0.20234197285749722	1.3782595252990726	0.05630674545016401	0.009571365457465886	0.7365171211792025	0.8666666666666665	0.7333333333333333
P30531_WT	Fold 3	10.0		0.6129015503305265	0.335477926885832	0.5792045639373294	0.0074270997802077954	0.08618062299732925	0.428296488571167	0.7008319363547642	1.4269356155395512	0.05666134568583079	0.009710041881107977	0.8466372899176993	0.7939393939393938	0.6888888888888888
P30531_WT	Fold 4	9.0		-0.022616198762971162	0.9788905188419142	0.9893889623610698	0.02260171386246894	0.15033866389744502	0.6872731886969672	0.37862091848773183	2.3739464950561526	0.16488211332635297	0.02813802814411126	0.6205358819044599	0.7999999999999999	0.611111111111111
P30531_WT	Fold 5	9.0		0.7980479222399456	0.1413139020135809	0.3759174138206169	0.0027665828088008658	0.05259831564604389	0.2736829787360296	0.8050459598100437	0.8389948654174804	0.022954112725628504	0.0037776326561581954	0.9042749482890284	0.9	0.7777777777777778
P30531_WT	Mean	9.6		0.3997328153808707	0.42654340809476937	0.6216246339353219	0.009299632535052362	0.09092995018000123	0.465153014034695	0.5451314606610879	1.405121593475342	0.07140988683489753	0.012099775114858293	0.781599053536105	0.8260606060606059	0.6822222222222222
P30531_WT	SD	0.447213595499958		0.30049662302854085	0.26149720415627964	0.1828620212517864	0.006260776177105255	0.02931689921238344	0.12167365693319221	0.20240449112199488	0.486217408203331	0.04427304251284661	0.007598419997959561	0.08906250051366697	0.0447282034339673	0.06272285371856756
P30531_WT	Test set	9.0		-0.7612487204625815	0.9225788703071274	0.9605096929792678	0.022537929887862587	0.15012637972009646	0.7063508610195581	-0.013691249781288661	1.8896466255187985	0.16244302275208808	0.02879407809732721	0.28054226361037404	0.31799441532717476	0.19720265943665388
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT		35.0	No test data for temporal split at 2013													
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT		49.0	Not enough training data for temporal split at 2013													
P31651_WT	Fold 1	3.0		-22.412979329644184	0.07232009170712293	0.26892395153114	0.0023493979871354997	0.048470588887855486	0.22101819356282557	-16.48476370819095	0.4369399452209475	0.016125748273887908	0.0035993427116149945	0.1318865464926273	-0.5	-0.33333333333333337
P31651_WT	Fold 2	3.0		-3.5928317093537148	0.09502058492018474	0.308254091489772	0.002704890681921382	0.05200856354410668	0.2583957481384278	-0.36557465294039737	0.48518295288085955	0.019568521247722497	0.004032060089136813	-0.36395020687088686	-0.5	-0.33333333333333337
P31651_WT	Fold 3	2.0		-1.6516820497640543	0.04143253202756335	0.20354982689150916	0.0012239307593203113	0.03498472179852673	0.19484972953796387	-1.4298506944651308	0.25372344970703153	0.008549250446857393	0.0017642947011269339	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 4	2.0		-0.21520917183552668	0.0014886312354985324	0.038582784185417884	4.468419619221957e-05	0.0066846238631818	0.03840002059936509	-0.2037237404340011	0.04215097427368164	0.0003120809145702452	6.543584852813922e-05	1.0	0.9999999999999999	1.0
P31651_WT	Fold 5	2.0		-11.690436950005678	0.15355428709506835	0.39186003508276823	0.004893885760559128	0.06995631322875104	0.38962823867797836	0.855857626465727	0.43139093399047823	0.03288792563953713	0.0070489328239919935	1.0	0.9999999999999999	1.0
P31651_WT	Mean	2.4		-7.912627842120631	0.07276322539708759	0.24223413783612147	0.002243357877025708	0.042420962264484344	0.22045838610331217	-3.5256110339129507	0.32987765121459967	0.015488705304515035	0.003302013234879775	0.1535872679243481	-2.2204460492503132e-17	0.06666666666666665
P31651_WT	SD	0.4472135954999579		7.5458859646222125	0.04669843357581511	0.10834300417300638	0.001478904588957546	0.019231481083129106	0.10316576271851706	5.951888806325499	0.14970700336223633	0.009985569185386638	0.002140902889799414	0.7108572957920581	0.7637626158259733	0.7302967433402214
P31651_WT	Test set	72.0		-0.21504342064643533	0.23397236027079785	0.4837068950002655	0.006969135917629551	0.08348135071756776	0.4025531758732266	0.023974520101039842	1.7627665710449216	0.04838689620584185	0.010058742396798178	0.1937626828468217	0.014047505410209942	0.04261353523543963
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	9.0		-0.31466157647552584	1.429888450036419	1.1957794320176356	0.033846011124625236	0.1839728543145027	0.870275143093533	-0.3037077126305572	2.7729707641601564	0.27089372632029396	0.05203766507401096	0.2711174342619094	0.41666666666666663	0.3888888888888889
P31648_WT	Fold 2	8.0		0.29484560095184287	0.17765967332865112	0.4214969434392747	0.005479122391335964	0.0740210942322252	0.26000627231597917	0.2969699096123348	1.1152139854431153	0.03657087494893485	0.007553812352345701	0.6176482616758218	0.4047619047619048	0.42857142857142855
P31648_WT	Fold 3	8.0		-1.3130594775432454	0.8749049168779531	0.9353635212461267	0.02066458327586918	0.14375181138291504	0.6431806864738464	-0.7131899700346929	1.8276551055908206	0.1510328560848606	0.026369675450025554	0.40381657416489325	0.5714285714285715	0.42857142857142855
P31648_WT	Fold 4	8.0		0.612478178204469	0.1457122194789922	0.38172269971668205	0.003906088454880623	0.06249870762568313	0.28653886222839353	0.7118553870534663	0.7423108100891112	0.02794284913545475	0.00538841736047313	0.8935915004377526	1.0	0.9999999999999998
P31648_WT	Fold 5	8.0		-0.13979002508000637	0.9677882304233938	0.9837622834930163	0.022500562448031437	0.15000187481505503	0.5838102011680603	0.23705268524543277	2.627956447601318	0.16184304296212315	0.027447147079774414	0.6201509960330788	0.6428571428571429	0.6428571428571428
P31648_WT	Mean	8.2		-0.17203745998849315	0.7191906980290819	0.7836249759825471	0.017279273538948488	0.12284926847407622	0.5287622330559624	0.04579605984919677	1.8172214225769043	0.12965666989033348	0.023759343463325953	0.5612649533146912	0.6071428571428571	0.5777777777777777
P31648_WT	SD	0.3651483716701108		0.5995494640935155	0.4496799531974124	0.2959766249855925	0.010257230137151336	0.04269397668614812	0.2096246076547639	0.4548837044518602	0.7324734594861242	0.08210915154959593	0.015384989254557186	0.19410613605314722	0.19753775340720067	0.2092490582734913
P31648_WT	Test set	200.0		-0.05553888993888889	0.7730714717693542	0.8792448303910317	0.01888591509371906	0.13742603499235165	0.6794172563362122	0.019501743707133534	3.0290236282348637	0.13980793801077568	0.025612878802436255	0.42919762997726774	0.39431046607475856	0.26551794474101104
Q63380_WT	Fold 1	34.0		0.21794618076961014	1.080828838360837	1.039629183103686	0.018068153210979397	0.13441783070329397	0.7229223184024586	0.27628413481705605	3.3875223159790036	0.16549060587822606	0.025795749309545563	0.5434560471798646	0.625257851927944	0.49241768031513306
Q63380_WT	Fold 2	34.0		0.2668090919195596	0.9288354811978784	0.9637611121008558	0.014630901150195892	0.1209582620170937	0.677567766974954	0.2669138447554654	3.1573358726501457	0.13410431600818729	0.019641320850796656	0.5273742628238507	0.6204156551655557	0.43750069754631116
Q63380_WT	Fold 3	33.0		0.6915849386706954	0.33190117638138317	0.5761086498060788	0.006033741431273121	0.07767716158095068	0.42790213694716944	0.6917797327718705	1.5526362228393555	0.05170034537616659	0.008202066957828396	0.8326777889839774	0.8533467064138182	0.6729860843135759
Q63380_WT	Fold 4	33.0		0.3113059980003534	0.5878878776906036	0.76673846759544	0.011769088209119417	0.10848542855664726	0.5187162497549346	0.33030558013932243	2.5016357421875	0.09366081474825094	0.015086143431610447	0.623388795677433	0.556075555151479	0.40986791056799887
Q63380_WT	Fold 5	33.0		0.5692165968362162	0.646336845123654	0.803950772823594	0.013714132502776586	0.11710735460583416	0.5895814304929791	0.5900802641085021	2.1288074951171874	0.10583575423420408	0.01794599951146755	0.772642759607322	0.8281798544561402	0.6223920123439983
Q63380_WT	Mean	33.4		0.41137256123928695	0.7151580437508712	0.8300376370859308	0.012843203300868883	0.11172920749276397	0.5873379805144991	0.4310727113184433	2.5455875297546386	0.11015836724900699	0.017334256012249725	0.6599079308544896	0.6966551246229874	0.5270328770174035
Q63380_WT	SD	0.4472135954999579		0.16919387027957708	0.24055250855754684	0.14774856110883042	0.0036234646638769745	0.017315395218989907	0.09717534860539973	0.16037103047414697	0.6116480297929489	0.03498394783510137	0.005255862349148783	0.11181713278020643	0.10994214309204647	0.09428463623247972
Q63380_WT	Test set	29.0		-0.36907106616052854	1.1857638652961835	1.0889278512813343	0.020425584756801732	0.1429181050700076	0.8409662884679335	-0.2600866079437474	2.6411180114746102	0.1833503374244252	0.028540134249062207	-0.067059921564709	-0.18502094111850212	-0.11358024691358025
Q9Y345_WT	Fold 1	22.0		0.6343211121906114	0.19222850320892412	0.43843871089232545	0.004367907568355341	0.06609014728653084	0.35503094655817197	0.6386991125064011	1.0905150871276854	0.03361214850350387	0.006021339393896334	0.8039290909614538	0.8238283455674761	0.6363636363636364
Q9Y345_WT	Fold 2	22.0		0.6140106781785108	0.14802920889199309	0.38474564181026544	0.0038573518345860537	0.062107582746280296	0.31726595497131344	0.6202480484454034	0.902487922668457	0.028556174815217276	0.005553179404016673	0.8226950161351233	0.6308952524948703	0.4685477401016635
Q9Y345_WT	Fold 3	22.0		0.49384648474251425	0.2560862261667154	0.5060496281657713	0.005413376391710616	0.07357565080725155	0.3396119495738637	0.5471313015954744	1.3426266632080077	0.04420208780516328	0.0077488936716721265	0.7397281768168178	0.7929378531073448	0.6130434782608695
Q9Y345_WT	Fold 4	21.0		0.7286238206015682	0.201894192850412	0.449326376757933	0.004677382158151237	0.0683913895030013	0.36743644896007716	0.7352534876145109	1.0700922813415525	0.035775573332363496	0.006452134961061636	0.8646380666543405	0.8450796158599574	0.6634863764939859
Q9Y345_WT	Fold 5	21.0		0.5606099155917486	0.15906416041959512	0.3988284849651478	0.004360229419969703	0.0660320332866534	0.2928082302638463	0.7242750832377427	0.8944186782836914	0.0308155352069251	0.005996068873921091	0.8523332063469707	0.730994306361308	0.5933082268219884
Q9Y345_WT	Mean	21.6		0.6062824022609907	0.19146045830752795	0.4354777685182885	0.00453524947455459	0.06723936072594347	0.3344307060654545	0.6531214066799065	1.0600281265258789	0.034592303932634606	0.006354323260913572	0.8166647113829413	0.7647470746781913	0.5949498916084287
Q9Y345_WT	SD	0.4472135954999579		0.07134555549288811	0.03469326573344745	0.03893981931412227	0.00046717040533630726	0.0034299955929320003	0.024384603847019404	0.0636803044289672	0.14896200863099865	0.004922865255518241	0.0006874408702070177	0.040190121719488055	0.07046771530507592	0.06153579562861135
