target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	8.0		0.17456620439669057	0.4776004824323385	0.6910864507659938	0.009207688651333947	0.09595670196153026	0.6369709410667421	0.7574894288052666	0.8990163230896	0.0784598381638002	0.013021222956933587	0.8740926107056322	0.8571428571428572	0.7857142857142856
P30531_WT	Fold 2	8.0		0.28833214421548237	0.9486365275661511	0.9739797367328291	0.02202922181256212	0.14842244376293673	0.6399231429100036	0.30418692604157993	2.434851474761963	0.1600732632459969	0.027394314729470126	0.583331252922292	0.5714285714285715	0.3571428571428571
P30531_WT	Fold 3	8.0		0.05175829455436731	0.6199600566134387	0.7873754229168184	0.01377865271815166	0.11738250601410613	0.6685975766181946	0.05305612449622066	1.2157477760314945	0.1083487227562252	0.01915065247382164	0.5588553909071545	0.4761904761904762	0.3571428571428571
P30531_WT	Fold 4	8.0		-0.16148747316546297	0.4718656104763326	0.686924748772624	0.010482555993022674	0.1023843542394182	0.5122481112480163	0.1680643808659713	1.3334583473205566	0.07987008536168716	0.013614355827797686	0.5220997818757845	0.4285714285714286	0.2857142857142857
P30531_WT	Fold 5	7.0		0.4526067472301746	0.6464259196821477	0.804006168932893	0.015559791208967626	0.12473889212658426	0.5533082498822893	0.5031533414524596	1.8513542175292965	0.11319908102747865	0.02000353029903401	0.724448245857668	0.8214285714285715	0.6190476190476191
P30531_WT	Mean	7.8		0.16115518344625038	0.6328977193540817	0.7886745056242317	0.014211582076807606	0.11777697962091511	0.6022096043450492	0.3571900403322996	1.5468856277465821	0.10799019811103763	0.01863681525741141	0.6525654564537062	0.6309523809523812	0.4809523809523809
P30531_WT	SD	0.3651483716701107		0.19033471045775024	0.15816129015324207	0.09526385958858102	0.004124422619767942	0.016836595760974297	0.054040782582615535	0.2282616078248091	0.4926328220922205	0.02708840334491372	0.004753695252123622	0.11891009142057103	0.16119123818722145	0.17355384543073196
P30531_WT	Test set	18.0		0.6241699912897389	0.31078923511308787	0.5574847398028827	0.006794238571748285	0.08242717131958542	0.44308452139960386	0.6249043159860393	1.4038935279846187	0.052780283281135806	0.009063297311567778	0.7906323937885977	0.6938565715570435	0.4590188606293697
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT	Fold 1	5.0		0.5113643023160513	0.3471601441346871	0.5892029736302143	0.005654083628582581	0.07519364087861806	0.41470083389282236	0.5204097538412695	1.1818317985534668	0.049535798414004975	0.007103313884293883	0.8186780535888044	0.7	0.6
Q7JHP9_WT	Fold 2	5.0		-3.2424241550084796	0.2803987821011298	0.5295269418085635	0.003803090670557578	0.0616692035829682	0.40313063812255834	-1.567714461258329	0.8797784996032707	0.037608114810123536	0.005048282699174589	-0.16422746157409773	-0.49999999999999994	-0.19999999999999998
Q7JHP9_WT	Fold 3	5.0		0.36876030786265424	0.1774440024185765	0.4212410265140096	0.0025211020403037515	0.05021057697640759	0.31347905349731475	0.5258899986142715	0.7734996795654299	0.023670611291288068	0.0031613306409933985	0.7877847779483794	0.7	0.6
Q7JHP9_WT	Fold 4	5.0		0.3499406515576181	0.05622103280938776	0.23710974844866198	0.0007371942277421177	0.027151320920760332	0.19915560150146466	0.40496839313314126	0.3942468261718748	0.007228416383319924	0.000929835652864952	0.6386874306022314	0.7	0.6
Q7JHP9_WT	Fold 5	4.0		-1.630681130018909	0.05824903483359063	0.24134836820163222	0.0007153704750872573	0.026746410508463696	0.184786472320557	-0.08855525141382836	0.3923881721496585	0.007312302318991382	0.0009180858856989715	0.07555637266045617	0.39999999999999997	0.3333333333333334
Q7JHP9_WT	Mean	4.8		-0.7286080046582131	0.18389459925947435	0.40368581172061635	0.002686168208454657	0.04819423057344357	0.3030505198669434	-0.04100031341669499	0.7243489952087401	0.02507104864354558	0.003432169752605159	0.43129583464515464	0.39999999999999997	0.3866666666666667
Q7JHP9_WT	SD	0.3651483716701107		1.356344554336692	0.10653454297309953	0.1320743624974881	0.0017207473110343533	0.01740412661526986	0.08885485918999073	0.7266993346704228	0.275387625603777	0.015228240384055416	0.0021887883921110755	0.3654584302575295	0.42426406871192845	0.2838883452919344
Q7JHP9_WT	Test set	11.0		0.5968625144890631	0.4743250686083936	0.6887126168500135	0.0074365375574191655	0.0862353614094541	0.5050858723033559	0.5971460617777324	1.4440094757080075	0.06686217105364456	0.009607031304264354	0.8577133915812706	0.8272727272727273	0.6727272727272727
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT	Fold 1	7.0		0.3448900303827578	0.2954706398068363	0.5435721109538607	0.005006863164552069	0.07075919137859102	0.4961415672302247	0.40434064922244606	0.762986297607422	0.04448725900170431	0.006746367674602016	0.6358981127005379	0.30631873731649006	0.09759000729485331
Q99884_WT	Fold 2	7.0		0.018906578633085758	0.5165436841182082	0.7187097356500802	0.010091291631608637	0.10045542111607833	0.574699786049979	0.1517994945776704	1.310979633331299	0.08168104995752655	0.012966008985389734	0.431043854637683	-0.07142857142857144	-0.14285714285714288
Q99884_WT	Fold 3	7.0		0.06821218884946334	0.6853090174156632	0.8278339310608518	0.013119545175024398	0.11454058309186485	0.6523091942923409	0.12547916019361693	1.4158442878723143	0.10653326831844241	0.016654625458595782	0.367389198629782	0.21428571428571433	0.14285714285714288
Q99884_WT	Fold 4	7.0		-0.2561768233346957	0.6876260658410721	0.8292322146667194	0.012172965889679102	0.11033116463483517	0.7420607321602957	-0.10277981573804396	1.1817914390563962	0.10690142172493518	0.01667196595758361	0.2144777080300534	0.42857142857142866	0.33333333333333337
Q99884_WT	Fold 5	6.0		-0.21335094011369882	0.42069573429164414	0.6486106183926101	0.0072988947703764885	0.08543356934119332	0.4968916002909342	-0.20807883099834878	1.2428855514526367	0.0644255608986759	0.009888606999022054	0.07734365316865363	0.05797710356524484	0.13801311186847084
Q99884_WT	Mean	6.8		-0.00750379311661753	0.5211290282946848	0.7135917221448245	0.009537912126248138	0.09630398591251253	0.592420576004755	0.07415213145146812	1.1828974418640137	0.08080571198025686	0.012585515015038639	0.345230505433342	0.1871448824620613	0.11378729049933152
Q99884_WT	SD	0.3651483716701107		0.1978312194718154	0.1388679904081201	0.09964889354239562	0.0027574576431437874	0.014817062900890228	0.08630206840202799	0.1952123904235962	0.20436668288535706	0.02210203163737899	0.0035301197165570424	0.17378255385459215	0.16164279330327455	0.1389011211961322
Q99884_WT	Test set	15.0		0.23167386822729874	0.3408035197050304	0.5837837953429595	0.00678064376215566	0.08234466444254697	0.4944476292928059	0.30014070299274964	1.1011706352233883	0.055068734619423056	0.008946512648557548	0.5928507391048248	0.7107142857142856	0.5047619047619049
P31651_WT	Fold 1	12.0		-0.5719852256402405	0.08135241873969584	0.2852234540490944	0.0025533528746683955	0.05053071219237262	0.26051261107126883	-0.12431968012842409	0.48576780319213864	0.017438735038427893	0.0037417668922507716	0.29495213730838493	0.2867132867132868	0.303030303030303
P31651_WT	Fold 2	12.0		-0.02395036736682954	0.10463261716620491	0.32346965416589685	0.0032881354584754856	0.0573422658993825	0.23246116161346442	0.06426288913648937	0.8935270881652828	0.022050504568998857	0.0046580142436382825	0.41435871574046074	0.37762237762237766	0.2727272727272727
P31651_WT	Fold 3	12.0		-0.013177318313724928	0.28023358871981724	0.5293709367917899	0.008279780312874914	0.09099329817560695	0.39819403807322185	0.018539469986750934	1.2849579811096188	0.05857702145520719	0.01230048947839931	0.21266036087476636	0.34965034965034975	0.303030303030303
P31651_WT	Fold 4	11.0		0.21658845255719295	0.08517062584005833	0.2918400689419777	0.0025642868147798953	0.05063878765116613	0.1964247190302069	0.21717694765661621	0.8448564529418947	0.018267416877727302	0.003925844591290296	0.5856791798562272	0.5649217389969745	0.5137830903923016
P31651_WT	Fold 5	11.0		0.27653539517607784	0.3092908883239151	0.5561392706183543	0.0073603971634540605	0.08579275705707365	0.2965879461115058	0.29389138554580496	1.7096688461303708	0.05852716571708411	0.011170553940495558	0.5994902519585181	0.7090909090909092	0.5272727272727272
P31651_WT	Mean	11.6		-0.023197812717504828	0.1721360277579383	0.39720867691342265	0.00480919052485055	0.06705956419512038	0.2768360951799335	0.09391020243944748	1.0437556343078611	0.034972168731489076	0.007159333829214844	0.42142812914767147	0.4575997324147796	0.3839687392905815
P31651_WT	SD	0.447213595499958		0.27343678433280544	0.09206690837049916	0.10939719200626419	0.0022728709259439268	0.016129821625669026	0.06300723000217368	0.13501305876048905	0.3819028885898959	0.017632670394246056	0.00343785747910616	0.1404247493773043	0.14260519443909545	0.10235927212130623
P31651_WT	Test set	26.0		0.3464028091276694	0.07439202618399374	0.2727490168341469	0.0023483455520388694	0.04845973124191744	0.21717998167184682	0.35446096857513243	0.5787495231628421	0.016128500879394443	0.0035046926869752347	0.602013453834146	0.5717216701783987	0.412943479412115
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	34.0		0.4842111468462872	0.23894901655218817	0.4888241161728707	0.0064116226959376	0.0800726088992834	0.38198532586939205	0.523334415243869	1.2060772323608395	0.045983057695623	0.008944861223730224	0.7271200288745523	0.7015050826493624	0.49955416843564227
P31648_WT	Fold 2	34.0		0.5381998885417021	0.41065817516280084	0.6408261661034144	0.009153420598787761	0.09567351043412048	0.44112000846862787	0.5535502897923281	2.222193737030029	0.07390877052407564	0.01344034403608071	0.7533791978927284	0.7756131125088572	0.5637825615202249
P31648_WT	Fold 3	34.0		0.42938561547520027	0.4705877230121103	0.6859939671834661	0.012254344924859648	0.11069934473545744	0.47956222982967595	0.43338319923006374	2.052462959289551	0.09004218113332015	0.01749238511305858	0.6595459506830679	0.5003819709702062	0.41176470588235303
P31648_WT	Fold 4	33.0		0.37860107432469936	0.360118943932426	0.6000991117577379	0.010307549481419173	0.1015261024634511	0.44837016828132403	0.38890048752718775	1.7300545921325687	0.0735900506832019	0.015340265622129434	0.6870421962792348	0.5077295914777085	0.3620854707151915
P31648_WT	Fold 5	33.0		0.4083338728892647	0.48267757327100697	0.6947500077517142	0.01036121225653689	0.1017900400655039	0.541014802759344	0.4362481520363941	2.001356697082519	0.08363044073097292	0.014707300361573295	0.660663399885878	0.682934991989463	0.4895644487339986
P31648_WT	Mean	33.6		0.4477463196154307	0.39259828638610644	0.6220986737938407	0.009697629991508215	0.09795232131956327	0.45841050704167274	0.4670833087659686	1.8424290435791015	0.07343090015343871	0.013985031271314449	0.6975501547230921	0.6336329499191196	0.46535027105748206
P31648_WT	SD	0.4472135954999579		0.0519343385379707	0.08081439180851384	0.06826130217804656	0.0017532418670719928	0.00926340198564787	0.04745426413656271	0.05603538108184489	0.3243365310309944	0.013745320587728907	0.0025935773893845707	0.03392793567834791	0.10066707785263938	0.0645241306114988
