target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	10.0		0.341120273839257	0.5278073392889862	0.7265035025992553	0.010303103122691785	0.10150420248783686	0.6072835510253907	0.40331743547886245	1.1698378944396977	0.08373613310584531	0.01341258801902443	0.6470090425888531	0.6484848484848483	0.5111111111111111
P30531_WT	Fold 2	10.0		0.07110588713318788	0.3223881215127008	0.5677923225200397	0.007233727971595808	0.08505132551345575	0.359348106765747	0.17584235364151923	1.449121551513672	0.05844235883967652	0.010784747439160868	0.7969644928815243	0.6969696969696969	0.5111111111111111
P30531_WT	Fold 3	10.0		0.438854461733321	0.486315411543704	0.6973631848210113	0.010180385012187137	0.10089789399282394	0.5812300308227539	0.45458785528096934	1.3951644325256352	0.08033489134815959	0.01343215461987679	0.7257411988917439	0.5757575757575757	0.4222222222222222
P30531_WT	Fold 4	9.0		-0.33589209791598096	1.2787711659835477	1.1308276464534937	0.029155120358357142	0.17074870529042716	0.8335951381259494	-0.15078156620231353	2.7345579338073733	0.21408251133854705	0.03630935099422188	0.2746561641370587	0.5666666666666667	0.3888888888888889
P30531_WT	Fold 5	9.0		0.5774424647741573	0.2956803157972566	0.5437649453553038	0.005473901249530761	0.07398581789458546	0.4046434966193304	0.6740924639707846	1.237234477996826	0.047369748136761994	0.007654579169086813	0.821074815119502	0.7999999999999999	0.611111111111111
P30531_WT	Mean	9.6		0.21852619791278843	0.5821924708252391	0.7332503203498207	0.012469247542872527	0.10643758903582583	0.5572200646718344	0.3114117084339644	1.5971832580566407	0.0967931285537981	0.016318684048274155	0.6530891427237364	0.6575757575757575	0.4888888888888888
P30531_WT	SD	0.447213595499958		0.2948183431335775	0.3283695952423205	0.1926491598132995	0.007796312802568661	0.03082595204143711	0.15378498691976694	0.2557619580795819	0.5273427430561446	0.05494180267274476	0.009328231155720023	0.1814047549350889	0.07839841580578688	0.07114582486036497
P30531_WT	Test set	9.0		-0.19325229563807267	0.6250504781698423	0.7906013395952743	0.015689676760253065	0.12525843987633353	0.6569779188368055	0.0567870586394138	1.2234483718872067	0.1143120618576378	0.021001233355011265	0.2475368175552034	0.38333333333333336	0.2222222222222222
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT		35.0	No test data for temporal split at 2013													
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT		49.0	Not enough training data for temporal split at 2013													
P31651_WT	Fold 1	3.0		-7.1954788497309075	0.025314923558057617	0.1591066420928354	0.0007795679442980903	0.027920743978234002	0.15306235631306966	0.3891529589375292	0.19470056533813462	0.005421075029906556	0.0011610754308207423	0.6264303770481471	0.5	0.33333333333333337
P31651_WT	Fold 2	3.0		-4.978978048749858	0.12369841251969164	0.35170785109191355	0.0035586789932174796	0.05965466447158579	0.2608829307556153	-1.689294203224875	0.5909707069396974	0.025755710671881833	0.005366826802468398	-0.9570055431164225	-1.0	-1.0
P31651_WT	Fold 3	2.0		-0.32179241505844036	0.02065300648528813	0.14371153915148266	0.0006160979359838112	0.024821320190187533	0.13226962089538574	-0.11969616715578013	0.18846351623535185	0.004288895236852497	0.0008907439136602857	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 4	2.0		-6.105461595789768	0.008704190454842536	0.09329625102244214	0.00026288882889530463	0.01621384682594802	0.08502331733703627	-0.20426609293726616	0.12343198776245146	0.0018381886429761352	0.0003882102761907369	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 5	2.0		-29.84474050364434	0.3732213600940956	0.6109184561740589	0.01144398185193804	0.10697654813994532	0.5592091751098631	-4.000533765871257	0.8051897811889646	0.07718196400269939	0.015984678085895432	-1.0	-0.9999999999999999	-1.0
P31651_WT	Mean	2.4		-9.689290282594662	0.1103183786223951	0.27174814790654656	0.003332243110866545	0.047117424721180134	0.238089480082194	-1.1249274540503298	0.38055131149292	0.02289716671686328	0.004758306901807119	-0.6661150332136551	-0.7	-0.7333333333333333
P31651_WT	SD	0.4472135954999579		9.444947103882784	0.12575632028127096	0.17433522003063714	0.0038549991231630093	0.03044381982316592	0.1557209600966624	1.4570614415751266	0.2456768607659267	0.025981315708114336	0.005375834333273162	0.5901593625846748	0.5477225575051661	0.48686449556014766
P31651_WT	Test set	72.0		-0.4163064905598086	0.2727281731930434	0.5222338299967203	0.008101155067893525	0.09000641681510005	0.4195200292799208	-0.32643696946299583	1.714589805603027	0.056367820125795456	0.011705897600527057	-0.23974038124804758	-0.24121484539540486	-0.16614081276987835
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	9.0		0.019397385808722745	1.0665500362965306	1.0327390940099686	0.02449292869108601	0.1565021683271066	0.9646981510586211	0.024327707135944676	1.656352977752686	0.18683550997779286	0.03310679264300766	0.27519724155826997	0.19999999999999998	0.16666666666666666
P31648_WT	Fold 2	8.0		-1.0853282589500655	0.5253866922877586	0.724835631221147	0.015185070168071906	0.12322771672019207	0.6125776429176332	-0.9588162651905157	1.0757871818542482	0.10530907229464526	0.02122311941449262	0.019555006430428512	0.04761904761904763	0.0
P31648_WT	Fold 3	8.0		0.17069185679391374	0.31368228060809356	0.5600734600104647	0.007882767140998496	0.08878494884268671	0.4369469866752623	0.5171587970836495	1.027996559143066	0.057170636251878015	0.010671510840375209	0.8701610692773192	0.6666666666666669	0.4999999999999999
P31648_WT	Fold 4	8.0		0.777943299759011	0.08349561965924085	0.2889560860394549	0.0021858512965015012	0.046753088630608154	0.2613406310081481	0.7792336081370359	0.4907517700195312	0.01608325512890385	0.0031216390329420474	0.8891282296891765	0.9761904761904763	0.9285714285714285
P31648_WT	Fold 5	8.0		0.6903388955313288	0.26293121165335065	0.512768185102538	0.006094988248453162	0.07807040571466989	0.4351162915229797	0.7498708542288024	0.8392580490112307	0.04793274052594865	0.00883164600120706	0.8813549616332035	0.880952380952381	0.7142857142857142
P31648_WT	Mean	8.2		0.11460863578858219	0.4504091681009948	0.6238744912767147	0.011168321109022215	0.09866766564705269	0.5421359406365289	0.22235494027898337	1.0180293075561524	0.08266624283583372	0.01539094158640492	0.5870793017176796	0.5542857142857144	0.4619047619047619
P31648_WT	SD	0.3651483716701108		0.6087606630913199	0.30922456148170757	0.22581295215881553	0.007198353693069231	0.034556871781451726	0.2179008881495649	0.5929694210594021	0.3466201548653373	0.05424277268688964	0.009692770907289166	0.3359864211598206	0.33654462213925534	0.3118350824870256
P31648_WT	Test set	200.0		0.09131856709939612	0.665513795273451	0.8157902887834906	0.016172300235540032	0.12717035910753743	0.6323578476142884	0.1374262480365468	2.2773332405090336	0.11970947725036016	0.021819007353732114	0.4717462669915924	0.46916720677398616	0.31879264813346175
Q63380_WT	Fold 1	34.0		0.258532934397248	1.0247363640355194	1.0122926276702402	0.0174164708595625	0.13197147744707	0.7295512771606445	0.35006462303000596	2.680556926727295	0.1583285488478064	0.024805208604050784	0.5923481757197467	0.5687218291485356	0.42105279911004134
Q63380_WT	Fold 2	34.0		0.3070526012683472	0.8778533986882416	0.9369383110366667	0.01449733675143192	0.1204048867423242	0.6653570708106544	0.314951334682106	3.0411077690124504	0.13017144034935607	0.019672938029708577	0.574307967544768	0.5068765340355046	0.373214880763996
Q63380_WT	Fold 3	33.0		0.3722634702913298	0.6755392936060813	0.8219119743659179	0.011489947260888096	0.10719117156225179	0.5776200400843766	0.37552164380395125	2.533359603881836	0.10317867891932403	0.015938366088894283	0.6163436136729732	0.6781983812431012	0.5023698939242186
Q63380_WT	Fold 4	33.0		0.38504225846209983	0.5249446060114059	0.7245306108173801	0.01048600678949299	0.10240120501973103	0.5299492951595423	0.46889537323266184	1.8184217453002933	0.08380104820965924	0.013574344959343133	0.7059072203581517	0.6834364126884273	0.5161299614559985
Q63380_WT	Fold 5	33.0		0.049664608120875586	1.42585989730661	1.19409375566017	0.029750471914387764	0.17248325111264504	0.8812283613031562	0.07097585297349673	3.39916051864624	0.2283353074919149	0.03726425787478116	0.3748429040586526	0.4076550282580274	0.3074009329259992
Q63380_WT	Mean	33.4		0.27451117450798007	0.9057867119295716	0.9379534559100751	0.016728046715152656	0.1268903983768044	0.6767412089036748	0.3160817655444444	2.694521312713623	0.14076300476361212	0.022251023111355586	0.5727499762708584	0.5689776370747193	0.42403369363605076
Q63380_WT	SD	0.4472135954999579		0.1107872276631316	0.28386029168054927	0.14728098563606984	0.0063434257456154155	0.022855953180162328	0.11262501901934292	0.12118726464735544	0.48482937457737096	0.0460920886640297	0.007677911898403496	0.09931849682119076	0.09566571906338751	0.07166231130180373
Q63380_WT	Test set	29.0		-0.44298268798365137	1.2497793372096186	1.1179353009944801	0.021792022630526476	0.14762121334864606	0.8981025453764817	-0.16387061780522028	2.170611457824707	0.19537290243026106	0.030777679574655544	-0.0509931808167227	0.01650449575272963	0.0073982793603079204
Q9Y345_WT	Fold 1	22.0		0.5502515908510468	0.2364218072014121	0.48623225643864076	0.0053090658962887316	0.07286333712017816	0.38216314367814497	0.5667042972975487	1.2758741493225099	0.042029000286371326	0.007556599131976856	0.8492209441158411	0.7933370976849238	0.6363636363636364
Q9Y345_WT	Fold 2	22.0		0.47849525427287753	0.2000001828524887	0.4472137999352085	0.004921242601178066	0.07015156877203864	0.3634929859854959	0.508533650351003	1.0362941513061523	0.037734451495956715	0.007186462321118434	0.7132350187839749	0.5320531135632658	0.39045645008471963
Q9Y345_WT	Fold 3	22.0		0.27117794005921214	0.36874443276827107	0.6072433060711917	0.008147858499401887	0.09026548897226386	0.44530493961681034	0.27692523255988566	1.4047614669799806	0.06448036315393607	0.011415297945146912	0.5648759422643159	0.6088675758186842	0.45987093009978086
Q9Y345_WT	Fold 4	21.0		0.5429905082745583	0.33999875251179934	0.5830941197712418	0.006503949749686948	0.08064706907065469	0.4039430534726097	0.5469514699511439	2.003166065216064	0.05557860515206719	0.009252782082924238	0.7397131840182223	0.8268918916139323	0.6539398099257271
Q9Y345_WT	Fold 5	21.0		-0.2507871700590194	0.4527990460617299	0.6729034448282531	0.011223497159378112	0.1059410079212866	0.5210383838471913	-0.009286095501018554	1.6119374084472655	0.08195246514671221	0.014934345563383128	0.47982666377961725	0.4606888561868155	0.3253625759991549
Q9Y345_WT	Mean	21.6		0.3184256246797351	0.31959284427914025	0.5593373854089072	0.007221122781186749	0.0839736943712844	0.42318850132005037	0.37796571093171255	1.4664066482543945	0.0563549770470087	0.010069097408909914	0.6693743505923943	0.6443677069735243	0.4931986804946037
Q9Y345_WT	SD	0.4472135954999579		0.27569019485937724	0.0834625644733844	0.07491402607360337	0.0020951367212830338	0.011886316882059166	0.05112200787831417	0.20058230538192545	0.29843742934770034	0.01457059614236876	0.002606769994992752	0.11976668277883923	0.13109774011452924	0.1198398779677559
