target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	10.0		0.7269237908643327	0.21875256081541106	0.4677099109655589	0.004264402473550634	0.06530239255609732	0.4135190078735353	0.7292502061509512	0.7837981414794921	0.03505227290685191	0.005688880927967821	0.8636905377527501	0.8303030303030302	0.6444444444444444
P30531_WT	Fold 2	10.0		0.2873935215138068	0.24732190762617628	0.49731469677275403	0.004340632928829876	0.06588347993867565	0.376431270980835	0.2878241266935532	1.062985260009766	0.0380419480906081	0.005881288997702905	0.7318580560715595	0.8424242424242423	0.6444444444444444
P30531_WT	Fold 3	10.0		0.28996324324371325	0.6153516227531494	0.7844435115119185	0.012518403705297203	0.11188567247551048	0.6242593677520752	0.3112883643315285	1.4469909095764164	0.10044474128123397	0.016569760488202155	0.5586848084128513	0.3939393939393939	0.19999999999999998
P30531_WT	Fold 4	9.0		0.1825278944244625	0.7825181084884314	0.8846005361113181	0.01827877390808284	0.13519901592867767	0.6500030729505751	0.4001848745657457	1.8722799491882327	0.1345924308477936	0.02348149728691941	0.6536161597457885	0.6833333333333333	0.5
P30531_WT	Fold 5	9.0		0.17257236035116907	0.578984032695064	0.760910003019453	0.010565729455422604	0.10278973419278116	0.5627742818196614	0.2920372246161672	1.4915191841125486	0.09166629441785092	0.01462490737523334	0.5598497674647777	0.5833333333333334	0.3888888888888889
P30531_WT	Mean	9.6		0.3318761620794969	0.4885856464756464	0.6789957316762004	0.009993588494236632	0.09621205901834846	0.5253974002753364	0.40411695927158914	1.3315146888732912	0.0799595375088677	0.013249267015205127	0.6735398658895455	0.6666666666666667	0.47555555555555556
P30531_WT	SD	0.447213595499958		0.1859572681120634	0.20068875528959013	0.15152129344624454	0.004832628918014271	0.024779497467437087	0.10116403833510247	0.1529869969335351	0.34240929048505864	0.03491702421975346	0.0061787692611100144	0.10493836769777817	0.15235373994522886	0.15334406833060438
P30531_WT	Test set	9.0		-1.1113386778167156	1.105963302959443	1.0516478987567288	0.026361241079872023	0.16236145195172413	0.772762303246392	-0.5372435669592173	2.123419380187988	0.1925356912853354	0.033746666315151726	-0.1831045996403468	-0.33333333333333337	-0.2222222222222222
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT		35.0	No test data for temporal split at 2013													
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT		49.0	Not enough training data for temporal split at 2013													
P31651_WT	Fold 1	3.0		-18.001529572399026	0.05869361356807681	0.24226764862043965	0.0019043102107641166	0.04363840293553508	0.18721282323201502	-11.43819766112375	0.4042737388610842	0.013075264650118731	0.0029147995262694217	0.2435978297475379	-0.5	-0.33333333333333337
P31651_WT	Fold 2	3.0		-12.511651548410553	0.2795410575904497	0.5287164245514316	0.008496970363592078	0.09217901259827031	0.35650117874145515	-6.368591322865864	0.9082757949829103	0.06092003457662187	0.013303959644992277	-0.9998835000465537	-1.0	-1.0
P31651_WT	Fold 3	2.0		-0.5329274142389449	0.023951990847483513	0.15476430740801805	0.0007140174103849586	0.026721104213429478	0.1312565803527832	-0.10261055269802455	0.21325475692749052	0.0049637209601609555	0.0010287825892234537	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 4	2.0		-54.22842353333671	0.06765481882833801	0.2601053994601766	0.002111982242572075	0.045956307973683816	0.2543400859832765	-1.4211750941693846	0.3088005256652835	0.014663067058620527	0.003178623145792203	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 5	2.0		-11.018091415425918	0.14541890612665326	0.38133830928278534	0.004643134739055422	0.06814055135567529	0.37919361114501937	0.8651974054997441	0.41958063125610323	0.031192094113293933	0.006695366247746248	1.0	0.9999999999999999	1.0
P31651_WT	Mean	2.4		-19.25852469676223	0.11505207739220027	0.3134384178645703	0.00357408299327373	0.055327075815318795	0.26170085589090986	-3.693075445071456	0.4508370895385744	0.024962836271763204	0.005424306230804721	-0.3512571340598031	-0.5	-0.4666666666666667
P31651_WT	SD	0.4472135954999579		16.77571107739934	0.0833674309172825	0.11835129769305204	0.002532572690132701	0.02067602627440163	0.08699617397091104	4.202700006780688	0.21947476365751178	0.01816171789479956	0.003965809627228379	0.7574297596899139	0.7071067811865476	0.7097208632298361
P31651_WT	Test set	72.0		-0.24395287104238017	0.2395392496743651	0.48942747131149583	0.007145076402050139	0.08452855376764788	0.4058326454162598	-0.12348503559952251	1.4972350311279294	0.04945196931525997	0.010261667540384631	-0.09621958643859391	-0.26274664525352565	-0.20879893511928305
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	9.0		0.024061594831781608	1.0614770207540003	1.0302800690851008	0.025023421856569014	0.15818793208259918	0.7678206185234919	0.06659545723998084	2.49358805847168	0.20072110659966372	0.03852145034152472	0.39262926527998787	0.3	0.3888888888888889
P31648_WT	Fold 2	8.0		-0.8945897405868612	0.47733119847060435	0.6908915967578447	0.013583211277005063	0.11654703461266212	0.506892276763916	-0.7621726503244948	1.2804361534118653	0.094976368648644	0.019028401976792675	0.37516715294999126	0.5476190476190477	0.42857142857142855
P31648_WT	Fold 3	8.0		-1.5468405636257665	0.963331619119051	0.9814945843554365	0.025042189997498018	0.15824724325402328	0.9405614032745361	-0.547057022752268	1.3079936218261716	0.18151840071127734	0.034524027899017595	0.038714373810337835	0.1077863635721933	0.1091089451179962
P31648_WT	Fold 4	8.0		0.5345010819911132	0.17503241544919507	0.4183687553453234	0.0043521380970254365	0.06597073667184138	0.3528212490081788	0.6662837207186538	0.6922933387756345	0.032127524070531654	0.00597019159511647	0.9370675313257013	0.9285714285714287	0.7857142857142856
P31648_WT	Fold 5	8.0		0.7673538403304165	0.19753832743502045	0.4444528405073146	0.004996396211384648	0.07068519089161922	0.41382533359527585	0.7804194874831025	0.6075948219299319	0.03718747946041012	0.007135091824097828	0.9250400035224263	0.9047619047619048	0.7857142857142856
P31648_WT	Mean	8.2		-0.2231027574118633	0.5749421162455742	0.713097569210204	0.014599471487896434	0.11392762750254903	0.5963841762330798	0.040813798472994864	1.2763811988830567	0.10930617589810536	0.021035832727309856	0.5337236653776889	0.5577477489049149	0.49959956680137696
P31648_WT	SD	0.3651483716701108		0.7978340068254404	0.3414312764222136	0.23529055270748495	0.008326351665701465	0.036741973948252384	0.2035140650230985	0.5670498555652392	0.6152292490463911	0.06446483410516647	0.012328234200004827	0.31777789591869304	0.29634742187517676	0.23576402079344577
P31648_WT	Test set	200.0		-0.19892519166598932	0.8780868912525263	0.9370629067744205	0.020817776164663425	0.1442836656197209	0.6846071193885802	-0.1434733348119519	2.808823966979981	0.16341412908681405	0.030729845788407893	0.1013932812795655	0.1461236686469806	0.09698284629331311
Q63380_WT	Fold 1	34.0		0.555982262728463	0.6136498069392129	0.7833580324086892	0.010707843191645104	0.10347870888083743	0.6156088576597325	0.5882184862599712	1.8124620246887204	0.09415557334848239	0.014696880209043512	0.7721025326831418	0.742302699087476	0.5851920258817523
Q63380_WT	Fold 2	34.0		0.5297234894628085	0.595765037655033	0.7718581719817657	0.00994483692710935	0.09972380321221884	0.5642123828214758	0.5474148369465298	2.335234756469726	0.08686850576386874	0.012907364459197752	0.7411074882226336	0.7153117442930952	0.5267865541884155
Q63380_WT	Fold 3	33.0		0.3277510588809939	0.7234413696168512	0.8505535665769977	0.012625344176259795	0.11236255682503757	0.5407903419263436	0.3295308179796351	2.294408740997315	0.11095847977695127	0.017225752179604283	0.5862435129056023	0.6156931583291237	0.4834125394365122
Q63380_WT	Fold 4	33.0		0.29480236060063414	0.6019758301584998	0.7758710138666735	0.011534094396891651	0.1073969012443639	0.6110544002417361	0.2948407644111859	1.9545513153076168	0.0959408622643114	0.01544462746401564	0.5729795535109417	0.541032934182548	0.39848269082999893
Q63380_WT	Fold 5	33.0		0.45806967358780937	0.8130989608179378	0.9017200013407365	0.016638277235094423	0.12898944621593825	0.6560673944877856	0.46181004522506275	2.4426622962951656	0.13039453508486706	0.02140160753166541	0.6840751619704253	0.6617081823999715	0.5199250347019986
Q63380_WT	Mean	33.4		0.4332657690521417	0.6695862010375069	0.8166721572349726	0.012290079185400066	0.11039028327567921	0.5975466754274147	0.444362990164477	2.1678638267517085	0.10366359124769617	0.01633524636870532	0.6713016498585489	0.655209743658443	0.5027597690077356
Q63380_WT	SD	0.4472135954999579		0.09598969811891084	0.07815145338887788	0.04684005261421847	0.0021445424486326676	0.009312381709108536	0.0371165553179416	0.10579997666608663	0.2203608823225108	0.014141408468347449	0.002635932350068947	0.07314250582674969	0.06562210934574927	0.056147178693122364
Q63380_WT	Test set	29.0		-0.967251945888256	1.7038533126770352	1.3053173225990051	0.029322951819483745	0.17123945754259953	1.0378534021048709	-0.9607364070634321	2.623663387298585	0.25674545819451433	0.039023612747114834	-0.32809404903536094	-0.28205444234142424	-0.18988917024790328
Q9Y345_WT	Fold 1	22.0		0.47151919465546555	0.27780951422872496	0.5270763836757676	0.006676002401835187	0.08170680756115238	0.42738102982260967	0.538268633962868	1.0947447967529298	0.04987905089432571	0.009073532621626045	0.7558993209271311	0.6849237718802937	0.5064935064935064
Q9Y345_WT	Fold 2	22.0		0.5992458965440746	0.153691590779903	0.39203519074172793	0.003928651747105637	0.06267895776977818	0.33512225775285204	0.6000166698042957	0.8151666412353515	0.029318336171677197	0.005630748592847027	0.7769564353374899	0.5817565891403012	0.4511941200978982
Q9Y345_WT	Fold 3	22.0		0.4450159970323724	0.28079180449942553	0.5298979189423426	0.005916941722261224	0.07692165964317998	0.3761901045712559	0.4578212481645846	1.4163327941894535	0.047660925380297314	0.008241818265000004	0.6821106699620567	0.597571331369358	0.4164868800903676
Q9Y345_WT	Fold 4	21.0		0.7317896297267118	0.19953894383977228	0.4466978216196854	0.004176256809265966	0.06462396466687853	0.3627060842968169	0.7407049432576416	1.0348375892639154	0.03368719627824289	0.005816522128570867	0.8618804932080066	0.8691133943279193	0.701672642767021
Q9Y345_WT	Fold 5	21.0		0.2900103820823602	0.25702423993657525	0.5069755812034493	0.006573226053914181	0.08107543434304981	0.3978084288097563	0.37539576538246877	1.1215176200866699	0.04808456296056226	0.009037700771267865	0.6545849072305002	0.5990904448578898	0.46890488893995863
Q9Y345_WT	Mean	21.6		0.5075162200081968	0.2337712186568802	0.48053657923659454	0.005454215746876439	0.07340136479680778	0.3798415810506582	0.5424414521143717	1.096519888305664	0.04172601433702107	0.007560064475862362	0.7462863653330369	0.6664911063151523	0.5089504076777505
Q9Y345_WT	SD	0.4472135954999579		0.13615172241672088	0.04523200454057657	0.04878366079327742	0.0010739014999371036	0.007441739987081134	0.02854698820551201	0.11380214584672947	0.17600790132175564	0.00775348725876702	0.0013964826512825339	0.06698599580383334	0.0982074994621725	0.09186659940834621
