target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	8.0		-0.3613260026472511	0.787670627341839	0.887508099873933	0.016205494736602433	0.12730080414750897	0.8321638259887696	0.5155771195622684	1.2703302955627445	0.13508830187919596	0.02351658188015271	0.7322561513363222	0.5000000000000001	0.42857142857142855
P30531_WT	Fold 2	8.0		0.5302750576399473	0.6261323096298047	0.7912852264700793	0.015008707924831164	0.12251003193547524	0.577502278327942	0.5392911495505608	1.890703983306885	0.10902297231322788	0.01931532872673053	0.8713648093939499	0.7142857142857144	0.5714285714285714
P30531_WT	Fold 3	8.0		-0.19753265699281264	0.7829463833557071	0.8848425754650977	0.017448932722324097	0.13209440836887873	0.8377736544609071	-0.192870276215245	1.3731769943237309	0.13722119316151526	0.02437505881551938	0.4135373872339576	0.4761904761904762	0.2857142857142857
P30531_WT	Fold 4	8.0		0.008527646391179089	0.4027953105090311	0.6346615716340727	0.00939408226719116	0.09692307396688964	0.47851039123535155	0.1080585444820733	1.521959228515625	0.07012026121207726	0.012276784119895967	0.5175254586683264	0.523809523809524	0.42857142857142855
P30531_WT	Fold 5	7.0		0.3445478343566232	0.7740345114590558	0.8797923115480469	0.017132113804754445	0.13088970091170063	0.6200715391976492	0.3453132421016788	1.8001223564147946	0.13108667269945176	0.022446898821397592	0.5990314418266486	0.28571428571428575	0.23809523809523814
P30531_WT	Mean	7.8		0.06489837574953716	0.6747158284590876	0.8156179569982459	0.01503786629114066	0.12194360386609064	0.669204337842124	0.26307395589626725	1.571258571624756	0.11650788025309362	0.020386130472739235	0.6267430496918409	0.5	0.3904761904761905
P30531_WT	SD	0.3651483716701107		0.30235029423967336	0.13579271383299832	0.08889683478193043	0.002689969593688811	0.01181890319539791	0.1304855612552515	0.2512409223895253	0.2185743835493591	0.023074696226973522	0.004018004400496834	0.14670031233888228	0.12447926302665178	0.10788981249502493
P30531_WT	Test set	18.0		0.5326357620727903	0.3864826401783892	0.6216772797669134	0.007636594629299592	0.08738761141774955	0.49611973720126673	0.5327508694636924	1.1388231277465817	0.06225337872235374	0.010148275509798528	0.7319639602343186	0.6205473206931297	0.419674386861138
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT	Fold 1	5.0		0.3631860187692263	0.4524361084524209	0.6726337104638905	0.007385297506715108	0.08593775367505894	0.4620642303466795	0.3784483376860198	1.4078864669799804	0.06424976290987097	0.009154269753105026	0.6482948742303876	0.7999999999999999	0.6
Q7JHP9_WT	Fold 2	5.0		-3.6118143979827018	0.30481326082026794	0.5520989592638877	0.004136446282856325	0.06431521035382164	0.4663357276916503	-2.5964077065331517	1.0207382392883293	0.04088198890567689	0.005490365978016065	0.23566700346259206	0.39999999999999997	0.39999999999999997
Q7JHP9_WT	Fold 3	5.0		0.13639845421806562	0.24276184892548494	0.4927086856606903	0.003833718289913887	0.061917027463484445	0.4087106781005859	0.15472253300263583	0.7771903419494626	0.03502912268089453	0.005098051342192278	0.7385743251975889	0.6	0.39999999999999997
Q7JHP9_WT	Fold 4	5.0		0.0575395097274084	0.08150963796171526	0.28549892812708644	0.0010235610915589883	0.03199314132058602	0.28018158721923836	0.5600358863557224	0.3458146667480477	0.010224144327560936	0.0012841120004998708	0.759728957322435	0.7	0.6
Q7JHP9_WT	Fold 5	4.0		-1.9437160755852747	0.0651803132923734	0.2553043542370036	0.0008023491254085641	0.028325767869707683	0.2511460590362551	-1.099229785730388	0.3290664863586432	0.008163753629508275	0.0010226315046547585	-0.3516413926829184	-0.39999999999999997	-0.3333333333333334
Q7JHP9_WT	Mean	4.8		-0.9996812981706551	0.2293402338904525	0.4516489275505117	0.0034362744592905748	0.05449778013653175	0.37368765647888186	-0.5204861470438324	0.7761392402648927	0.03170975449070232	0.0044098861156936	0.406124753506017	0.42000000000000004	0.3333333333333333
Q7JHP9_WT	SD	0.3651483716701107		1.4130487934560225	0.13194092833163382	0.14535439487944948	0.0021985500399658194	0.019711807364301996	0.0830466977506741	1.0859644219602875	0.3750528006067935	0.01901773662445449	0.0027505799942921937	0.3867536672754606	0.39327683210007	0.31505437508350725
Q7JHP9_WT	Test set	11.0		0.4588794345867018	0.636673736727249	0.7979183772336924	0.010196846297007017	0.10097943502024072	0.6028128866715865	0.4855561794466805	1.608135967254639	0.09024984253450893	0.012993256874002445	0.8131616823490646	0.6818181818181819	0.5272727272727272
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT	Fold 1	7.0		-0.45796705881801403	0.6575788488426505	0.8109123558330151	0.0114856423981425	0.10717108937648484	0.6470403262547085	-0.4192391769277155	1.659011402130127	0.09762302730505722	0.014550470507538422	-0.6281166991194357	-0.6847124716486249	-0.5855400437691199
Q99884_WT	Fold 2	7.0		0.16208472892028647	0.4411606801923037	0.664199277470477	0.008005448571712396	0.089473172357486	0.5098596300397599	0.3448916944434458	1.4537695693969725	0.06678182110152875	0.010173836261529155	0.6092669030035729	0.3214285714285715	0.14285714285714288
Q99884_WT	Fold 3	7.0		-0.12187641816574457	0.8251149205800891	0.9083583657236218	0.01552063480945721	0.12458183980603758	0.7406119046892439	-0.11987241898679524	1.426045989990234	0.12861726525561526	0.020130459435180232	0.09506814220921397	0.1785714285714286	0.14285714285714288
Q99884_WT	Fold 4	7.0		0.05395129964535883	0.5178631971508637	0.7196271236903621	0.009161056880652408	0.09571341014012827	0.6109596633911131	0.10566184500280973	1.18556131362915	0.08029955684943957	0.01248754048815494	0.4023934910281184	0.39285714285714296	0.23809523809523814
Q99884_WT	Fold 5	6.0		-0.34644376063774485	0.4668419727855648	0.6832583499567091	0.008363297555717795	0.0914510664547866	0.5433150482177734	0.3196521163501589	1.3433437728881836	0.07007205017375107	0.010541612603091943	0.6308517569967083	0.4058397249567139	0.13801311186847084
Q99884_WT	Mean	6.8		-0.14205024181117162	0.5817119239102944	0.7572710945348371	0.010507216043136463	0.10167811562698466	0.6103573145185198	0.04621881197638074	1.4135464096069335	0.08867874413707837	0.013576783859098936	0.22189271882363557	0.12279687923304641	0.01525651838177497
Q99884_WT	SD	0.3651483716701107		0.21326892789843263	0.13040144859714306	0.08292774612227341	0.0025416220972434883	0.011859484449235866	0.07405708889214854	0.2619612481757682	0.14079110935349629	0.020700164044421803	0.0033135453639094857	0.4259278628407001	0.3758728729601193	0.2763592541340996
Q99884_WT	Test set	15.0		-0.27861249335959126	0.5671493133656501	0.7530931638022285	0.011176557304610398	0.10571923810078465	0.6066978302001952	0.23711932760239252	1.5586906433105465	0.08978058327042078	0.014258906820203284	0.4869577016594206	0.30357142857142855	0.20000000000000004
P31651_WT	Fold 1	12.0		-0.576521754352564	0.08158719040129292	0.28563471497927717	0.002560065478882097	0.050597089628575447	0.23392162481943757	-0.5237901124679092	0.5539278602600097	0.017534118870843034	0.0037722352482223442	0.23271464683658694	0.18181818181818185	0.1818181818181818
P31651_WT	Fold 2	12.0		-0.6593436809506508	0.16956043735064252	0.41177716953546917	0.005167006278614106	0.07188189117304931	0.3329025411605835	-0.6014736285573445	0.9601739501953128	0.03526651450634777	0.007375410912400089	0.24423143154617633	0.41958041958041964	0.303030303030303
P31651_WT	Fold 3	12.0		0.18531338304921463	0.22533326617506552	0.4746928124324883	0.006727683105720472	0.08202245488718606	0.38355136235555015	0.1924149086925333	1.1009250640869137	0.04723516575803055	0.009956806741639049	0.528640775278477	0.5524475524475525	0.3636363636363636
P31651_WT	Fold 4	11.0		-0.5976018007398678	0.17368743881344487	0.416758249844493	0.00528085630068295	0.0726695004846115	0.25121352906660604	-0.4334459164963005	1.2072027702331543	0.03796409471015954	0.008331071968080755	0.20647273738387714	0.16856535760393593	0.14679516868351475
P31651_WT	Fold 5	11.0		-0.19106368643609906	0.5091958102329501	0.713579575263299	0.012905588388061162	0.11360276575885449	0.3961330885453656	-0.124338811487396	2.1820566368103025	0.10158516370211203	0.020454065963198875	0.04831347028420027	0.44545454545454555	0.38181818181818183
P31651_WT	Mean	11.6		-0.3678435078859934	0.23187282859467917	0.46048850441100536	0.006528239910392158	0.07815474038645535	0.31954442918950854	-0.2981267120632834	1.2008572563171387	0.047917011509498585	0.009977918166708222	0.25207461226586353	0.35357321138092707	0.275419639797309
P31651_WT	SD	0.447213595499958		0.2939788784479754	0.13341973164610887	0.1285274481060846	0.0031587360969944655	0.018709989878803616	0.06074746350052119	0.2683554623993259	0.4914646528828463	0.02602227016016498	0.005127471196760186	0.14172937841955927	0.1390909958500738	0.08676661832981514
P31651_WT	Test set	26.0		0.25430638734500755	0.08487438369162598	0.29133208489904777	0.002661213290445881	0.051586948838304836	0.21748906238262478	0.3532575635974724	0.7421909713745114	0.017969366188507932	0.0038124127988942245	0.6077935880522118	0.541631055958483	0.394453472871274
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	34.0		-0.18552999915598622	0.5492193669160533	0.7410933591093994	0.013617973867122973	0.11669607477170332	0.48483940494761746	-0.10406899909788647	2.266364707946777	0.09977596251869733	0.01840036334372607	0.47321976159878065	0.4796393932555758	0.43175753129080513
P31648_WT	Fold 2	34.0		0.4851233547738866	0.45785676165128886	0.6766511373309653	0.010254733376850405	0.10126565744046895	0.4482630302204805	0.5061120252719302	2.5144529533386226	0.08350308263555384	0.01540851573876462	0.7117178115168808	0.7282450934234069	0.5459413412189519
P31648_WT	Fold 3	34.0		0.5393794953154585	0.3798753770511838	0.6163403094485901	0.009468454171404092	0.09730598219741729	0.4610350099451402	0.5393796321427337	1.5411053466796876	0.07059259618718151	0.01334448053168632	0.7404820856166322	0.6733384262796027	0.500891265597148
P31648_WT	Fold 4	33.0		0.5660035502017249	0.25151370032049797	0.5015114159423472	0.006806137405603566	0.0824993176068964	0.3879436816591205	0.5670153003689854	1.2059043884277347	0.049462746004490514	0.009835974065695783	0.7638103584192372	0.6130191380975099	0.45687224315372327
P31648_WT	Fold 5	33.0		0.3036195880551805	0.5681028402832338	0.7537259716125176	0.013301639918768505	0.11533273567712032	0.6074438062725644	0.3290274278584713	1.6965083503723148	0.10300083907828556	0.01898606835515744	0.5867862178422287	0.4770182249480977	0.31119600617199916
P31648_WT	Mean	33.6		0.3417191978380528	0.44131360924445157	0.6578644386887639	0.010689787747949908	0.10261995353872125	0.47790498660898456	0.36749307730884684	1.8448671493530273	0.08126704528484176	0.015195080407006048	0.655203246998752	0.5942520552008386	0.44933167748652547
P31648_WT	SD	0.4472135954999579		0.25474860553657985	0.10629479396174502	0.0843009962039254	0.002315157075425102	0.011508434720550183	0.06593515758807753	0.22818841485878266	0.4375233930216678	0.018006457124747046	0.00307776227272093	0.10005062036015903	0.09259303881041375	0.07238668464945087
