target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31646_WT		2.0	Number of points 2 < 30													
F1LNR9_WT		3.0	Number of points 3 < 30													
P28571_WT		7.0	Number of points 7 < 30													
P48066_WT		8.0	Number of points 8 < 30													
P23978_WT		14.0	Number of points 14 < 30													
Q15758_WT		20.0	Number of points 20 < 30													
Q61327_WT		27.0	Number of points 27 < 30													
P58295_WT		26.0	Number of points 26 < 30													
P30531_WT	Fold 1	10.0		0.6128438766118816	0.3101383078906099	0.5569006265848602	0.006040851550428418	0.07772291522085631	0.4722204257965088	0.6663612109195579	0.9636022377014157	0.04927381895298453	0.007904465412629236	0.8164286611246768	0.8181818181818182	0.6
P30531_WT	Fold 2	10.0		0.5385294791193999	0.16016100468225894	0.4002012052483837	0.0028841901507006803	0.05370465669474743	0.3644918190002442	0.6269483934884579	0.6341257858276368	0.025052873481052097	0.003950061182327147	0.848222877110737	0.8909090909090909	0.7333333333333333
P30531_WT	Fold 3	10.0		0.5594860618717616	0.38177032962482876	0.6178756587087961	0.008022017132003895	0.08956571404284061	0.4847908199310303	0.5628145532143014	1.3428639793396	0.06341000133169868	0.010676114807035165	0.7953324572511999	0.7939393939393938	0.6
P30531_WT	Fold 4	9.0		0.42096763764244005	0.5542737248833958	0.7444956177731309	0.01258703195623096	0.11219194247463121	0.49660203721788193	0.6606305495436892	1.5971938133239743	0.09414424638649127	0.0162886123849363	0.8154115156981777	0.8499999999999999	0.6666666666666666
P30531_WT	Fold 5	9.0		0.5791825393831957	0.29446271637701127	0.5426441894805576	0.00563351061509127	0.07505671598925222	0.45396996900770387	0.6093690750795044	1.0094379234313964	0.04725433667365545	0.0076633551019682005	0.7834059716879895	0.7333333333333334	0.5555555555555556
P30531_WT	Mean	9.6		0.5422019189257358	0.3401612166916209	0.5724234595591458	0.007033520280891045	0.08164838888446554	0.4544150141906738	0.6252247564491021	1.1094447479248046	0.0558270553651764	0.00929652177777921	0.8117602965745562	0.8172727272727272	0.631111111111111
P30531_WT	SD	0.447213595499958		0.05967667305982716	0.1175905953939024	0.10203185629155245	0.002943381749928514	0.017489541481080575	0.04302295175678182	0.03438794627773751	0.302650295130282	0.020773359867750186	0.0037412632269177427	0.020159722437846105	0.048450113820626965	0.05680085781535054
P30531_WT	Test set	9.0		-0.6065991084576756	0.8415701730803957	0.9173713387066307	0.02091794893467237	0.1446303873142583	0.6093061103820799	-0.13805661325041285	1.9158774375915524	0.14973096962618687	0.026783691614362868	0.1657857583735895	0.09999999999999999	0.05555555555555555
Q9NSD5_WT		8.0	Number of points 8 < 30													
P48065_WT		14.0	Number of points 14 < 30													
Q9MYX0_WT		20.0	Number of points 20 < 30													
Q7JHP9_WT		35.0	No test data for temporal split at 2013													
Q9H2J7_WT		28.0	Number of points 28 < 30													
Q9GJT6_WT		14.0	Number of points 14 < 30													
Q60857_WT		24.0	Number of points 24 < 30													
O55192_WT		8.0	Number of points 8 < 30													
Q28039_WT		35.0	Delta activity 1.7530000000000001 < 2													
Q99884_WT		49.0	Not enough training data for temporal split at 2013													
P31651_WT	Fold 1	3.0		-13.751238174834693	0.045564935695600356	0.21345944742643824	0.0014393892634290077	0.03793928390769925	0.19101226170857752	-11.206837103407294	0.3218457603454592	0.009930636425356335	0.0021661848257461536	0.03512071885831472	-0.5	-0.33333333333333337
P31651_WT	Fold 2	3.0		-12.548900750360689	0.2803117021907959	0.529444711174638	0.008516661360059062	0.09228575924842934	0.3659414418538412	-6.076192641904121	0.9068848609924318	0.061059185946239936	0.013327981107954004	-0.9999817206437787	-1.0	-1.0
P31651_WT	Fold 3	2.0		-0.015062656729857071	0.015860354011404017	0.12593789743919032	0.0004758349272185357	0.021813640851965445	0.10682010650634766	0.26972575014224276	0.17352706909179716	0.0033037632281196494	0.0006882489129991232	1.0	0.9999999999999999	1.0
P31651_WT	Fold 4	2.0		-33.69361144535555	0.042499674020560894	0.20615449066309688	0.001312354063158328	0.03622642768971746	0.1835531330108644	-26.503471541309224	0.2774036598205569	0.009139287520494754	0.0019659267647922363	-1.0	-0.9999999999999999	-1.0
P31651_WT	Fold 5	2.0		-10.128972866311031	0.13466057168236317	0.3669612672781191	0.004327863206489317	0.06578649714408966	0.35997659683227523	0.5803783954201033	0.4312326240539548	0.02899933016149525	0.006248593238108224	1.0	0.9999999999999999	1.0
P31651_WT	Mean	2.4		-14.027557178718364	0.10377944752014485	0.2883915627962965	0.0032144205640708503	0.050810321768380226	0.24146070798238117	-8.587279428211657	0.42217879486084	0.022486440656341186	0.004879386969919948	0.007027799642907206	-0.10000000000000002	-0.0666666666666667
P31651_WT	SD	0.4472135954999579		10.004710805524365	0.08849782275961653	0.13105264218389057	0.002696354216317631	0.022962501421965407	0.09448800060625728	9.098077359127847	0.2337649034952072	0.01929613190486418	0.004216412834947334	0.8165935297192144	0.8366600265340755	0.8255189164891872
P31651_WT	Test set	72.0		-0.1357870341541283	0.21871051571525607	0.46766496096592064	0.006471530600282829	0.080445824007731	0.36580441851086093	-0.017127303513038594	1.7689983558654783	0.04521426669047885	0.00939787639996642	0.08074987402061459	-0.04329152714388862	-0.02848459268215089
P31650_WT		157.0	Delta activity 1.5499999999999998 < 2													
P31649_WT		131.0	Delta activity 1.8499999999999996 < 2													
P31648_WT	Fold 1	9.0		-0.3266351564520993	1.442911485029188	1.201212506190802	0.033188913607127904	0.18217824680001699	1.000467210981581	-0.31240491631330247	2.2904578132629396	0.25920407939388135	0.0470502141027787	0.08710796189926844	0.13333333333333333	0.16666666666666666
P31648_WT	Fold 2	8.0		-0.14054352945623472	0.2873535088681526	0.5360536436478653	0.008706620570401483	0.09330927376419497	0.398590886116028	-0.09951301162425974	1.082312698364258	0.06005926246566484	0.012594171188522796	0.363506205877179	0.4047619047619048	0.3571428571428571
P31648_WT	Fold 3	8.0		0.3891966362354049	0.2310337764296621	0.4806597304015202	0.00620534479054737	0.07877401088269767	0.319631398677826	0.3902406332865921	1.0409836196899418	0.045404941321316894	0.009008409900539527	0.7160835907413299	0.6347419188140272	0.4728054288446501
P31648_WT	Fold 4	8.0		0.37683108282366307	0.2343179684988039	0.48406401281111977	0.005954145565865161	0.07716311013603043	0.4055268344879148	0.3789222312633429	0.8143183517456052	0.044899344697707955	0.008635733246924626	0.618145947971388	0.7380952380952381	0.4999999999999999
P31648_WT	Fold 5	8.0		0.6970468488466124	0.257235532514287	0.5071839237537867	0.005821142832078318	0.07629641428060902	0.3906700592041016	0.699031803947376	1.1575606803894045	0.046073934177804476	0.008365211856244392	0.8367019379569283	0.7857142857142858	0.6428571428571428
P31648_WT	Mean	8.2		0.19917917639946928	0.4905704542680187	0.6418347633610189	0.011975233473204047	0.10154421117270981	0.5029772778934903	0.21125534811194974	1.2771266326904298	0.0911283124112751	0.01713074805900201	0.5243091288892188	0.5393293361437579	0.42789441910226333
P31648_WT	SD	0.3651483716701108		0.34337328659265487	0.4350709472957622	0.25595994284477996	0.009730724551218737	0.03723804786456278	0.22880776648654408	0.33388392015618734	0.47417359602045567	0.07688995429509508	0.013727874664262235	0.2450083333473685	0.22070271708492853	0.14529906420841493
P31648_WT	Test set	200.0		-0.022572462331009957	0.7489270229454209	0.8654056984706195	0.018030652720759325	0.13427826600295123	0.6414821975135803	0.03312478341630998	2.7245570564270016	0.133747064988607	0.024187370896303868	0.36367261523694866	0.35286749661263384	0.25545311684430944
Q63380_WT	Fold 1	34.0		0.3280634361451059	0.9286425024791136	0.963660989393632	0.015350894916008459	0.12389872846808582	0.7056568863812615	0.37708480822081303	2.542161617279053	0.13995091134713522	0.021375504172397856	0.614081886945802	0.7225914911454661	0.5495095852792066
Q63380_WT	Fold 2	34.0		0.3329486219700657	0.8450472869586729	0.9192645358974059	0.013140822775677106	0.11463342782834816	0.6699076433742748	0.3331713618890061	2.383474464416503	0.11993982267155315	0.017244021771113668	0.5901022535189876	0.650978002710657	0.45892930314041613
Q63380_WT	Fold 3	33.0		0.4836262048737827	0.5556961755247015	0.7454503172745327	0.010077690048266709	0.10038769868996254	0.5962657653346206	0.497673820714958	1.903452548980713	0.08740276729493962	0.013956892887069553	0.7136151916704987	0.6553020830099062	0.46445518494880583
Q63380_WT	Fold 4	33.0		0.3178288682550061	0.582319778739074	0.76309880011639	0.011267362283172891	0.10614783221136874	0.5447682785265374	0.3178291593109952	1.8060638427734377	0.09413748279369552	0.015443786574249324	0.5882877030140785	0.5839879740604953	0.4402284965359988
Q63380_WT	Fold 5	33.0		0.2861932875459602	1.0709780719667663	1.0348807042199435	0.02250908653696876	0.15003028539921118	0.7721936890573212	0.3155246253855173	2.819190120697021	0.17312944623883256	0.028585554759872372	0.572604648147414	0.5858265166233646	0.41745805705999883
Q63380_WT	Mean	33.4		0.34973208375798415	0.7965367631336656	0.8852710693803807	0.014469171312018785	0.1190195945193953	0.657758452534803	0.3682567551042579	2.290868518829346	0.12291208606923121	0.019321152032940554	0.6157383366593562	0.6397372135099778	0.46611612539288527
Q63380_WT	SD	0.4472135954999579		0.0628938846150566	0.1821246525170573	0.10340815913884924	0.004014948565866081	0.015903548672584464	0.07312707679384765	0.06242504322831848	0.3502319481681635	0.028606027023567102	0.004798840655279565	0.04628513746959915	0.046988992975125744	0.04091995281599306
Q63380_WT	Test set	29.0		-1.1034031755353362	1.821775027861556	1.3497314650927998	0.031473566418463564	0.17740790968404865	1.07040225982666	-1.1015523666950244	2.7289520072937012	0.27633556209347365	0.04227381159472978	-0.40643002408402484	-0.3387116665672125	-0.22934666016954552
Q9Y345_WT	Fold 1	22.0		0.5517150854065038	0.23565248368499248	0.48544050478404915	0.0054403319446409025	0.07375860590223288	0.3943529184514825	0.5568562089903024	1.0772966842651366	0.04146754543202109	0.007432870868672009	0.7694440079174923	0.6973461321287409	0.5324675324675324
Q9Y345_WT	Fold 2	22.0		0.5892870367105141	0.15751087297059008	0.3968763950786064	0.003900503421046496	0.062454010448060863	0.30894628455422146	0.5913668901237414	0.8300893325805667	0.029634574004654676	0.0055979430386736695	0.7735506140188676	0.5512567291271203	0.4164868800903676
Q9Y345_WT	Fold 3	22.0		0.4656761557091711	0.27033888476645596	0.519941232031521	0.00584239503758415	0.07643556134146037	0.3996397614912554	0.4732496232394423	1.2387018928527835	0.046596016832408764	0.00817788529226061	0.6914524943916286	0.5461734191249236	0.40781007008848497
Q9Y345_WT	Fold 4	21.0		0.7104610296430909	0.215406661146639	0.46411923160610247	0.004382439861828656	0.06619999895640978	0.3634396398635137	0.7201709417887748	1.2898777580261225	0.03605036684488909	0.006163320526017096	0.858358646646965	0.8405326847984512	0.6825795096305035
Q9Y345_WT	Fold 5	21.0		0.2623480468588224	0.26703831691217034	0.5167575030052011	0.006897881485076971	0.08305348568890393	0.3774483195713588	0.38655133224018756	1.3859390830993652	0.0495959980099354	0.00925164905810166	0.670217964007671	0.5510072638172349	0.430626938822411
Q9Y345_WT	Mean	21.6		0.5158974708656204	0.22918944389616955	0.47662697330109605	0.0052927103500354355	0.07238033246741357	0.3687653847863664	0.5456389992764897	1.1643809501647948	0.04066890022478181	0.007324733756745009	0.752604745396525	0.6372632457992943	0.4939941862198599
Q9Y345_WT	SD	0.4472135954999579		0.13621881857308235	0.03762837401501811	0.0409895537302481	0.0009718841030454662	0.00669563427055974	0.029692958435814282	0.10265425167221913	0.1778087045719028	0.0065644094177937555	0.0012099070647958953	0.06114648716383604	0.10650742534525186	0.09530225163212479
