		value	value	value
split		year	year	year
variable		MCC	RMSE	r
target class	model			
ARs	PCM	0.5762305427819969	0.7317003837502614	0.7627139514286585
ARs	QSAR	0.5174505397063918	0.7538989757743897	0.6831201646117973
ARs	stDNN PCM	0.568053061817363	0.715750027687918	0.7839387600000001
CCRs	PCM	0.6705915968122165	0.7259587631025815	0.83613657861548
CCRs	QSAR	0.519963237049939	0.6360489609413608	0.5819607751530349
CCRs	stDNN PCM	0.6406318307615414	1.0088094737542717	0.7282466224999999
Kinases	PCM	0.6383906892311508	0.6714905185917943	0.7830145517413754
Kinases	QSAR	0.37289528685217227	0.7382260386641428	0.4291308827362262
Kinases	stDNN PCM	0.6502935617734787	0.7773108109418594	0.79319231
MRs	PCM	0.5503956952576896	0.761806489514435	0.7761518110866263
MRs	QSAR	0.5442754009262236	0.7714376575466755	0.7053120342451011
MRs	stDNN PCM	0.5014889157610165	0.7467223449206584	0.792182705
SLC6	PCM	0.6379104169229743	0.7106561462905651	0.7972459240447318
SLC6	QSAR	0.5405681665176187	0.6754680087755683	0.6449734249613773
SLC6	stDNN PCM	0.616613512649903	0.6897204105696795	0.81746999
