target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q6ZWH5_WT		1:0	Number of points 1 < 30										
P46019_WT		1:0	Number of points 1 < 30										
Q5S007_G2019S_A2016T		2:0	Number of points 2 < 30										
Q5S007_A2016T		2:0	Number of points 2 < 30										
P08581_Y1230H		1:0	Number of points 1 < 30										
P08581_Y1230C		1:0	Number of points 1 < 30										
P08581_N1100Y		1:0	Number of points 1 < 30										
Q93100_WT		1:0	Number of points 1 < 30										
P00519_G250E		1:0	Number of points 1 < 30										
Q6IQ55_WT		0:1	Number of points 1 < 30										
P04049_Y340D_Y341D_V492E		2:1	Number of points 3 < 30										
Q16654_WT		2:5	Number of points 7 < 30										
P46020_WT		2:1	Number of points 3 < 30										
Q9Y6K9_WT		0:1	Number of points 1 < 30										
P31751_S474D		0:1	Number of points 1 < 30										
Q00532_WT		1:3	Number of points 4 < 30										
Q9Y3S1_WT		0:1	Number of points 1 < 30										
Q8NG66_WT		2:6	Number of points 8 < 30										
Q8IVT5_WT		0:1	Number of points 1 < 30										
Q96PN8_WT		1:2	Number of points 3 < 30										
Q86SG6_WT		1:0	Number of points 1 < 30										
Q9BXA6_WT		1:0	Number of points 1 < 30										
P13861_WT		1:1	Number of points 2 < 30										
P45983_M108G		1:1	Number of points 2 < 30										
P45983_M108A		2:0	Number of points 2 < 30										
P10721_N822K		7:0	Number of points 7 < 30										
P00519_T315N		3:4	Number of points 7 < 30										
P00519_F359V		4:3	Number of points 7 < 30										
O00141_S422D		0:2	Number of points 2 < 30										
Q9UBS0_WT		1:1	Number of points 2 < 30										
Q99986_WT		1:2	Number of points 3 < 30										
P23443_T412E		2:1	Number of points 3 < 30										
Q15120_WT		1:8	Number of points 9 < 30										
Q15119_WT		14:28	Not enough training data for temporal split at 2013										
Q9NRH2_WT		3:2	Number of points 5 < 30										
Q6P5Z2_WT		13:9	Number of points 22 < 30										
Q96Q15_WT		21:7	Number of points 28 < 30										
P43250_WT		4:128	Not enough data in minority class for all 5 folds										
Q5TCY1_WT		1:1	Number of points 2 < 30										
Q9Y2H9_WT		5:12	Number of points 17 < 30										
Q9UEW8_WT		3:15	Number of points 18 < 30										
Q9NYY3_WT		4:19	Not enough data in minority class of the training set for all 5 folds										
Q8IY84_WT		1:20	Number of points 21 < 30										
Q8IVW4_WT		1:13	Number of points 14 < 30										
Q6ZN16_WT		2:13	Number of points 15 < 30										
P0C264_WT		6:14	Number of points 20 < 30										
O95747_WT		2:16	Number of points 18 < 30										
O43283_WT		12:16	Number of points 28 < 30										
Q13523_WT		4:16	Number of points 20 < 30										
Q9BVS4_WT		0:2	Only one activity class in traing set for temporal split at 2013										
P57058_WT		2:19	Number of points 21 < 30										
P07949_V804M		24:8	No test data for temporal split at 2013										
P07949_V804L		21:10	No test data for temporal split at 2013										
P0C1S8_WT		8:14	Number of points 22 < 30										
Q96S53_WT		3:10	Number of points 13 < 30										
Q9H422_WT		1:0	Only one activity class in traing set for temporal split at 2013										
Q8WU08_WT		2:11	Number of points 13 < 30										
Q8TDR2_WT		9:21	No test data for temporal split at 2013										
P10721_D816H		18:24	No test data for temporal split at 2013										
P10721_A829P		28:16	No test data for temporal split at 2013										
O75909_WT		3:10	Number of points 13 < 30										
O60307_WT		2:5	Number of points 7 < 30										
Q9NYV4_WT		6:12	Number of points 18 < 30										
P20794_WT		4:12	Number of points 16 < 30										
P51956_WT		2:16	Number of points 18 < 30										
O95382_WT		1:17	Number of points 18 < 30										
Q9H4A3_WT		5:7	Number of points 12 < 30										
O14733_WT		4:22	Not enough data in minority class of the training set for all 5 folds										
P10398_WT		17:7	Number of points 24 < 30										
O76039_WT		11:14	Number of points 25 < 30										
Q15208_WT		3:13	Number of points 16 < 30										
Q9UGJ0_WT		8:15	Number of points 23 < 30										
O43741_WT		5:14	Number of points 19 < 30										
